
5 Mot inconnu : XRandR => ====== XRandR ====== | xrandr
374 Guillemets typographiques fermants. =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" | " => suggestions : ['\xa0»', '”']
374 Guillemets typographiques ouvrants. =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" | " => suggestions : ['«\xa0', '“']
374 Mot inconnu : CRT-1 =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" | crt-1
374 Guillemets typographiques fermants. =>     Option         "nvidiaXineramaInfoOrder" "CRT-1" | " => suggestions : ['\xa0»', '”']

375 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" |      => suggestions : ['']
375 Espace(s) surnuméraire(s) à supprimer. =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" |           => suggestions : [' ']
375 Guillemets typographiques ouvrants. =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | " => suggestions : ['«\xa0', '“']
375 Mot inconnu : metamodes =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | metamodes
375 Guillemets typographiques fermants. =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | " => suggestions : ['\xa0»', '”']
375 Guillemets typographiques ouvrants. =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | " => suggestions : ['«\xa0', '“']
375 Mot inconnu : nvidia-auto-select =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | nvidia-auto-select
375 Mot inconnu : VGA-0 =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | vga-0
375 Mot inconnu : nvidia-auto-select =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | nvidia-auto-select
375 Guillemets typographiques fermants. =>     Option         "metamodes" "HDMI-0: nvidia-auto-select +0+0, VGA-0: nvidia-auto-select +1400+0" | " => suggestions : ['\xa0»', '”']

376 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "SLI" "Off" |      => suggestions : ['']
376 Espace(s) surnuméraire(s) à supprimer. =>     Option         "SLI" "Off" |           => suggestions : [' ']
376 Guillemets typographiques ouvrants. =>     Option         "SLI" "Off" | " => suggestions : ['«\xa0', '“']
376 Mot inconnu : SLI =>     Option         "SLI" "Off" | sli
376 Guillemets typographiques fermants. =>     Option         "SLI" "Off" | " => suggestions : ['\xa0»', '”']
376 Guillemets typographiques ouvrants. =>     Option         "SLI" "Off" | " => suggestions : ['«\xa0', '“']
376 Guillemets typographiques fermants. =>     Option         "SLI" "Off" | " => suggestions : ['\xa0»', '”']

377 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "MultiGPU" "Off" |      => suggestions : ['']
377 Espace(s) surnuméraire(s) à supprimer. =>     Option         "MultiGPU" "Off" |           => suggestions : [' ']
377 Guillemets typographiques ouvrants. =>     Option         "MultiGPU" "Off" | " => suggestions : ['«\xa0', '“']
377 Mot inconnu : MultiGPU =>     Option         "MultiGPU" "Off" | multigpu
377 Guillemets typographiques fermants. =>     Option         "MultiGPU" "Off" | " => suggestions : ['\xa0»', '”']
377 Guillemets typographiques ouvrants. =>     Option         "MultiGPU" "Off" | " => suggestions : ['«\xa0', '“']
377 Guillemets typographiques fermants. =>     Option         "MultiGPU" "Off" | " => suggestions : ['\xa0»', '”']

378 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "BaseMosaic" "off" |      => suggestions : ['']
378 Espace(s) surnuméraire(s) à supprimer. =>     Option         "BaseMosaic" "off" |           => suggestions : [' ']
378 Guillemets typographiques ouvrants. =>     Option         "BaseMosaic" "off" | " => suggestions : ['«\xa0', '“']
378 Mot inconnu : BaseMosaic =>     Option         "BaseMosaic" "off" | basemosaic
378 Guillemets typographiques fermants. =>     Option         "BaseMosaic" "off" | " => suggestions : ['\xa0»', '”']
378 Guillemets typographiques ouvrants. =>     Option         "BaseMosaic" "off" | " => suggestions : ['«\xa0', '“']
378 Guillemets typographiques fermants. =>     Option         "BaseMosaic" "off" | " => suggestions : ['\xa0»', '”']

379 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" |      => suggestions : ['']
379 Espace(s) surnuméraire(s) à supprimer. =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" |           => suggestions : [' ']
379 Guillemets typographiques ouvrants. =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | " => suggestions : ['«\xa0', '“']
379 Mot inconnu : ModeValidation =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | modevalidation
379 Guillemets typographiques fermants. =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | " => suggestions : ['\xa0»', '”']
379 Guillemets typographiques ouvrants. =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | " => suggestions : ['«\xa0', '“']
379 Mot inconnu : NoVesaModes =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | novesamodes
379 Mot inconnu : NoXServerModes =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | noxservermodes
379 Guillemets typographiques fermants. =>     Option         "ModeValidation" "NoVesaModes, NoXServerModes" | " => suggestions : ['\xa0»', '”']

380 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option         "ExactModeTimingsDVI" "True" |      => suggestions : ['']
380 Espace(s) surnuméraire(s) à supprimer. =>     Option         "ExactModeTimingsDVI" "True" |           => suggestions : [' ']
380 Guillemets typographiques ouvrants. =>     Option         "ExactModeTimingsDVI" "True" | " => suggestions : ['«\xa0', '“']
380 Mot inconnu : ExactModeTimingsDVI =>     Option         "ExactModeTimingsDVI" "True" | exactmodetimingsdvi
380 Guillemets typographiques fermants. =>     Option         "ExactModeTimingsDVI" "True" | " => suggestions : ['\xa0»', '”']
380 Guillemets typographiques ouvrants. =>     Option         "ExactModeTimingsDVI" "True" | " => suggestions : ['«\xa0', '“']
380 Mot inconnu : True =>     Option         "ExactModeTimingsDVI" "True" | true
380 Guillemets typographiques fermants. =>     Option         "ExactModeTimingsDVI" "True" | " => suggestions : ['\xa0»', '”']

381 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     SubSection     "Display" |      => suggestions : ['']
381 Mot inconnu : SubSection =>     SubSection     "Display" | subsection
381 Espace(s) surnuméraire(s) à supprimer. =>     SubSection     "Display" |       => suggestions : [' ']
381 Guillemets typographiques ouvrants. =>     SubSection     "Display" | " => suggestions : ['«\xa0', '“']
381 Mot inconnu : Display =>     SubSection     "Display" | display
381 Guillemets typographiques fermants. =>     SubSection     "Display" | " => suggestions : ['\xa0»', '”']

382 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         Depth       24     |          => suggestions : ['']
382 Mot inconnu : Depth =>         Depth       24     | depth
382 Espace(s) surnuméraire(s) à supprimer. =>         Depth       24     |         => suggestions : [' ']
382 Espace(s) en fin de ligne à supprimer. =>         Depth       24     |      => suggestions : ['']

383 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Modes      "1400x1050_57.20" |      => suggestions : ['']
383 Espace(s) surnuméraire(s) à supprimer. =>     Modes      "1400x1050_57.20" |        => suggestions : [' ']
383 Guillemets typographiques ouvrants. =>     Modes      "1400x1050_57.20" | " => suggestions : ['«\xa0', '“']
383 Signe de multiplication typographique. =>     Modes      "1400x1050_57.20" | 1400x1050 => suggestions : ['1400\xa0×\xa01050']
383 Mot inconnu : x1050_57 =>     Modes      "1400x1050_57.20" | x1050_57
383 Guillemets typographiques fermants. =>     Modes      "1400x1050_57.20" | " => suggestions : ['\xa0»', '”']

384 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     EndSubSection |      => suggestions : ['']
384 Mot inconnu : EndSubSection =>     EndSubSection | endsubsection

385 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  EndSection |   => suggestions : ['']
385 Mot inconnu : EndSection =>  EndSection | endsection

389 Si vous parlez de la langue, pas de majuscule. => Pour plus de détail, voir l'article hyper complet en Anglais sur xrandr sur [[https://askubuntu.com/questions/710172/why-do-xrandr-errors-badmatch-badname-gamma-failed-happen|askubuntu.com]] | anglais => suggestions : ['anglais']
389 Mot inconnu : xrandr => Pour plus de détail, voir l'article hyper complet en Anglais sur xrandr sur [[https://askubuntu.com/questions/710172/why-do-xrandr-errors-badmatch-badname-gamma-failed-happen|askubuntu.com]] | xrandr
389 Mot inconnu : askubuntu => Pour plus de détail, voir l'article hyper complet en Anglais sur xrandr sur [[https://askubuntu.com/questions/710172/why-do-xrandr-errors-badmatch-badname-gamma-failed-happen|askubuntu.com]] | askubuntu

394 Mot inconnu : xrandr => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | xrandr
394 Mot inconnu : verbose => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | verbose
394 Mot inconnu : LVDS1 => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | lvds1
394 Guillemets typographiques ouvrants. => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | " => suggestions : ['«\xa0', '“']
394 Signe de multiplication typographique. => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | 800x480 => suggestions : ['800\xa0×\xa0480']
394 Mot inconnu : x480 => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | x480
394 Guillemets typographiques fermants. => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | " => suggestions : ['\xa0»', '”']
394 Mot inconnu : scale => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | scale
394 Guillemets typographiques ouvrants. => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | " => suggestions : ['«\xa0', '“']
394 Signe de multiplication typographique. => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | 28x1 => suggestions : ['28\xa0×\xa01']
394 Guillemets typographiques fermants. => <file>xrandr --verbose --output LVDS1 --mode "800x480" --scale "1.28x1.25"</file> | " => suggestions : ['\xa0»', '”']

400 Mot inconnu : VIRTUALX => Si vous souhaitez des écrans virtuels VIRTUALX, voir ce lien : https://askubuntu.com/questions/453109/add-fake-display-when-no-monitor-is-plugged-in | virtualx

404 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.delafond.org/traducmanfr/X11/man1/xrandr.1x.html|Manuel de XRandR]] |    => suggestions : ['']
404 Mot inconnu : XRandR =>   * [[http://www.delafond.org/traducmanfr/X11/man1/xrandr.1x.html|Manuel de XRandR]] | xrandr

405 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.planet-libre.org/index.php?post_id=1359|Faire du multi-écrans avec XRandR]] |    => suggestions : ['']
405 Mot inconnu : XRandR =>   * [[http://www.planet-libre.org/index.php?post_id=1359|Faire du multi-écrans avec XRandR]] | xrandr

406 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.ubuntu.com/X/Config/Resolution#Adding%20undetected%20resolutions|XrandR]] : Ajouter un mode vidéo non listé (modeline) - wiki officiel anglophone. |    => suggestions : ['']
406 Mot inconnu : modeline =>   * [[https://wiki.ubuntu.com/X/Config/Resolution#Adding%20undetected%20resolutions|XrandR]] : Ajouter un mode vidéo non listé (modeline) - wiki officiel anglophone. | modeline
406 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[https://wiki.ubuntu.com/X/Config/Resolution#Adding%20undetected%20resolutions|XrandR]] : Ajouter un mode vidéo non listé (modeline) - wiki officiel anglophone. |  -  => suggestions : [' – ', ' — ', ' − ']

407 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.x.org/releases/X11R7.5/doc/man/man1/xrandr.1.html|(en) Xrandr sur Xorg]] |    => suggestions : ['']
407 Mot inconnu : Xrandr =>   * [[https://www.x.org/releases/X11R7.5/doc/man/man1/xrandr.1.html|(en) Xrandr sur Xorg]] | xrandr
407 Mot inconnu : Xorg =>   * [[https://www.x.org/releases/X11R7.5/doc/man/man1/xrandr.1.html|(en) Xrandr sur Xorg]] | xorg

410 Mot inconnu : xorg => ===== Le fichier xorg.conf ===== | xorg
410 Il manque un espace. => ===== Le fichier xorg.conf ===== | conf => suggestions : [' conf']
