
4 Mot inconnu : Playstation => ====== Sony Playstation Portable (PSP) & Linux Ubuntu ====== <|> playstation
300 Mot inconnu : mo => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> mo
300 Mot inconnu : mp4 => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> mp4
300 Pas d’espace avant une virgule. => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|>  , => suggestions : [',']
300 Mot inconnu : échantillonage => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> échantillonage
300 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> a => suggestions : ['à']
300 Pas d’espace avant une virgule. => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|>  , => suggestions : [',']
300 Mot inconnu : préferez => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> préferez
300 Mot inconnu : Xvid => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> xvid
300 Mot inconnu : psp => <note important>Une video de 700mo prendra plus d'un Go après avoir été convertie en mp4 en mode H.264 , il faudra modifier les fréquences d'échantillonage si vous tenez a convertir comme ça , sinon préferez le Xvid for psp:-D</note> <|> psp

302 Mot inconnu : PSP => ===== Gérer la PSP ===== <|> psp

304 Mot inconnu : qPSP => ==== qPSP Manager ==== <|> qpsp

306 Mot inconnu : qPSP => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> qpsp
306 Mot inconnu : Bernat => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> bernat
306 Mot inconnu : Ràfales => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> ràfales
306 Mot inconnu : PSP => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> psp
306 Mot inconnu : PBP => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> pbp
306 Mot inconnu : CSO => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> cso
306 Typographie : points de suspension. Utilisez le caractère dédié. => qPSP Manager est un outil créé par Bernat Ràfales Mulet pour gérer sa PSP, il permet entre autres gérer les PBP, compresser/décompresser les ISO/CSO, gérer les sauvegardes de jeux...  <|> ... => suggestions : ['…']

307 Mot inconnu : PSP => Il est aussi capable de transférer le tout sur votre PSP à partir d'Ubuntu. <|> psp

318 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Il y a deux méthodes pour l'instant. Pour la première, vous devrez compiler le programme avant de pouvoir l'utiliser, pour la seconde, vous n'aurez qu'a installer le paquet. <|> a => suggestions : ['à']
318 Incohérence probable avec “a” : “installer” n’est pas un participe passé. => Il y a deux méthodes pour l'instant. Pour la première, vous devrez compiler le programme avant de pouvoir l'utiliser, pour la seconde, vous n'aurez qu'a installer le paquet. <|> installer => suggestions : ['installé']

320 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => <note> La seconde méthode est déconseillée car le paquet disponible est en version 1.3 et le programme est aujourd'hui en version 2.0.2, donc privilégiez la première méthode pour être à jour</note> <|>  car => suggestions : [', car']

335 Mot inconnu : include => # include <iostream> </code>.  <|> include

339 Mot inconnu : CXXFLAGS => CXXFLAGS      = -pipe -O2 -Wall -W -D_REENTRANT $(DEFINES) -std=c++0x</code></note> <|> cxxflags
339 Typographie des composés chimiques. => CXXFLAGS      = -pipe -O2 -Wall -W -D_REENTRANT $(DEFINES) -std=c++0x</code></note> <|> o2 => suggestions : ['O₂']
339 Mot inconnu : O2 => CXXFLAGS      = -pipe -O2 -Wall -W -D_REENTRANT $(DEFINES) -std=c++0x</code></note> <|> o2
339 Mot inconnu : D_REENTRANT => CXXFLAGS      = -pipe -O2 -Wall -W -D_REENTRANT $(DEFINES) -std=c++0x</code></note> <|> d_reentrant
339 Mot inconnu : DEFINES => CXXFLAGS      = -pipe -O2 -Wall -W -D_REENTRANT $(DEFINES) -std=c++0x</code></note> <|> defines
339 Mot inconnu : std => CXXFLAGS      = -pipe -O2 -Wall -W -D_REENTRANT $(DEFINES) -std=c++0x</code></note> <|> std

348 Mot inconnu : sourceforge => si le lien est cassé, ce paquet est aussi disponible sur sourceforge : <|> sourceforge

349 Élision de l’article devant un mot commençant par une voyelle. => [[https://sourceforge.net/projects/qpspmanager/|télécharger le ici]]\\ <|> le  => suggestions : ['l’']

354 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== Les images .iso et .cso en ligne de commandes ==== <|>  . => suggestions : ['. ', '.']
354 Mot inconnu : iso => ==== Les images .iso et .cso en ligne de commandes ==== <|> iso
354 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== Les images .iso et .cso en ligne de commandes ==== <|>  . => suggestions : ['. ', '.']
354 Mot inconnu : cso => ==== Les images .iso et .cso en ligne de commandes ==== <|> cso

356 Mot inconnu : ciso => L'outil qui permet la compression/décompression des fichiers ISO est ciso disponible dans le dépôt universe pour feisty (peut-être autre part aussi mais en tout cas il est là) <|> ciso
356 Mot inconnu : universe => L'outil qui permet la compression/décompression des fichiers ISO est ciso disponible dans le dépôt universe pour feisty (peut-être autre part aussi mais en tout cas il est là) <|> universe
356 Mot inconnu : feisty => L'outil qui permet la compression/décompression des fichiers ISO est ciso disponible dans le dépôt universe pour feisty (peut-être autre part aussi mais en tout cas il est là) <|> feisty


365 Mot inconnu : ciso => ciso niveau fichierentree fichiersortie <|> ciso
365 Mot inconnu : fichierentree => ciso niveau fichierentree fichiersortie <|> fichierentree
365 Mot inconnu : fichiersortie => ciso niveau fichierentree fichiersortie <|> fichiersortie

367 Mot inconnu : CSO => == ISO > CSO == <|> cso

374 Mot inconnu : CSO => == CSO > ISO == <|> cso

382 Mot inconnu : ciso => ==== Une interface graphique pour ciso ==== <|> ciso
384 Mot inconnu : Cso-Dax => Si vous êtes allergique a la ligne de commande il existe une interface graphique : Cso-Dax compressor . C'est un logiciel pour windows mais il existe une version linux qui utilise ciso. <|> cso-dax
384 Mot inconnu : compressor => Si vous êtes allergique a la ligne de commande il existe une interface graphique : Cso-Dax compressor . C'est un logiciel pour windows mais il existe une version linux qui utilise ciso. <|> compressor
384 Pas d’espace avant un point. => Si vous êtes allergique a la ligne de commande il existe une interface graphique : Cso-Dax compressor . C'est un logiciel pour windows mais il existe une version linux qui utilise ciso. <|>  . => suggestions : ['.']
384 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Si vous êtes allergique a la ligne de commande il existe une interface graphique : Cso-Dax compressor . C'est un logiciel pour windows mais il existe une version linux qui utilise ciso. <|>  mais => suggestions : [', mais']
384 Mot inconnu : linux => Si vous êtes allergique a la ligne de commande il existe une interface graphique : Cso-Dax compressor . C'est un logiciel pour windows mais il existe une version linux qui utilise ciso. <|> linux
384 Mot inconnu : ciso => Si vous êtes allergique a la ligne de commande il existe une interface graphique : Cso-Dax compressor . C'est un logiciel pour windows mais il existe une version linux qui utilise ciso. <|> ciso

400 Mot inconnu : __ => __**Plus simple :**__  <|> __
400 Mot inconnu : __ => __**Plus simple :**__  <|> __

405 Mot inconnu : sudo => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> sudo
405 Mot inconnu : thunar => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> thunar
405 Mot inconnu : Xubuntu => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> xubuntu
405 Mot inconnu : ciso => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> ciso
405 Il manque un espace. => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> csocompiler => suggestions : [' csoCompiler']
405 Mot inconnu : csoCompiler => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> csocompiler
405 Mot inconnu : daxcr => sudo thunar   (sous Xubuntu)</code> et puis faites glisser simplement les fichiers: ciso,csoCompiler et daxcr. <|> daxcr

413 Mot inconnu : PSP => <note tip>Même si le développement de portails (pages web consultables via le navigateur de la PSP) est possible avec une PSP en firmware officielle (mise à jour logicielle), programmer sur PSP et exécuter vos programmes amateurs (ou ceux d'autres développeurs) requiert d'avoir une PSP avec un firmware modifié (custom firmware). <|> psp
413 Mot inconnu : PSP => <note tip>Même si le développement de portails (pages web consultables via le navigateur de la PSP) est possible avec une PSP en firmware officielle (mise à jour logicielle), programmer sur PSP et exécuter vos programmes amateurs (ou ceux d'autres développeurs) requiert d'avoir une PSP avec un firmware modifié (custom firmware). <|> psp
413 Accord de genre erroné avec « firmware ». => <note tip>Même si le développement de portails (pages web consultables via le navigateur de la PSP) est possible avec une PSP en firmware officielle (mise à jour logicielle), programmer sur PSP et exécuter vos programmes amateurs (ou ceux d'autres développeurs) requiert d'avoir une PSP avec un firmware modifié (custom firmware). <|> officielle => suggestions : ['officiel']
413 Mot inconnu : PSP => <note tip>Même si le développement de portails (pages web consultables via le navigateur de la PSP) est possible avec une PSP en firmware officielle (mise à jour logicielle), programmer sur PSP et exécuter vos programmes amateurs (ou ceux d'autres développeurs) requiert d'avoir une PSP avec un firmware modifié (custom firmware). <|> psp
413 Mot inconnu : PSP => <note tip>Même si le développement de portails (pages web consultables via le navigateur de la PSP) est possible avec une PSP en firmware officielle (mise à jour logicielle), programmer sur PSP et exécuter vos programmes amateurs (ou ceux d'autres développeurs) requiert d'avoir une PSP avec un firmware modifié (custom firmware). <|> psp

415 Mot inconnu : PRO-B7 => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> pro-b7
415 Mot inconnu : PRO-B7 => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> pro-b7
415 Mot inconnu : PRO-B7 => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> pro-b7
415 Pas de majuscule sur les mois. => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> juillet => suggestions : ['juillet']
415 Mot inconnu : PSPs => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> psps
415 Mot inconnu : PSP1000 => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> psp1000
415 Pléonasme. => Pour cela, je vous invite à installer le custom firmware 6.20 PRO-B7, 6.35 PRO-B7 ou 6.39 PRO-B7 (dernière version stable en date en ce **18 Juillet 2011**) : [[http://www.pspgen.com/af-version-finale-6-xx-pro-b7-est-disponible-actualite-198481.html|tutoriel d'installation]]. Cette version a le mérite d'être compatible toutes PSPs (PSP1000/2000/3000/Go). Il suffira simplement de mettre à jour votre console en firmware 6.20, 6.35 ou 6.35 selon votre choix et d'installer le custom firmware qui correspond. <|> suffira simplement => suggestions : ['suffira']

417 Mot inconnu : PSP => **Précisons également que flasher sa PSP pour installer un custom firmware est une manipulation légale !**</note> <|> psp

419 Mot inconnu : PSP => Passons aux choses sérieuses. Pour programmer sur votre console PSP, sachez que le code sera fait sur votre ordinateur, mais celui-ci n'est pas nativement capable de compiler pour une PSP. Il va donc falloir procéder à l'installation d'un environnement de développement pour pouvoir compiler vos programmes à lancer sur votre PSP (on appelle cela de la **cross-compilation**). <|> psp
419 Mot inconnu : PSP => Passons aux choses sérieuses. Pour programmer sur votre console PSP, sachez que le code sera fait sur votre ordinateur, mais celui-ci n'est pas nativement capable de compiler pour une PSP. Il va donc falloir procéder à l'installation d'un environnement de développement pour pouvoir compiler vos programmes à lancer sur votre PSP (on appelle cela de la **cross-compilation**). <|> psp
419 Mot inconnu : PSP => Passons aux choses sérieuses. Pour programmer sur votre console PSP, sachez que le code sera fait sur votre ordinateur, mais celui-ci n'est pas nativement capable de compiler pour une PSP. Il va donc falloir procéder à l'installation d'un environnement de développement pour pouvoir compiler vos programmes à lancer sur votre PSP (on appelle cela de la **cross-compilation**). <|> psp

422 Mot inconnu : PSP => Tout d'abord, il faut savoir que ces quelques outils vous permettront de programmer sous 3 langages différents sur la PSP: <|> psp

424 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Langage C : un standard, et celui que je vous conseillerai pour débuter. <|> -  => suggestions : ['—\xa0', '–\xa0']

426 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Langage C++ : un langage orienté objet (mettant en œuvre les notions de classe, héritage, surcharge d'opérateurs...). Bien plus complexe, une bonne base en C est recommandée si vous voulez mieux assimiler ce langage. <|> -  => suggestions : ['—\xa0', '–\xa0']
426 Typographie : points de suspension. Utilisez le caractère dédié. => - Langage C++ : un langage orienté objet (mettant en œuvre les notions de classe, héritage, surcharge d'opérateurs...). Bien plus complexe, une bonne base en C est recommandée si vous voulez mieux assimiler ce langage. <|> ... => suggestions : ['…']

428 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Langage Assembleur MIPS R(S)4000 : le langage d'assembleur de la PSP, seulement pour les expérimentés, et n'est nécessaire que pour ceux voulant faire du hack sur la console ou créer un custom firmware, faire du **reverse engineering**. <|> -  => suggestions : ['—\xa0', '–\xa0']
428 Mot inconnu : MIPS => - Langage Assembleur MIPS R(S)4000 : le langage d'assembleur de la PSP, seulement pour les expérimentés, et n'est nécessaire que pour ceux voulant faire du hack sur la console ou créer un custom firmware, faire du **reverse engineering**. <|> mips
428 Il manque un espace après la parenthèse. => - Langage Assembleur MIPS R(S)4000 : le langage d'assembleur de la PSP, seulement pour les expérimentés, et n'est nécessaire que pour ceux voulant faire du hack sur la console ou créer un custom firmware, faire du **reverse engineering**. <|> ) => suggestions : [') ']
428 Mot inconnu : PSP => - Langage Assembleur MIPS R(S)4000 : le langage d'assembleur de la PSP, seulement pour les expérimentés, et n'est nécessaire que pour ceux voulant faire du hack sur la console ou créer un custom firmware, faire du **reverse engineering**. <|> psp
428 Mot inconnu : hack => - Langage Assembleur MIPS R(S)4000 : le langage d'assembleur de la PSP, seulement pour les expérimentés, et n'est nécessaire que pour ceux voulant faire du hack sur la console ou créer un custom firmware, faire du **reverse engineering**. <|> hack
428 Incohérence avec “du” : “reverse” est un verbe. => - Langage Assembleur MIPS R(S)4000 : le langage d'assembleur de la PSP, seulement pour les expérimentés, et n'est nécessaire que pour ceux voulant faire du hack sur la console ou créer un custom firmware, faire du **reverse engineering**. <|> reverse => suggestions : ['reversé', 'reversée', 'reversés', 'reversées']

430 Mot inconnu : PSPSDK => === Installation du PSPSDK === <|> pspsdk
