
3 Mot inconnu : Counter-Strike => ====== Counter-Strike: Source ====== | counter-strike
154 Mot inconnu : freezent =>     * certaines maps, comme fy_iceworld, freezent le jeu au bout d'un moment. | freezent

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * vous utilisez dmix et vous n'avez pas de son: |      => suggestions : ['']
155 Mot inconnu : dmix =>     * vous utilisez dmix et vous n'avez pas de son: | dmix

156 Mot inconnu : alsa => rentrez ça dans un fichier nommé alsa.reg: | alsa
156 Il manque un espace. => rentrez ça dans un fichier nommé alsa.reg: | reg => suggestions : [' reg']

173 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => a partir de maintenant, vous ne devez plus toucher a l'onglet audio de wine ! De plus, vous aurez quelques problèmes de son, mais rien de bien grave... | a => suggestions : ['à']
173 Mot inconnu : wine => a partir de maintenant, vous ne devez plus toucher a l'onglet audio de wine ! De plus, vous aurez quelques problèmes de son, mais rien de bien grave... | wine
173 Typographie : points de suspension. Utilisez le caractère dédié. => a partir de maintenant, vous ne devez plus toucher a l'onglet audio de wine ! De plus, vous aurez quelques problèmes de son, mais rien de bien grave... | ... => suggestions : ['…']

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le jeu se fige des que vous le quittez: mettez a jour wine, ce bug est sensé avoir été corrigé. Si cela ne fonctionne toujours pas essayer de désactiver l'anticrénelage au cas ou vous l'auriez activé. |    => suggestions : ['']
175 Confusion probable. Pour la préposition, écrivez “dès”. =>   * Le jeu se fige des que vous le quittez: mettez a jour wine, ce bug est sensé avoir été corrigé. Si cela ne fonctionne toujours pas essayer de désactiver l'anticrénelage au cas ou vous l'auriez activé. | des => suggestions : ['dès']
175 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. =>   * Le jeu se fige des que vous le quittez: mettez a jour wine, ce bug est sensé avoir été corrigé. Si cela ne fonctionne toujours pas essayer de désactiver l'anticrénelage au cas ou vous l'auriez activé. | a => suggestions : ['à']
175 Mot inconnu : wine =>   * Le jeu se fige des que vous le quittez: mettez a jour wine, ce bug est sensé avoir été corrigé. Si cela ne fonctionne toujours pas essayer de désactiver l'anticrénelage au cas ou vous l'auriez activé. | wine
175 Confusion : “sensé” se dit de quelqu’un de “bon sens”. Pour ce qui est attendu, écrivez “censé”. =>   * Le jeu se fige des que vous le quittez: mettez a jour wine, ce bug est sensé avoir été corrigé. Si cela ne fonctionne toujours pas essayer de désactiver l'anticrénelage au cas ou vous l'auriez activé. | sensé => suggestions : ['censé']
175 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. =>   * Le jeu se fige des que vous le quittez: mettez a jour wine, ce bug est sensé avoir été corrigé. Si cela ne fonctionne toujours pas essayer de désactiver l'anticrénelage au cas ou vous l'auriez activé. | ou => suggestions : ['où']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : |    => suggestions : ['']
177 Mot inconnu : STEAM =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | steam
177 Mot inconnu : PLAYONLINUX =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | playonlinux
177 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : |  -  => suggestions : [' – ', ' — ', ' − ']
177 Mot inconnu : Steam =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | steam
177 Mot inconnu : WINE =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | wine
177 Mot inconnu : Steam =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | steam
177 Guillemets typographiques ouvrants. =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | " => suggestions : ['«\xa0', '“']
177 Guillemets typographiques fermants. =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | " => suggestions : ['\xa0»', '”']
177 Guillemets typographiques ouvrants. =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | " => suggestions : ['«\xa0', '“']
177 Guillemets typographiques fermants. =>   * STEAM SOUS PLAYONLINUX SEULEMENT - Steam se lance mais une fois sur la plate-forme, crash et WINE avec. La solution est toute simple, il suffit de rajouter l'icône de Steam sur le bureau, et de faire un clic droit dessus, "Propriétés", cliquez sur l'onglet "Application" et dans commande, effacez tout ce qui s'y trouve pour rajouter ceci : | " => suggestions : ['\xa0»', '”']

180 Mot inconnu : steam => Lancez ensuite steam avec cet icône, Have Fun =). | steam
180 Accord de genre erroné : « icône » est féminin. => Lancez ensuite steam avec cet icône, Have Fun =). | cet => suggestions : ['cette']

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * référez vous à cette page : [[srcds]] |    => suggestions : ['']
184 Forme interrogative ? Mettez un trait d’union. =>   * référez vous à cette page : [[srcds]] | référez vous => suggestions : ['référez-vous']
184 Mot inconnu : srcds =>   * référez vous à cette page : [[srcds]] | srcds

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=3731|Counter Strike: Source sur WineHQ]] |    => suggestions : ['']
189 Mot inconnu : Counter =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=3731|Counter Strike: Source sur WineHQ]] | counter
189 Mot inconnu : WineHQ =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=3731|Counter Strike: Source sur WineHQ]] | winehq

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://appdb.winehq.org/screenshots.php?iAppId=871&iVersionId=|Screenshots]] |    => suggestions : ['']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.playonlinux.com/fr|PlayOnLinux, le site francophone officiel de PlayOnLinux]] |    => suggestions : ['']
191 Mot inconnu : PlayOnLinux =>   * [[https://www.playonlinux.com/fr|PlayOnLinux, le site francophone officiel de PlayOnLinux]] | playonlinux
191 Mot inconnu : PlayOnLinux =>   * [[https://www.playonlinux.com/fr|PlayOnLinux, le site francophone officiel de PlayOnLinux]] | playonlinux

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.linux-gamers.net|Linux gamers, le site des gamers linuxiens]] |    => suggestions : ['']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.jeuvinux.net|Jeuvinux, le site des joueurs francophones sous linux]] |    => suggestions : ['']
193 Mot inconnu : Jeuvinux =>   * [[http://www.jeuvinux.net|Jeuvinux, le site des joueurs francophones sous linux]] | jeuvinux
193 Mot inconnu : linux =>   * [[http://www.jeuvinux.net|Jeuvinux, le site des joueurs francophones sous linux]] | linux
196 Il manque un espace. => //Contributeurs : Par [[utilisateurs:mcpaul34|MCpaul34]], [[utilisateurs:BlondVador|BlondVador]]//, [[utilisateurs:cendre|cendre]]//, [[http://forum.ubuntu-fr.org/profile.php?id=199950|Rusher-Ranger]] | mcpaul34 => suggestions : [' mcpaul34']
196 Il manque un espace. => //Contributeurs : Par [[utilisateurs:mcpaul34|MCpaul34]], [[utilisateurs:BlondVador|BlondVador]]//, [[utilisateurs:cendre|cendre]]//, [[http://forum.ubuntu-fr.org/profile.php?id=199950|Rusher-Ranger]] | blondvador => suggestions : [' BlondVador']
196 Il manque un espace. => //Contributeurs : Par [[utilisateurs:mcpaul34|MCpaul34]], [[utilisateurs:BlondVador|BlondVador]]//, [[utilisateurs:cendre|cendre]]//, [[http://forum.ubuntu-fr.org/profile.php?id=199950|Rusher-Ranger]] | cendre => suggestions : [' cendre']
