
5 Mot inconnu : Gedit => ====== Créer un jeu de couleurs pour Gedit ====== | gedit
190 Il manque un espace. =>     * def:special-constant : Pour des constantes spéciales, par exemple en C la constante **NULL**. | special-constant => suggestions : [' special-constant']
190 Mot inconnu : special-constant =>     * def:special-constant : Pour des constantes spéciales, par exemple en C la constante **NULL**. | special-constant
190 Mot inconnu : NULL =>     * def:special-constant : Pour des constantes spéciales, par exemple en C la constante **NULL**. | null

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       * def:boolean : pour les valeurs booléennes, **true** et **false**. |        => suggestions : ['']
191 Mot inconnu : def =>       * def:boolean : pour les valeurs booléennes, **true** et **false**. | def
191 Il manque un espace. =>       * def:boolean : pour les valeurs booléennes, **true** et **false**. | boolean => suggestions : [' boolean']
191 Mot inconnu : boolean =>       * def:boolean : pour les valeurs booléennes, **true** et **false**. | boolean
191 Mot inconnu : true =>       * def:boolean : pour les valeurs booléennes, **true** et **false**. | true
191 Mot inconnu : false =>       * def:boolean : pour les valeurs booléennes, **true** et **false**. | false

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * def:identifier : pour des identifiants de variable. |    => suggestions : ['']
193 Mot inconnu : def =>   * def:identifier : pour des identifiants de variable. | def
193 Il manque un espace. =>   * def:identifier : pour des identifiants de variable. | identifier => suggestions : [' identifier']

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * def:function : pour les identifiants de fonction. |      => suggestions : ['']
194 Mot inconnu : def =>     * def:function : pour les identifiants de fonction. | def
194 Il manque un espace. =>     * def:function : pour les identifiants de fonction. | function => suggestions : [' function']
194 Mot inconnu : function =>     * def:function : pour les identifiants de fonction. | function

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * def:builtin : Pour les identifiants de fonction de type Built-in, par exemple abs en Python. |      => suggestions : ['']
195 Mot inconnu : def =>     * def:builtin : Pour les identifiants de fonction de type Built-in, par exemple abs en Python. | def
195 Il manque un espace. =>     * def:builtin : Pour les identifiants de fonction de type Built-in, par exemple abs en Python. | builtin => suggestions : [' builtin']
195 Mot inconnu : builtin =>     * def:builtin : Pour les identifiants de fonction de type Built-in, par exemple abs en Python. | builtin
195 Mot inconnu : Built-in =>     * def:builtin : Pour les identifiants de fonction de type Built-in, par exemple abs en Python. | built-in
195 Mot inconnu : abs =>     * def:builtin : Pour les identifiants de fonction de type Built-in, par exemple abs en Python. | abs

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * def:statement : Le terme général pour désigner les deux styles qui suivent. |    => suggestions : ['']
197 Mot inconnu : def =>   * def:statement : Le terme général pour désigner les deux styles qui suivent. | def
197 Il manque un espace. =>   * def:statement : Le terme général pour désigner les deux styles qui suivent. | statement => suggestions : [' statement']
197 Mot inconnu : statement =>   * def:statement : Le terme général pour désigner les deux styles qui suivent. | statement

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * def:operator : Pour désigner les opérateurs : +, *, etc. |      => suggestions : ['']
198 Mot inconnu : def =>     * def:operator : Pour désigner les opérateurs : +, *, etc. | def
198 Il manque un espace. =>     * def:operator : Pour désigner les opérateurs : +, *, etc. | operator => suggestions : [' operator']
198 Mot inconnu : operator =>     * def:operator : Pour désigner les opérateurs : +, *, etc. | operator

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * def:keyword : pour les mots-clés comme if, else, switch, etc. |      => suggestions : ['']
199 Mot inconnu : def =>     * def:keyword : pour les mots-clés comme if, else, switch, etc. | def
199 Il manque un espace. =>     * def:keyword : pour les mots-clés comme if, else, switch, etc. | keyword => suggestions : [' keyword']
199 Mot inconnu : keyword =>     * def:keyword : pour les mots-clés comme if, else, switch, etc. | keyword
199 Mot inconnu : else =>     * def:keyword : pour les mots-clés comme if, else, switch, etc. | else
199 Mot inconnu : switch =>     * def:keyword : pour les mots-clés comme if, else, switch, etc. | switch

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * def:type : Pour les types de données : int, double, char... |    => suggestions : ['']
201 Mot inconnu : def =>   * def:type : Pour les types de données : int, double, char... | def
201 Il manque un espace. =>   * def:type : Pour les types de données : int, double, char... | type => suggestions : [' type']
201 Mot inconnu : int =>   * def:type : Pour les types de données : int, double, char... | int
201 Typographie : points de suspension. Utilisez le caractère dédié. =>   * def:type : Pour les types de données : int, double, char... | ... => suggestions : ['…']

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * def:error : Pour des erreurs d'écriture. |    => suggestions : ['']
204 Mot inconnu : def =>   * def:error : Pour des erreurs d'écriture. | def
204 Il manque un espace. =>   * def:error : Pour des erreurs d'écriture. | error => suggestions : [' error']
204 Mot inconnu : error =>   * def:error : Pour des erreurs d'écriture. | error

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... |      => suggestions : ['']
205 Mot inconnu : def =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | def
205 Il manque un espace. =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | reserved => suggestions : [' reserved']
205 Mot inconnu : reserved =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | reserved
205 Guillemets typographiques ouvrants. =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | " => suggestions : ['«\xa0', '“']
205 Guillemets typographiques fermants. =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | " => suggestions : ['\xa0»', '”']
205 Mot inconnu : const =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | const
205 Mot inconnu : goto =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | goto
205 Typographie : points de suspension. Utilisez le caractère dédié. =>     * def:reserved : Certains mots sont "réservés", par exemple en Java : const, goto... | ... => suggestions : ['…']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * def:note : Des notes destinées au programmeur, par exemple TODO... |    => suggestions : ['']
206 Mot inconnu : def =>   * def:note : Des notes destinées au programmeur, par exemple TODO... | def
206 Il manque un espace. =>   * def:note : Des notes destinées au programmeur, par exemple TODO... | note => suggestions : [' note']
206 Mot inconnu : TODO =>   * def:note : Des notes destinées au programmeur, par exemple TODO... | todo
206 Typographie : points de suspension. Utilisez le caractère dédié. =>   * def:note : Des notes destinées au programmeur, par exemple TODO... | ... => suggestions : ['…']

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * def:underlined : Tout ce qui doit être souligné, par exemple en HTML les liens, ou les adresses mail. Si vous voulez un peu de folklore, vous pouvez décider que ces textes soient affichés en italique, mais pensez un peu aux autres, par pitié appliquez seulement un soulignement à ce style si vous le définissez. |    => suggestions : ['']
207 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * def:underlined : Tout ce qui doit être souligné, par exemple en HTML les liens, ou les adresses mail. Si vous voulez un peu de folklore, vous pouvez décider que ces textes soient affichés en italique, mais pensez un peu aux autres, par pitié appliquez seulement un soulignement à ce style si vous le définissez. | def => suggestions : ['Def']
207 Mot inconnu : def =>   * def:underlined : Tout ce qui doit être souligné, par exemple en HTML les liens, ou les adresses mail. Si vous voulez un peu de folklore, vous pouvez décider que ces textes soient affichés en italique, mais pensez un peu aux autres, par pitié appliquez seulement un soulignement à ce style si vous le définissez. | def
207 Il manque un espace. =>   * def:underlined : Tout ce qui doit être souligné, par exemple en HTML les liens, ou les adresses mail. Si vous voulez un peu de folklore, vous pouvez décider que ces textes soient affichés en italique, mais pensez un peu aux autres, par pitié appliquez seulement un soulignement à ce style si vous le définissez. | underlined => suggestions : [' underlined']
207 Mot inconnu : underlined =>   * def:underlined : Tout ce qui doit être souligné, par exemple en HTML les liens, ou les adresses mail. Si vous voulez un peu de folklore, vous pouvez décider que ces textes soient affichés en italique, mais pensez un peu aux autres, par pitié appliquez seulement un soulignement à ce style si vous le définissez. | underlined
209 Espace(s) en fin de ligne à supprimer. => Petit rappel de comment définir un de ces styles :  |   => suggestions : ['']
212 Espace(s) en fin de ligne à supprimer. => Votre fichier doit être plein de belles lignes :  |   => suggestions : ['']

263 Mot inconnu : style-scheme => </style-scheme></code> | style-scheme
264 Espace(s) en fin de ligne à supprimer. => Ici vous avez juste à mettre tous les paramètres que vous voulez. Je n'ai pas mis tous les styles possibles, c'est à vous de voir ce que vous voulez de coloré ;-)  |   => suggestions : ['']

272 Écriture invariable. Utilisez un point médian. => Si vous cherchez des indications supplémentaires sur la coloration du texte ou si ce tuto vous semble flou, n'oubliez pas de contacter le(s) contributeur(s). | contributeur(s) => suggestions : ['contributeur·s']

280 Mot inconnu : introducion => == introducion == | introducion
282 Il manque un trait d’union si “même” se rapporte à “vous”. => Vous avez fait un nouveau langage ? Vous voulez faire vous même un fichier de style ? Nous allons voir ensemble comment faire ça en prenant comme exemple un fichier .lang de coloration syntaxique pour le langage bbcode (celui qu'on utilise dans les forums). Avant tout il faut voir un peu à quoi ressemble ce bbcode, sa syntaxe. | vous même => suggestions : ['vous-même']
282 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vous avez fait un nouveau langage ? Vous voulez faire vous même un fichier de style ? Nous allons voir ensemble comment faire ça en prenant comme exemple un fichier .lang de coloration syntaxique pour le langage bbcode (celui qu'on utilise dans les forums). Avant tout il faut voir un peu à quoi ressemble ce bbcode, sa syntaxe. |  . => suggestions : ['. ', '.']
282 Mot inconnu : lang => Vous avez fait un nouveau langage ? Vous voulez faire vous même un fichier de style ? Nous allons voir ensemble comment faire ça en prenant comme exemple un fichier .lang de coloration syntaxique pour le langage bbcode (celui qu'on utilise dans les forums). Avant tout il faut voir un peu à quoi ressemble ce bbcode, sa syntaxe. | lang
282 Mot inconnu : bbcode => Vous avez fait un nouveau langage ? Vous voulez faire vous même un fichier de style ? Nous allons voir ensemble comment faire ça en prenant comme exemple un fichier .lang de coloration syntaxique pour le langage bbcode (celui qu'on utilise dans les forums). Avant tout il faut voir un peu à quoi ressemble ce bbcode, sa syntaxe. | bbcode
282 Mot inconnu : bbcode => Vous avez fait un nouveau langage ? Vous voulez faire vous même un fichier de style ? Nous allons voir ensemble comment faire ça en prenant comme exemple un fichier .lang de coloration syntaxique pour le langage bbcode (celui qu'on utilise dans les forums). Avant tout il faut voir un peu à quoi ressemble ce bbcode, sa syntaxe. | bbcode

284 Mot inconnu : bbcode => Voilà un petit aperçu de bbcode | bbcode

295 Guillemets typographiques ouvrants. => J'ai décidé les "conventions" suivantes: | " => suggestions : ['«\xa0', '“']
295 Guillemets typographiques fermants. => J'ai décidé les "conventions" suivantes: | " => suggestions : ['\xa0»', '”']

297 Mot inconnu : quote => Les mots clés des balises seront différents soit la liste suivante ([code][/code], [quote][/quote], [url][/url] etc). | quote
297 Mot inconnu : quote => Les mots clés des balises seront différents soit la liste suivante ([code][/code], [quote][/quote], [url][/url] etc). | quote
297 Mot inconnu : url => Les mots clés des balises seront différents soit la liste suivante ([code][/code], [quote][/quote], [url][/url] etc). | url
297 Mot inconnu : url => Les mots clés des balises seront différents soit la liste suivante ([code][/code], [quote][/quote], [url][/url] etc). | url

299 Mot inconnu : quote => Quand on peut rajouter une valeur, comme dans [quote=doc ubuntu], la valeur doit être colorié. | quote
299 Accord erroné : “valeur” et “colorié” ne sont pas accordés. => Quand on peut rajouter une valeur, comme dans [quote=doc ubuntu], la valeur doit être colorié. | colorié => suggestions : ['coloriée']

301 Mot inconnu : bbcode => le bbcode n'a pas de caractère pour les commentaires, donc je choisi le # | bbcode
301 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => le bbcode n'a pas de caractère pour les commentaires, donc je choisi le # | choisi => suggestions : ['choisissais', 'choisis']

303 Mot inconnu : bbcode => Pour commencer il va falloir créer un fichier bbcode.lang . Vous devrez placer ce fichier dans le dossier /usr/share/gtksourceview-2.0/language-specs/ | bbcode
303 Mot inconnu : lang => Pour commencer il va falloir créer un fichier bbcode.lang . Vous devrez placer ce fichier dans le dossier /usr/share/gtksourceview-2.0/language-specs/ | lang
303 Pas d’espace avant un point. => Pour commencer il va falloir créer un fichier bbcode.lang . Vous devrez placer ce fichier dans le dossier /usr/share/gtksourceview-2.0/language-specs/ |  . => suggestions : ['.']
303 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => Pour commencer il va falloir créer un fichier bbcode.lang . Vous devrez placer ce fichier dans le dossier /usr/share/gtksourceview-2.0/language-specs/ | -2 => suggestions : ['−2', '– 2', '— 2']

306 Mot inconnu : gedit => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. | gedit
306 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. |  . => suggestions : ['. ', '.']
306 Mot inconnu : bbc => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. | bbc
306 Mot inconnu : bbcode => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. | bbcode
306 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. |  . => suggestions : ['. ', '.']
306 Mot inconnu : bbc => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. | bbc
306 Mot inconnu : gedit => Pour voir s'il y a des erreurs, il suffit de lancer gedit en console et d'ouvrir un fichier .bbc (pour bbcode) (c'est l'extension que nous allons choisir et à chaque fois que vous ferez un fichier .bbc, gedit utilisera la coloration syntaxique que nous allons faire. | gedit

313 Guillemets typographiques ouvrants. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | " => suggestions : ['«\xa0', '“']
313 Guillemets typographiques fermants. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | " => suggestions : ['\xa0»', '”']
313 Il manque un espace. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | xml => suggestions : [' xml']
313 Guillemets typographiques ouvrants. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | " => suggestions : ['«\xa0', '“']
313 Guillemets typographiques fermants. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | " => suggestions : ['\xa0»', '”']
313 Guillemets typographiques ouvrants. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | " => suggestions : ['«\xa0', '“']
313 Guillemets typographiques fermants. => <code="xml"><?xml version="1.0" encoding="UTF-8"?></code> | " => suggestions : ['\xa0»', '”']

317 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://developer.gnome.org/gtksourceview/stable/lang-reference.html|Documentation pour créer un fichier lang (en)]] |    => suggestions : ['']
317 Mot inconnu : lang =>   * [[http://developer.gnome.org/gtksourceview/stable/lang-reference.html|Documentation pour créer un fichier lang (en)]] | lang

318 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://developer.gnome.org/gtksourceview/stable/lang-tutorial.html|Un tutoriel pour créer un fichier lang (en)]] |    => suggestions : ['']
318 Mot inconnu : lang =>   * [[http://developer.gnome.org/gtksourceview/stable/lang-tutorial.html|Un tutoriel pour créer un fichier lang (en)]] | lang
321 Il manque un espace. => //Contributeurs : [[utilisateurs:Zarmakuizz]].// | zarmakuizz => suggestions : [' Zarmakuizz']
