
3 Mot inconnu : Kontact => ====== Synchroniser Kontact avec un Palm Pilot sous Kubuntu ====== | kontact
199 Mot inconnu : Akonadi => Il est temps d'installer les paquets pour Akonadi et KPilot avec la commande suivante : | akonadi
199 Mot inconnu : KPilot => Il est temps d'installer les paquets pour Akonadi et KPilot avec la commande suivante : | kpilot

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 |    => suggestions : ['']
201 Mot inconnu : sudo =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 | sudo
201 Mot inconnu : install =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 | install
201 Mot inconnu : akonadi-kde =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 | akonadi-kde
201 Mot inconnu : akonadi-server =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 | akonadi-server
201 Mot inconnu : kpilot =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 | kpilot
201 Mot inconnu : libmaildir4 =>   sudo aptitude install akonadi-kde akonadi-server kpilot libmaildir4 | libmaildir4

203 Mot inconnu : Kontact => Après l'installation réussie de ces paquets, il est important de lancer Kontact pour que Akonadi procède à sa première synchronisation des fichiers de Kontact avant de synchroniser le Palm. | kontact
203 Mot inconnu : Akonadi => Après l'installation réussie de ces paquets, il est important de lancer Kontact pour que Akonadi procède à sa première synchronisation des fichiers de Kontact avant de synchroniser le Palm. | akonadi
203 Mot inconnu : Kontact => Après l'installation réussie de ces paquets, il est important de lancer Kontact pour que Akonadi procède à sa première synchronisation des fichiers de Kontact avant de synchroniser le Palm. | kontact
203 Mot inconnu : Palm => Après l'installation réussie de ces paquets, il est important de lancer Kontact pour que Akonadi procède à sa première synchronisation des fichiers de Kontact avant de synchroniser le Palm. | palm

205 Mot inconnu : Kontac => Au lancement de Kontac, vous verrez de nouvelles fenêtres qui vous aviseront de l'avancement des synchronisations entre Akonadi et Kontact. | kontac
205 Mot inconnu : Akonadi => Au lancement de Kontac, vous verrez de nouvelles fenêtres qui vous aviseront de l'avancement des synchronisations entre Akonadi et Kontact. | akonadi
205 Mot inconnu : Kontact => Au lancement de Kontac, vous verrez de nouvelles fenêtres qui vous aviseront de l'avancement des synchronisations entre Akonadi et Kontact. | kontact

209 Mot inconnu : Kontact => Fermer Kontact. | kontact

211 Mot inconnu : Palm => Branchez le Palm s'il ne l'est pas. | palm

215 Mot inconnu : Palm => Pour la prise en charge correcte des caractères accentués et avant de procéder à la première synchronisation avec le Palm, il nous faut changer l'encodage des caractères de Kpilot pour l'ISO 8859-1. | palm
215 Mot inconnu : Kpilot => Pour la prise en charge correcte des caractères accentués et avant de procéder à la première synchronisation avec le Palm, il nous faut changer l'encodage des caractères de Kpilot pour l'ISO 8859-1. | kpilot

217 Mot inconnu : KDE => Dans le Menu KDE, section "Utilitaires", cliquez sur "Outil pour le Palm Pilot". | kde
217 Guillemets typographiques ouvrants. => Dans le Menu KDE, section "Utilitaires", cliquez sur "Outil pour le Palm Pilot". | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. => Dans le Menu KDE, section "Utilitaires", cliquez sur "Outil pour le Palm Pilot". | " => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. => Dans le Menu KDE, section "Utilitaires", cliquez sur "Outil pour le Palm Pilot". | " => suggestions : ['«\xa0', '“']
217 Mot inconnu : Palm => Dans le Menu KDE, section "Utilitaires", cliquez sur "Outil pour le Palm Pilot". | palm
217 Guillemets typographiques fermants. => Dans le Menu KDE, section "Utilitaires", cliquez sur "Outil pour le Palm Pilot". | " => suggestions : ['\xa0»', '”']

219 Mot inconnu : KPilot => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | kpilot
219 Guillemets typographiques ouvrants. => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | " => suggestions : ['«\xa0', '“']
219 Guillemets typographiques fermants. => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | " => suggestions : ['\xa0»', '”']
219 Guillemets typographiques ouvrants. => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | " => suggestions : ['«\xa0', '“']
219 Mot inconnu : KPilot => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | kpilot
219 Typographie : points de suspension. Utilisez le caractère dédié. => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | ... => suggestions : ['…']
219 Guillemets typographiques fermants. => Lors de son premier démarrage, vous vous retrouverez automatiquement dans le panneau de configuration de KPilot. Si cela n'est pas le cas, dans le menu "Configuration", cliquez sur l'option "Configurer KPilot...". | " => suggestions : ['\xa0»', '”']

221 Guillemets typographiques ouvrants. => Dans la section de gauche, cliquez sur l'option "Périphérique". | " => suggestions : ['«\xa0', '“']
221 Guillemets typographiques fermants. => Dans la section de gauche, cliquez sur l'option "Périphérique". | " => suggestions : ['\xa0»', '”']

223 Guillemets typographiques ouvrants. => Dans le champ "Encoding:", sélectionnez "Européen de l'ouest (ISO 8859-1)". | " => suggestions : ['«\xa0', '“']
223 Mot inconnu : Encoding => Dans le champ "Encoding:", sélectionnez "Européen de l'ouest (ISO 8859-1)". | encoding
223 Guillemets typographiques ouvrants. => Dans le champ "Encoding:", sélectionnez "Européen de l'ouest (ISO 8859-1)". | " => suggestions : ['«\xa0', '“']

227 Guillemets typographiques ouvrants. => En bas à droite, cliquez sur le bouton "Appliquer" et sur le bouton "Ok". | " => suggestions : ['«\xa0', '“']
227 Guillemets typographiques fermants. => En bas à droite, cliquez sur le bouton "Appliquer" et sur le bouton "Ok". | " => suggestions : ['\xa0»', '”']
227 Guillemets typographiques ouvrants. => En bas à droite, cliquez sur le bouton "Appliquer" et sur le bouton "Ok". | " => suggestions : ['«\xa0', '“']
227 Mot inconnu : Ok => En bas à droite, cliquez sur le bouton "Appliquer" et sur le bouton "Ok". | ok
227 Guillemets typographiques fermants. => En bas à droite, cliquez sur le bouton "Appliquer" et sur le bouton "Ok". | " => suggestions : ['\xa0»', '”']

229 Mot inconnu : KPilot => KPilot tante maintenant de se synchroniser, alors pointez le bouton de synchronisation sur le Palm. | kpilot
229 Mot inconnu : Palm => KPilot tante maintenant de se synchroniser, alors pointez le bouton de synchronisation sur le Palm. | palm
