
5 Mot inconnu : rTorrent => ====== rTorrent ====== | rtorrent
292 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |                          => suggestions : ['']
292 Il manque un espace à côté du tiret. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |  - => suggestions : [' – ', ' — ']
292 Guillemets typographiques ouvrants. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | " => suggestions : ['«\xa0', '“']
292 Mot inconnu : screen =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | screen
292 Il manque un espace à côté du tiret. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" |  - => suggestions : [' – ', ' — ']
292 Mot inconnu : fn =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | fn
292 Mot inconnu : dmS =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | dms
292 Mot inconnu : rtd =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | rtd
292 Mot inconnu : nice =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | nice
292 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | -19 => suggestions : ['−19', '– 19', '— 19']
292 Mot inconnu : rtorrent =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | rtorrent
292 Guillemets typographiques fermants. =>                         su -l ${user} -c "screen -fn -dmS rtd nice -19 rtorrent" | " => suggestions : ['\xa0»', '”']

293 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         echo "Terminated" |                          => suggestions : ['']
293 Mot inconnu : echo =>                         echo "Terminated" | echo
293 Guillemets typographiques ouvrants. =>                         echo "Terminated" | " => suggestions : ['«\xa0', '“']
293 Mot inconnu : Terminated =>                         echo "Terminated" | terminated
293 Guillemets typographiques fermants. =>                         echo "Terminated" | " => suggestions : ['\xa0»', '”']

294 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 } |                  => suggestions : ['']

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 fi |                  => suggestions : ['']

296 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
296 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

297 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *) |          => suggestions : ['']

298 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 echo "Usage: $SCRIPTNAME {start|stop|restart}" >&2 |                  => suggestions : ['']
298 Mot inconnu : echo =>                 echo "Usage: $SCRIPTNAME {start|stop|restart}" >&2 | echo
298 Guillemets typographiques ouvrants. =>                 echo "Usage: $SCRIPTNAME {start|stop|restart}" >&2 | " => suggestions : ['«\xa0', '“']
298 Mot inconnu : SCRIPTNAME =>                 echo "Usage: $SCRIPTNAME {start|stop|restart}" >&2 | scriptname
298 Mot inconnu : start =>                 echo "Usage: $SCRIPTNAME {start|stop|restart}" >&2 | start
298 Mot inconnu : restart =>                 echo "Usage: $SCRIPTNAME {start|stop|restart}" >&2 | restart

299 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 exit 2 |                  => suggestions : ['']

300 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
300 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

301 Mot inconnu : esac => esac | esac

303 Guillemets typographiques ouvrants. => <note tip>N'oubliez pas de compléter "user=" par votre nom d'utilisateur.</note> | " => suggestions : ['«\xa0', '“']

310 Mot inconnu : rtorrent => Maintenant, à chaque démarrage du système, rtorrent se lancera automatiquement. | rtorrent

319 Mot inconnu : crontab => ===…avec crontab === | crontab

321 Mot inconnu : crontab => Dans la crontab de l'utilisateur en lançant dtach. | crontab
321 Mot inconnu : dtach => Dans la crontab de l'utilisateur en lançant dtach. | dtach

322 Mot inconnu : dtach => L'utilisateur torrent lancera le dtach à chaque démarrage de la machine. | dtach

327 Espace(s) en fin de ligne à supprimer. => On rajoute cette ligne  |   => suggestions : ['']

329 Mot inconnu : Start => # Start rtorrent in a detached session | start
329 Mot inconnu : rtorrent => # Start rtorrent in a detached session | rtorrent
329 Mot inconnu : detached => # Start rtorrent in a detached session | detached

330 Mot inconnu : TERM => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent | term
330 Mot inconnu : xterm => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent | xterm
330 Mot inconnu : dtach => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent | dtach
330 Il manque un espace à côté du tiret. => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent |  - => suggestions : [' – ', ' — ']
330 Mot inconnu : rtorrent => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent | rtorrent
330 Doublon. => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent | rtorrent rtorrent => suggestions : ['rtorrent']
330 Mot inconnu : rtorrent => @reboot TERM=xterm dtach -n ~/torrents/rtorrent rtorrent | rtorrent

332 Mot inconnu : rTorrent => Ce qui fait toute la puissance de rTorrent est son API : xmlrpc. Elle permet a un logiciel client de se connecter à rTorrent et à fournir une interface en se basant sur le moteur du logiciel. Cette flexibilité, obtenu à un coût très raisonnable (installation du paquet rtorrent), permet d'utiliser rTorrent de multiples façons. | rtorrent
332 Mot inconnu : xmlrpc => Ce qui fait toute la puissance de rTorrent est son API : xmlrpc. Elle permet a un logiciel client de se connecter à rTorrent et à fournir une interface en se basant sur le moteur du logiciel. Cette flexibilité, obtenu à un coût très raisonnable (installation du paquet rtorrent), permet d'utiliser rTorrent de multiples façons. | xmlrpc
332 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Ce qui fait toute la puissance de rTorrent est son API : xmlrpc. Elle permet a un logiciel client de se connecter à rTorrent et à fournir une interface en se basant sur le moteur du logiciel. Cette flexibilité, obtenu à un coût très raisonnable (installation du paquet rtorrent), permet d'utiliser rTorrent de multiples façons. | a => suggestions : ['à']
332 Mot inconnu : rTorrent => Ce qui fait toute la puissance de rTorrent est son API : xmlrpc. Elle permet a un logiciel client de se connecter à rTorrent et à fournir une interface en se basant sur le moteur du logiciel. Cette flexibilité, obtenu à un coût très raisonnable (installation du paquet rtorrent), permet d'utiliser rTorrent de multiples façons. | rtorrent
332 Mot inconnu : rtorrent => Ce qui fait toute la puissance de rTorrent est son API : xmlrpc. Elle permet a un logiciel client de se connecter à rTorrent et à fournir une interface en se basant sur le moteur du logiciel. Cette flexibilité, obtenu à un coût très raisonnable (installation du paquet rtorrent), permet d'utiliser rTorrent de multiples façons. | rtorrent
332 Mot inconnu : rTorrent => Ce qui fait toute la puissance de rTorrent est son API : xmlrpc. Elle permet a un logiciel client de se connecter à rTorrent et à fournir une interface en se basant sur le moteur du logiciel. Cette flexibilité, obtenu à un coût très raisonnable (installation du paquet rtorrent), permet d'utiliser rTorrent de multiples façons. | rtorrent

333 Mot inconnu : mod_scgi => Il peut être nécessaire d'installer pour ces clients mod_scgi : | mod_scgi
334 Mot inconnu : libapache2-mod-scgi => [[apt>libapache2-mod-scgi]] (Disponible uniquement sur [[bionic|Ubuntu 18.04]] ((https://packages.ubuntu.com/search?suite=default&section=all&arch=any&searchon=names&keywords=libapache2-mod-scgi))) | libapache2-mod-scgi

339 Guillemets typographiques ouvrants. => ==== Interfaces "Web" ==== | " => suggestions : ['«\xa0', '“']
339 Guillemets typographiques fermants. => ==== Interfaces "Web" ==== | " => suggestions : ['\xa0»', '”']

340 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[rutorrent]] est une interface web en php. Elle est basée sur l'apparence (très agréable au demeurant) de uTorrent, le logiciel windows. |    => suggestions : ['']
340 Mot inconnu : rutorrent =>   * [[rutorrent]] est une interface web en php. Elle est basée sur l'apparence (très agréable au demeurant) de uTorrent, le logiciel windows. | rutorrent
340 Mot inconnu : php =>   * [[rutorrent]] est une interface web en php. Elle est basée sur l'apparence (très agréable au demeurant) de uTorrent, le logiciel windows. | php
340 Élision de l’article devant un mot commençant par une voyelle. =>   * [[rutorrent]] est une interface web en php. Elle est basée sur l'apparence (très agréable au demeurant) de uTorrent, le logiciel windows. | de  => suggestions : ['d’']
340 Mot inconnu : uTorrent =>   * [[rutorrent]] est une interface web en php. Elle est basée sur l'apparence (très agréable au demeurant) de uTorrent, le logiciel windows. | utorrent

342 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://github.com/Flood-UI/flood|flood]] est une interface moderne écrite en Node.js spécifiquement pour rTorrent, minimaliste et très fiable. |    => suggestions : ['']
342 Mot inconnu : Node =>   * [[https://github.com/Flood-UI/flood|flood]] est une interface moderne écrite en Node.js spécifiquement pour rTorrent, minimaliste et très fiable. | node
342 Mot inconnu : js =>   * [[https://github.com/Flood-UI/flood|flood]] est une interface moderne écrite en Node.js spécifiquement pour rTorrent, minimaliste et très fiable. | js
342 Mot inconnu : rTorrent =>   * [[https://github.com/Flood-UI/flood|flood]] est une interface moderne écrite en Node.js spécifiquement pour rTorrent, minimaliste et très fiable. | rtorrent

346 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://rakshasa.github.io/rtorrent/|Site officiel de rTorrent]] (en) |    => suggestions : ['']
346 Mot inconnu : rTorrent =>   * [[http://rakshasa.github.io/rtorrent/|Site officiel de rTorrent]] (en) | rtorrent
350 Mot inconnu : Spirit => //Contributeurs : [[utilisateurs:Yoann]], [[utilisateurs:Samaga]], [[utilisateurs:Flayor]], Geek Spirit, Simtris.// | spirit
350 Mot inconnu : Simtris => //Contributeurs : [[utilisateurs:Yoann]], [[utilisateurs:Samaga]], [[utilisateurs:Flayor]], Geek Spirit, Simtris.// | simtris
