
10 Mot inconnu : lspci [[5:10]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lspci
10 Mot inconnu : lsusb [[62:67]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lsusb

13 Accord de nombre erroné : « compatibles » devrait être au singulier. [[17:28]] => ===== Cartes son compatibles ===== <|> compatibles => suggestions : ['compatible']

15 Guillemets typographiques ouvrants. [[58:59]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : of [[63:65]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> of
15 Mot inconnu : the [[66:69]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> the
15 Guillemets typographiques fermants. [[73:74]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['\xa0»', '”']

18 Mot inconnu : ALi [[2:5]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> ali
53 Mot inconnu : X1204USB [[20:28]] => | Behringer | XENYX X1204USB  | ? | Oui | Oui | Fonctionne sur Ubuntu 14.04 | <|> x1204usb

54 Mot inconnu : Behringer [[2:11]] => | Behringer | XENYX X2442USB  | PCM2902 | Oui | Oui | Fonctionne sur Ubuntu 20.04 | <|> behringer
54 Mot inconnu : XENYX [[14:19]] => | Behringer | XENYX X2442USB  | PCM2902 | Oui | Oui | Fonctionne sur Ubuntu 20.04 | <|> xenyx
54 Mot inconnu : X2442USB [[20:28]] => | Behringer | XENYX X2442USB  | PCM2902 | Oui | Oui | Fonctionne sur Ubuntu 20.04 | <|> x2442usb
54 Mot inconnu : PCM2902 [[32:39]] => | Behringer | XENYX X2442USB  | PCM2902 | Oui | Oui | Fonctionne sur Ubuntu 20.04 | <|> pcm2902

55 Mot inconnu : Behringer [[2:11]] => | Behringer | XENYX Q502USB   | ? | Oui | Oui | Fonctionne sur Ubuntu Studio 16.04 | <|> behringer
55 Mot inconnu : XENYX [[14:19]] => | Behringer | XENYX Q502USB   | ? | Oui | Oui | Fonctionne sur Ubuntu Studio 16.04 | <|> xenyx
55 Mot inconnu : Q502USB [[20:27]] => | Behringer | XENYX Q502USB   | ? | Oui | Oui | Fonctionne sur Ubuntu Studio 16.04 | <|> q502usb

56 Mot inconnu : Behringer [[2:11]] => | Behringer | XENYX Q1202USB  | TI PCM2902 | Oui | Oui | Fonctionne sur KXStudio 14.04 et Ubuntu Studio 16.04| <|> behringer
56 Mot inconnu : XENYX [[14:19]] => | Behringer | XENYX Q1202USB  | TI PCM2902 | Oui | Oui | Fonctionne sur KXStudio 14.04 et Ubuntu Studio 16.04| <|> xenyx
56 Mot inconnu : Q1202USB [[20:28]] => | Behringer | XENYX Q1202USB  | TI PCM2902 | Oui | Oui | Fonctionne sur KXStudio 14.04 et Ubuntu Studio 16.04| <|> q1202usb
56 Mot inconnu : PCM2902 [[35:42]] => | Behringer | XENYX Q1202USB  | TI PCM2902 | Oui | Oui | Fonctionne sur KXStudio 14.04 et Ubuntu Studio 16.04| <|> pcm2902
56 Mot inconnu : KXStudio [[72:80]] => | Behringer | XENYX Q1202USB  | TI PCM2902 | Oui | Oui | Fonctionne sur KXStudio 14.04 et Ubuntu Studio 16.04| <|> kxstudio

57 Mot inconnu : Behringer [[2:11]] => | Behringer | XENYX Q802USB  | ? | Oui | Oui | Fonctionne parfaitement sur Ubuntu 14.04 jusqu'à 15.04  | <|> behringer
57 Mot inconnu : XENYX [[14:19]] => | Behringer | XENYX Q802USB  | ? | Oui | Oui | Fonctionne parfaitement sur Ubuntu 14.04 jusqu'à 15.04  | <|> xenyx
57 Mot inconnu : Q802USB [[20:27]] => | Behringer | XENYX Q802USB  | ? | Oui | Oui | Fonctionne parfaitement sur Ubuntu 14.04 jusqu'à 15.04  | <|> q802usb

58 Mot inconnu : Behringer [[2:11]] => | Behringer | U-PHORIA UMC404HD  | USB-Audio UMC404HD 192k | Oui | Oui | Fonctionne sur Ubuntu 20.04 en multi-canal  | <|> behringer
58 Mot inconnu : U-PHORIA [[14:22]] => | Behringer | U-PHORIA UMC404HD  | USB-Audio UMC404HD 192k | Oui | Oui | Fonctionne sur Ubuntu 20.04 en multi-canal  | <|> u-phoria
58 Mot inconnu : UMC404HD [[23:31]] => | Behringer | U-PHORIA UMC404HD  | USB-Audio UMC404HD 192k | Oui | Oui | Fonctionne sur Ubuntu 20.04 en multi-canal  | <|> umc404hd
58 Mot inconnu : UMC404HD [[45:53]] => | Behringer | U-PHORIA UMC404HD  | USB-Audio UMC404HD 192k | Oui | Oui | Fonctionne sur Ubuntu 20.04 en multi-canal  | <|> umc404hd

59 Mot inconnu : Creative [[2:10]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> creative
59 Mot inconnu : Labs [[11:15]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> labs
59 Mot inconnu : Sound [[21:26]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> sound
59 Mot inconnu : External [[49:57]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> external
59 Mot inconnu : usb-audio [[60:69]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> usb-audio
59 Mot inconnu : spdif [[260:265]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> spdif
59 Mot inconnu : cmss [[302:306]] => | Creative Labs    | Sound Blaster Live! 24 bits External | usb-audio | <del>Non</del>Oui             | Oui            | <del>Fonctionne après avoir désactivé la carte son intégrée à la carte mère et après avoir réinitialisé et redémarré ALSA.</del> Le micro, spdif et le 5.1 fonctionnent, mais pas le cmss| <|> cmss

62 Mot inconnu : CM6501 [[12:18]] => | C-Media | CM6501 | CM6501 | oui | oui | Le pilote est installé (uniquement à partir de la version 7.10 d'ubuntu) mais, c'est un chipset intégré. Il est branché sur le BUS USB (hu?!) il faut donc dans "Système-Préférences-Son" : passer du mode automatique au mode USB Audio!| <|> cm6501
62 Mot inconnu : CM6501 [[21:27]] => | C-Media | CM6501 | CM6501 | oui | oui | Le pilote est installé (uniquement à partir de la version 7.10 d'ubuntu) mais, c'est un chipset intégré. Il est branché sur le BUS USB (hu?!) il faut donc dans "Système-Préférences-Son" : passer du mode automatique au mode USB Audio!| <|> cm6501
62 Mot inconnu : hu [[178:180]] => | C-Media | CM6501 | CM6501 | oui | oui | Le pilote est installé (uniquement à partir de la version 7.10 d'ubuntu) mais, c'est un chipset intégré. Il est branché sur le BUS USB (hu?!) il faut donc dans "Système-Préférences-Son" : passer du mode automatique au mode USB Audio!| <|> hu
62 Guillemets typographiques ouvrants. [[202:203]] => | C-Media | CM6501 | CM6501 | oui | oui | Le pilote est installé (uniquement à partir de la version 7.10 d'ubuntu) mais, c'est un chipset intégré. Il est branché sur le BUS USB (hu?!) il faut donc dans "Système-Préférences-Son" : passer du mode automatique au mode USB Audio!| <|> " => suggestions : ['«\xa0', '“']
62 Guillemets typographiques fermants. [[226:227]] => | C-Media | CM6501 | CM6501 | oui | oui | Le pilote est installé (uniquement à partir de la version 7.10 d'ubuntu) mais, c'est un chipset intégré. Il est branché sur le BUS USB (hu?!) il faut donc dans "Système-Préférences-Son" : passer du mode automatique au mode USB Audio!| <|> " => suggestions : ['\xa0»', '”']

64 Mot inconnu : Firestone [[2:11]] => | Firestone | Fubar III mk2 |  | oui | oui | Détection automatique, fonctionne parfaitement sur Ubuntu 10.10.  | <|> firestone
64 Mot inconnu : Fubar [[14:19]] => | Firestone | Fubar III mk2 |  | oui | oui | Détection automatique, fonctionne parfaitement sur Ubuntu 10.10.  | <|> fubar
64 Mot inconnu : mk2 [[24:27]] => | Firestone | Fubar III mk2 |  | oui | oui | Détection automatique, fonctionne parfaitement sur Ubuntu 10.10.  | <|> mk2

66 Mot inconnu : Pocket [[21:27]] => | Hercules | Muse XL Pocket LT3 |  | oui | oui | Fonctionne sous Lucid. Seul bémol : apparemment fonctionne en stéréo et non 5.1 (idem que pour la compatibilité MAC). Pour l'utiliser, juste choisir correctement dans l'outil de gestion du son. Il semblerait que ce soit réglé, car on a les niveaux de sortie face, arrière et sub dans les réglages, pas test le micro ni le line in. Très bonne petite carte, le son est excellent. Parfait avec ubuntu studio base karmic.| <|> pocket
66 Mot inconnu : LT3 [[28:31]] => | Hercules | Muse XL Pocket LT3 |  | oui | oui | Fonctionne sous Lucid. Seul bémol : apparemment fonctionne en stéréo et non 5.1 (idem que pour la compatibilité MAC). Pour l'utiliser, juste choisir correctement dans l'outil de gestion du son. Il semblerait que ce soit réglé, car on a les niveaux de sortie face, arrière et sub dans les réglages, pas test le micro ni le line in. Très bonne petite carte, le son est excellent. Parfait avec ubuntu studio base karmic.| <|> lt3
66 Mot inconnu : sub [[324:327]] => | Hercules | Muse XL Pocket LT3 |  | oui | oui | Fonctionne sous Lucid. Seul bémol : apparemment fonctionne en stéréo et non 5.1 (idem que pour la compatibilité MAC). Pour l'utiliser, juste choisir correctement dans l'outil de gestion du son. Il semblerait que ce soit réglé, car on a les niveaux de sortie face, arrière et sub dans les réglages, pas test le micro ni le line in. Très bonne petite carte, le son est excellent. Parfait avec ubuntu studio base karmic.| <|> sub
66 Mot inconnu : line [[371:375]] => | Hercules | Muse XL Pocket LT3 |  | oui | oui | Fonctionne sous Lucid. Seul bémol : apparemment fonctionne en stéréo et non 5.1 (idem que pour la compatibilité MAC). Pour l'utiliser, juste choisir correctement dans l'outil de gestion du son. Il semblerait que ce soit réglé, car on a les niveaux de sortie face, arrière et sub dans les réglages, pas test le micro ni le line in. Très bonne petite carte, le son est excellent. Parfait avec ubuntu studio base karmic.| <|> line

67 Mot inconnu : Lexicon [[2:9]] => | Lexicon | Alpha | snd_usb_audio | Oui | Oui | Comme pour la Omega: pas de mixer logiciel (mais matériel).  | <|> lexicon
67 Mot inconnu : snd_usb_audio [[20:33]] => | Lexicon | Alpha | snd_usb_audio | Oui | Oui | Comme pour la Omega: pas de mixer logiciel (mais matériel).  | <|> snd_usb_audio
67 Mot inconnu : Omega [[62:67]] => | Lexicon | Alpha | snd_usb_audio | Oui | Oui | Comme pour la Omega: pas de mixer logiciel (mais matériel).  | <|> omega

68 Mot inconnu : Lexicon [[2:9]] => | Lexicon | Omega | snd_usb_audio ? | Oui | Oui | Pas de mixer logiciel, mais tout se fait en hardware avec des potentiomètres physiques. Les quatres pistes d'acquisition sont disponibles sous jack et même directement dans audacity. Latence inférieure à 10ms sans xrun | <|> lexicon
68 Mot inconnu : Omega [[12:17]] => | Lexicon | Omega | snd_usb_audio ? | Oui | Oui | Pas de mixer logiciel, mais tout se fait en hardware avec des potentiomètres physiques. Les quatres pistes d'acquisition sont disponibles sous jack et même directement dans audacity. Latence inférieure à 10ms sans xrun | <|> omega
68 Mot inconnu : snd_usb_audio [[20:33]] => | Lexicon | Omega | snd_usb_audio ? | Oui | Oui | Pas de mixer logiciel, mais tout se fait en hardware avec des potentiomètres physiques. Les quatres pistes d'acquisition sont disponibles sous jack et même directement dans audacity. Latence inférieure à 10ms sans xrun | <|> snd_usb_audio
68 Mot inconnu : quatres [[142:149]] => | Lexicon | Omega | snd_usb_audio ? | Oui | Oui | Pas de mixer logiciel, mais tout se fait en hardware avec des potentiomètres physiques. Les quatres pistes d'acquisition sont disponibles sous jack et même directement dans audacity. Latence inférieure à 10ms sans xrun | <|> quatres
68 Mot inconnu : audacity [[223:231]] => | Lexicon | Omega | snd_usb_audio ? | Oui | Oui | Pas de mixer logiciel, mais tout se fait en hardware avec des potentiomètres physiques. Les quatres pistes d'acquisition sont disponibles sous jack et même directement dans audacity. Latence inférieure à 10ms sans xrun | <|> audacity
68 Mot inconnu : xrun [[264:268]] => | Lexicon | Omega | snd_usb_audio ? | Oui | Oui | Pas de mixer logiciel, mais tout se fait en hardware avec des potentiomètres physiques. Les quatres pistes d'acquisition sont disponibles sous jack et même directement dans audacity. Latence inférieure à 10ms sans xrun | <|> xrun
69 Mot inconnu : G930 [[22:26]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> g930
69 Mot inconnu : Headset [[27:34]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> headset
69 Mot inconnu : SecondLife [[214:224]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> secondlife
69 Mot inconnu : snowglobe [[226:235]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> snowglobe
69 Mot inconnu : v1 [[236:238]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> v1
69 Mot inconnu : v2 [[242:244]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> v2
69 Mot inconnu : Twinkle [[263:270]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> twinkle
69 Mot inconnu : softphone [[272:281]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> softphone
69 Mot inconnu : VOIP [[282:286]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> voip
69 Mot inconnu : google-chrome [[303:316]] => | Logitech | Logitech G930 Headset | | Oui | Oui | Casque sans fil avec base USB faisant office de carte son. Est reconnu automatiquement et fonctionnel sous Ubuntu 10.04 64bits. Testée avec Skype (communication), SecondLife (snowglobe v1 et v2) (monde virtuel), Twinkle (softphone VOIP), vlc, firefox, google-chrome. Les touches programmables ne sont pas reconnues, mais le réglage du volume par la molette et le bouton pour couper le micro sont fonctionnels. Nécessite le logiciel pour fonctionner en 7.1, donc sous linux il faudra se contenter de la stéréo et sans retour du son micro (mais bon cela reste un son d'excellente qualités en entré comme en sortie) | <|> google-chrome

70 Mot inconnu : FastTrack [[12:21]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> fasttrack
70 Mot inconnu : MKII [[22:26]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> mkii
70 Guillemets typographiques ouvrants. [[68:69]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> " => suggestions : ['«\xa0', '“']
70 Mot inconnu : plug [[69:73]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> plug
70 Mot inconnu : and [[74:77]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> and
70 Mot inconnu : play [[78:82]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> play
70 Guillemets typographiques fermants. [[82:83]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> " => suggestions : ['\xa0»', '”']
70 Mot inconnu : jackd [[97:102]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> jackd
70 Mot inconnu : Ardour [[149:155]] => | M-AUDIO | FastTrack MKII | ? | Oui | Oui | Fonctionnement complet "plug and play" avec ALSA et jackd. Parfaite pour enregistrer des maquettes avec Ardour, latence atteignable suffisamment faible pour envisager une utilisation temps réel. | <|> ardour

71 Mot inconnu : NAD [[2:5]] => | NAD | NAD PP3 | | Oui | Oui | Préampli Phono avec entrées MC ou MM commutable sur RCA, entrée ligne sur RCA, liaison USB, détection automatique sur ubuntu 10.4 | <|> nad
71 Mot inconnu : NAD [[8:11]] => | NAD | NAD PP3 | | Oui | Oui | Préampli Phono avec entrées MC ou MM commutable sur RCA, entrée ligne sur RCA, liaison USB, détection automatique sur ubuntu 10.4 | <|> nad
71 Mot inconnu : PP3 [[12:15]] => | NAD | NAD PP3 | | Oui | Oui | Préampli Phono avec entrées MC ou MM commutable sur RCA, entrée ligne sur RCA, liaison USB, détection automatique sur ubuntu 10.4 | <|> pp3
71 Mot inconnu : Préampli [[32:40]] => | NAD | NAD PP3 | | Oui | Oui | Préampli Phono avec entrées MC ou MM commutable sur RCA, entrée ligne sur RCA, liaison USB, détection automatique sur ubuntu 10.4 | <|> préampli
71 Mot inconnu : RCA [[84:87]] => | NAD | NAD PP3 | | Oui | Oui | Préampli Phono avec entrées MC ou MM commutable sur RCA, entrée ligne sur RCA, liaison USB, détection automatique sur ubuntu 10.4 | <|> rca
71 Mot inconnu : RCA [[106:109]] => | NAD | NAD PP3 | | Oui | Oui | Préampli Phono avec entrées MC ou MM commutable sur RCA, entrée ligne sur RCA, liaison USB, détection automatique sur ubuntu 10.4 | <|> rca

73 Mot inconnu : Presonus [[2:10]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> presonus
73 Mot inconnu : AudioBox [[13:21]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> audiobox
73 Mot inconnu : USB96 [[22:27]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> usb96
73 Guillemets typographiques ouvrants. [[69:70]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> " => suggestions : ['«\xa0', '“']
73 Mot inconnu : plug [[70:74]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> plug
73 Mot inconnu : play [[77:81]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> play
73 Guillemets typographiques fermants. [[81:82]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> " => suggestions : ['\xa0»', '”']
73 Formatage des grands nombres. [[157:162]] => | Presonus | AudioBox USB96 |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage | <|> 48000 => suggestions : ['48\xa0000']

74 Mot inconnu : Focusrite [[2:11]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> focusrite
74 Mot inconnu : i8 [[25:27]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> i8
74 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. [[28:31]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> 2nd => suggestions : ['2ᵈ']
74 Guillemets typographiques ouvrants. [[84:85]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> " => suggestions : ['«\xa0', '“']
