
3 Mot inconnu : FOG => ====== FOG ====== | fog
232 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => 1) Faites booter votre client en PXE, puis, lors de l'affichage du menu FOG enregistrez-le auprès du serveur en sélectionnant "Perform Full Host Registration and Inventory" ou équivalent. Quelques questions de configuration vont vous être posées telles que le nom d'hôte du client, puis un rapide inventaire matériel sera effectué et le client sera rebooté. A ce point il sera enregistré auprès du serveur. | a => suggestions : ['À']

233 Mot inconnu : FOG => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | fog
233 Guillemets typographiques ouvrants. => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | " => suggestions : ['«\xa0', '“']
233 Mot inconnu : Host => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | host
233 Guillemets typographiques fermants. => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | " => suggestions : ['\xa0»', '”']
233 Guillemets typographiques ouvrants. => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | " => suggestions : ['«\xa0', '“']
233 Guillemets typographiques fermants. => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | " => suggestions : ['\xa0»', '”']
233 Mot inconnu : fog => 2) Rendez-vous dans l'interface web de FOG, allez dans "Host management" >> "nouveau poste", vous devez impérativement connaître l'adresse MAC du poste à ajouter (fog utilise exclusivement l'adresse MAC pour communiquer avec les postes client), vous pouvez aussi rentrer le nom de la machine ainsi que l'adresse IP. | fog

236 Guillemets typographiques ouvrants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['«\xa0', '“']
236 Mot inconnu : hosts => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | hosts
236 Guillemets typographiques fermants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['\xa0»', '”']
236 Guillemets typographiques ouvrants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['«\xa0', '“']
236 Mot inconnu : list => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | list
236 Mot inconnu : all => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | all
236 Mot inconnu : hosts => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | hosts
236 Guillemets typographiques fermants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['\xa0»', '”']
236 Guillemets typographiques ouvrants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['«\xa0', '“']
236 Mot inconnu : edit => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | edit
236 Guillemets typographiques fermants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['\xa0»', '”']
236 Guillemets typographiques ouvrants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['«\xa0', '“']
236 Mot inconnu : update => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | update
236 Guillemets typographiques fermants. => Sur l'interface de gestion, allez dans la partie "hosts" puis cliquez sur "list all hosts" et cliquez sur le bouton "edit" de l'hôte sur lequel vous souhaitez déployer une image. Si vous ne l'avez pas fait durant l'enregistrement du client, sélectionnez alors l'image et l'OS que vous souhaitez déployer puis cliquez sur "update". | " => suggestions : ['\xa0»', '”']

239 Guillemets typographiques ouvrants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | " => suggestions : ['«\xa0', '“']
239 Mot inconnu : basic => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | basic
239 Mot inconnu : tasks => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | tasks
239 Guillemets typographiques fermants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | " => suggestions : ['\xa0»', '”']
239 Guillemets typographiques ouvrants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | " => suggestions : ['«\xa0', '“']
239 Mot inconnu : deploy => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | deploy
239 Guillemets typographiques fermants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | " => suggestions : ['\xa0»', '”']
239 Guillemets typographiques ouvrants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | " => suggestions : ['«\xa0', '“']
239 Mot inconnu : all => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | all
239 Mot inconnu : computers => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | computers
239 Guillemets typographiques fermants. => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | " => suggestions : ['\xa0»', '”']
239 Mot inconnu : Rebootez => Toujours dans le menu d'édition de l'hôte, cliquez sur "basic tasks" dans le menu de gauche puis sélectionnez "deploy" et sélectionnez "image all computers". Rebootez le client et ça devrait être bon. | rebootez

253 Mot inconnu : FOG => Supprimer les bases de données FOG : | fog

256 Mot inconnu : quit => quit</code> | quit

258 Mot inconnu : FOG => Supprimer l'utilisateur FOG : | fog

261 Mot inconnu : FOG => Supprimer les services FOG : | fog

264 Mot inconnu : sudo => sudo rm /etc/init.d/FOGScheduler</code> | sudo
264 Mot inconnu : rm => sudo rm /etc/init.d/FOGScheduler</code> | rm

268 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.fogproject.org/|page officielle]] |    => suggestions : ['']

269 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://sourceforge.net/projects/freeghost/|page sourceforge (dont téléchargement)]]  |    => suggestions : ['']
269 Mot inconnu : sourceforge =>   * **(en)** [[https://sourceforge.net/projects/freeghost/|page sourceforge (dont téléchargement)]]  | sourceforge
269 Espace(s) en fin de ligne à supprimer. =>   * **(en)** [[https://sourceforge.net/projects/freeghost/|page sourceforge (dont téléchargement)]]  |   => suggestions : ['']

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://inios.fr/installation-de-fog| Article traitant de l'installation]] |    => suggestions : ['']

271 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://inios.fr/mettre-a-jour-fog| Du même auteur que le précédent, mais pour mettre à jour]] |    => suggestions : ['']

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** (à lire sur le forum ubuntu) [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22284513#p22284513| un petit tuto clef en main pour démarrer une iso]] |    => suggestions : ['']
272 Mot inconnu : iso =>   * **(fr)** (à lire sur le forum ubuntu) [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22284513#p22284513| un petit tuto clef en main pour démarrer une iso]] | iso
