1 Mot inconnu : Driv3r => ====== Driv3r (Driver 3) ====== | driv3r
46 Mot inconnu : icone =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ | icone
46 Guillemets typographiques ouvrants. =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : DRIV3R =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ | driv3r
46 Guillemets typographiques fermants. =>   * L'installation est terminée, vous pouvez retirer le dvd du lecteur ou démonter son image iso, vous n'en avez plus besoin. Une icone au R **"DRIV3R"** sur votre bureau vous permet de lancer le jeu. Penser à régler les Paramètres avant de jouer. Bonne nuit de conduite ! ^_^ | " => suggestions : ['\xa0»', '”']

47 Guillemets typographiques ouvrants. => <note help>**"Driv3r.desktop", Lanceur d'application non fiable ?** au lieu de l'icône au R ? double-clic, "Marquer comme fiable".</note> | " => suggestions : ['«\xa0', '“']
47 Mot inconnu : Driv3r => <note help>**"Driv3r.desktop", Lanceur d'application non fiable ?** au lieu de l'icône au R ? double-clic, "Marquer comme fiable".</note> | driv3r
47 Mot inconnu : desktop => <note help>**"Driv3r.desktop", Lanceur d'application non fiable ?** au lieu de l'icône au R ? double-clic, "Marquer comme fiable".</note> | desktop
47 Guillemets typographiques fermants. => <note help>**"Driv3r.desktop", Lanceur d'application non fiable ?** au lieu de l'icône au R ? double-clic, "Marquer comme fiable".</note> | " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. => <note help>**"Driv3r.desktop", Lanceur d'application non fiable ?** au lieu de l'icône au R ? double-clic, "Marquer comme fiable".</note> | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => <note help>**"Driv3r.desktop", Lanceur d'application non fiable ?** au lieu de l'icône au R ? double-clic, "Marquer comme fiable".</note> | " => suggestions : ['\xa0»', '”']

50 Typographie : points de suspension. Utilisez le caractère dédié. => <note>Si une fois dans le jeu vous rencontrez des problèmes d'affichages vous avez quelques réglages à faire dans la Base de Registre...</note> | ... => suggestions : ['…']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : |    => suggestions : ['']
51 Mot inconnu : gedit =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : | gedit
51 Guillemets typographiques ouvrants. =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : driv3r =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : | driv3r
51 Il manque un espace. =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : | reg => suggestions : [' reg']
51 Guillemets typographiques fermants. =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : | " => suggestions : ['\xa0»', '”']
51 Mot inconnu : PlayOnLinux =>   * Avec un éditeur de texte ([[gedit]] etc.) créer un fichier **"driv3r.reg"** dans votre **./PlayOnLinux** contenant : | playonlinux

65 Guillemets typographiques ouvrants. => <note tip>Remplacer le 128 de **"VideoMemorySize"="128"** par la taille de votre mémoire graphique.</note> | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : VideoMemorySize => <note tip>Remplacer le 128 de **"VideoMemorySize"="128"** par la taille de votre mémoire graphique.</note> | videomemorysize
65 Guillemets typographiques fermants. => <note tip>Remplacer le 128 de **"VideoMemorySize"="128"** par la taille de votre mémoire graphique.</note> | " => suggestions : ['\xa0»', '”']
65 Guillemets typographiques ouvrants. => <note tip>Remplacer le 128 de **"VideoMemorySize"="128"** par la taille de votre mémoire graphique.</note> | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => <note tip>Remplacer le 128 de **"VideoMemorySize"="128"** par la taille de votre mémoire graphique.</note> | " => suggestions : ['\xa0»', '”']

67 Guillemets typographiques ouvrants. => <note>En réalité seul **"UseGLSL"="disabled"** m'a été indispensable pour corriger l'affichage, les autres m'ont donné de meilleures performances.</note> | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : UseGLSL => <note>En réalité seul **"UseGLSL"="disabled"** m'a été indispensable pour corriger l'affichage, les autres m'ont donné de meilleures performances.</note> | useglsl
67 Guillemets typographiques fermants. => <note>En réalité seul **"UseGLSL"="disabled"** m'a été indispensable pour corriger l'affichage, les autres m'ont donné de meilleures performances.</note> | " => suggestions : ['\xa0»', '”']
67 Guillemets typographiques ouvrants. => <note>En réalité seul **"UseGLSL"="disabled"** m'a été indispensable pour corriger l'affichage, les autres m'ont donné de meilleures performances.</note> | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : disabled => <note>En réalité seul **"UseGLSL"="disabled"** m'a été indispensable pour corriger l'affichage, les autres m'ont donné de meilleures performances.</note> | disabled
67 Guillemets typographiques fermants. => <note>En réalité seul **"UseGLSL"="disabled"** m'a été indispensable pour corriger l'affichage, les autres m'ont donné de meilleures performances.</note> | " => suggestions : ['\xa0»', '”']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). |    => suggestions : ['']
69 Mot inconnu : playonlinux =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | playonlinux
69 Mot inconnu : driv3r =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | driv3r
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : driv3r =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | driv3r
69 Il manque un espace. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | reg => suggestions : [' reg']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Mot inconnu : HKEY_CURRENT_USER =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | hkey_current_user
69 Mot inconnu : Wine =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | wine
69 Mot inconnu : Direct3D =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | direct3d
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']
69 Mot inconnu : playonlinux =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | playonlinux
69 Guillemets typographiques ouvrants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. =>   * Lancer playonlinux : choisissez driv3r dans la liste, **"Configurer cette application" "Suivant" "Base de Registre" "Suivant"**, menu **"Registre"** choisissez **"Importer un fichier Registre"** et **"driv3r.reg" "Ouvrir"**. Vérifier en développant **HKEY_CURRENT_USER\Software\Wine\Direct3D** que l'importation a réussi. **Menu Registre, "Quitter"**. Fenêtre playonlinux **"Annuler"** (une mise à jour du préfixe peut être nécessaire). | " => suggestions : ['\xa0»', '”']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Lancer le jeu pour voir la différence. :-D** |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fichier driv3r.reg n'est plus nécessaire, vous pouvez néanmoins le conservé si vous souhaitez apporter des modifications et pouvoir revenir à cette configuration facilement. |    => suggestions : ['']
71 Mot inconnu : driv3r =>   * Le fichier driv3r.reg n'est plus nécessaire, vous pouvez néanmoins le conservé si vous souhaitez apporter des modifications et pouvoir revenir à cette configuration facilement. | driv3r
71 Il manque un espace. =>   * Le fichier driv3r.reg n'est plus nécessaire, vous pouvez néanmoins le conservé si vous souhaitez apporter des modifications et pouvoir revenir à cette configuration facilement. | reg => suggestions : [' reg']
71 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. =>   * Le fichier driv3r.reg n'est plus nécessaire, vous pouvez néanmoins le conservé si vous souhaitez apporter des modifications et pouvoir revenir à cette configuration facilement. | conservé => suggestions : ['conserver']
73 Mot inconnu : playonlinux => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | playonlinux
73 Guillemets typographiques ouvrants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques ouvrants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['«\xa0', '“']
73 Mot inconnu : wine => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | wine
73 Guillemets typographiques fermants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['\xa0»', '”']
73 Mot inconnu : wine => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | wine
73 Mot inconnu : wine => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | wine
73 Accord de nombre erroné avec « performance ». => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | bonnes => suggestions : ['bonne']
73 Accord de nombre erroné avec « bonnes ». => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | performance => suggestions : ['performances']
73 Espace(s) surnuméraire(s) à supprimer. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> |    => suggestions : [' ']
73 Guillemets typographiques ouvrants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques ouvrants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques ouvrants. => <note tip>**Jeu trop lent ?** Dans playonlinux, "Outils", "Gérer les versions de wine", choisissez une autre version de wine (**wine 1.1.0** m'a donné de bonnes performance mais apporte quelques bugs graphiques mineurs),  bouton "Ajouter", onglet "mes applications", "driv3r" et choisissez la "Version", "Fermer". Une "Mise à jour du préfixe" peut être nécessaire (bouton "Configurer cette application").</note> | " => suggestions : ['«\xa0', '“']
