
5 Mot inconnu : ddrescue => ====== ddrescue ====== | ddrescue
313 Mot inconnu : convmv =>   * [[convmv]] pour convertir les noms de fichiers en UTF8 ; | convmv
313 Mot inconnu : UTF8 =>   * [[convmv]] pour convertir les noms de fichiers en UTF8 ; | utf8
314 Mot inconnu : NTFS =>   * Si partition NTFS, la duplication est possible en ignorant les secteurs illisibles. [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22519703#p22519703|Exemple.]] <code bash> ntfsclone -f --rescue  --overwrite '/dev/sda1'  '/dev/sdd1' </code> | ntfs

316 Mot inconnu : ddrescue => Pour restaurer une sauvegarde effectuée par ddrescue, soit vous utilisez la commande [[dd]] soit cette commande ddrescue: | ddrescue
316 Mot inconnu : dd => Pour restaurer une sauvegarde effectuée par ddrescue, soit vous utilisez la commande [[dd]] soit cette commande ddrescue: | dd
316 Mot inconnu : ddrescue => Pour restaurer une sauvegarde effectuée par ddrescue, soit vous utilisez la commande [[dd]] soit cette commande ddrescue: | ddrescue

318 Mot inconnu : sdx => modifier sdx par le disque sur lequel vous souhaitez restaurer l'image de sauvegarde. | sdx

326 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[probleme_de_disque|Problème de disque ou partition]] |    => suggestions : ['']
326 Mot inconnu : probleme_de_disque =>   * [[probleme_de_disque|Problème de disque ou partition]] | probleme_de_disque

327 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=92840&p=1|Discussion « Bilan : comment récupérer des données perdues » sur le forum Ubuntu-fr]], très utile pour la récupération de données sur un disque dur endommagé |    => suggestions : ['']

328 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=447877|Discussion « Topic unique récupération de données » sur le forum Ubuntu-fr]], à consulter pour y soumettre votre cas et trouver de l'aide |    => suggestions : ['']
328 Mot inconnu : Topic =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=447877|Discussion « Topic unique récupération de données » sur le forum Ubuntu-fr]], à consulter pour y soumettre votre cas et trouver de l'aide | topic

329 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://linuxfr.org/news/ddrescue-dd_rescue-myrescue-recuperer-ses-donnees-apres-un-crash-disque]], autre cas, plus récent, de récupération de données |    => suggestions : ['']

330 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.gnu.org/software/ddrescue/ddrescue.html|page officielle de GNU ddrescue]] |    => suggestions : ['']
330 Mot inconnu : ddrescue =>   * **(en)** [[http://www.gnu.org/software/ddrescue/ddrescue.html|page officielle de GNU ddrescue]] | ddrescue

331 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.gnu.org/software/ddrescue/manual/ddrescue_manual.html|Aide en ligne de GNU ddrescue]] |    => suggestions : ['']
331 Mot inconnu : ddrescue =>   * **(en)** [[http://www.gnu.org/software/ddrescue/manual/ddrescue_manual.html|Aide en ligne de GNU ddrescue]] | ddrescue

332 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[safecopy]] Limite les Erreur I/O |    => suggestions : ['']
332 Mot inconnu : safecopy =>   * [[safecopy]] Limite les Erreur I/O | safecopy
332 Accord de nombre erroné : « Erreur » devrait être au pluriel. =>   * [[safecopy]] Limite les Erreur I/O | erreur => suggestions : ['Erreurs']

333 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Identifier le fichier utilisant le [[https://www.vincentliefooghe.net/content/linux-corriger-des-secteurs-d%C3%A9fecteux-sur-un-disque|bloc défectueux]] |    => suggestions : ['']

336 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs principaux : ...// | ... => suggestions : ['…']
