
5 Mot inconnu : World => ====== World of Warcraft  ====== | world
733 Mot inconnu : wtf => Il est possible que vous perdiez votre configuration de WoW si vous quittez celui-ci avec le bouton **Quitter** du menu en jeu (/quit  a aussi le même effet). Le forum d'assistance recommande de se déconnecter d'abord puis lorsque vous êtes à l'écran de sélection des personnages, faites **Retour** et enfin lorsque vous êtes à l'écran de connexion **Quitter**. Aussi, soyez sûrs que vous avez les droits d'écriture sur le fichier "config.wtf". | wtf
733 Guillemets typographiques fermants. => Il est possible que vous perdiez votre configuration de WoW si vous quittez celui-ci avec le bouton **Quitter** du menu en jeu (/quit  a aussi le même effet). Le forum d'assistance recommande de se déconnecter d'abord puis lorsque vous êtes à l'écran de sélection des personnages, faites **Retour** et enfin lorsque vous êtes à l'écran de connexion **Quitter**. Aussi, soyez sûrs que vous avez les droits d'écriture sur le fichier "config.wtf". | " => suggestions : ['\xa0»', '”']

735 Guillemets typographiques ouvrants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['«\xa0', '“']
735 Mot inconnu : wtf => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | wtf
735 Guillemets typographiques fermants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['\xa0»', '”']
735 Guillemets typographiques ouvrants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['«\xa0', '“']
735 Mot inconnu : wtf => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | wtf
735 Guillemets typographiques fermants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['\xa0»', '”']
735 Guillemets typographiques ouvrants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['«\xa0', '“']
735 Guillemets typographiques fermants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['\xa0»', '”']
735 Guillemets typographiques ouvrants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['«\xa0', '“']
735 Accord de nombre erroné avec « au groupe » : « autres » devrait être au singulier. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | autres => suggestions : ['autre']
735 Guillemets typographiques fermants. => Certaines personnes rapportent également que la modification des droits d'utilisation du fichier "config.wtf" permettrait de pallier le problème. Pour ce faire, rendez-vous dans le répertoire sous lequel le jeu est installé, puis effectuez un clic droit sur le fichier "config.wtf", la fenêtre des propriétés s'affiche. Allez sous l'onglet "permissions" et donnez la permission au groupe "autres" de créer et supprimer des fichiers et fermez la fenêtre. Cette modification devrait vous permettre de modifier les paramètres de jeu une seule fois. | " => suggestions : ['\xa0»', '”']

737 Mot inconnu : Direct3D => ==== Erreur Direct3D en mode OpenGL ==== | direct3d
737 Mot inconnu : OpenGL => ==== Erreur Direct3D en mode OpenGL ==== | opengl

745 Mot inconnu : wtf => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | wtf
745 Mot inconnu : gxApi => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | gxapi
745 Guillemets typographiques ouvrants. => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | " => suggestions : ['«\xa0', '“']
745 Mot inconnu : OpenGL => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | opengl
745 Guillemets typographiques fermants. => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | " => suggestions : ['\xa0»', '”']
745 Espace(s) surnuméraire(s) à supprimer. => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. |    => suggestions : [' ']
745 Guillemets typographiques ouvrants. => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | " => suggestions : ['«\xa0', '“']
745 Mot inconnu : Blizzard's => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | blizzard's
745 Mot inconnu : Survey => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | survey
745 Guillemets typographiques fermants. => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | " => suggestions : ['\xa0»', '”']
745 Mot inconnu : Wine => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | wine
745 Mot inconnu : Wine => Éditez votre Config.wtf, enlevez la ligne **SET gxApi "OpenGL"**. Lancez le jeu, connectez-vous jusqu'à l'écran de sélection de personnages.  Ensuite quittez le jeu, remettez la ligne dans votre fichier de configuration et le problème devrait être résolu. Cette erreur est apparemment causée par le "Blizzard's Hardware Survey code" qui ne s'entend pas bien avec Wine. Étant donné que Wine n'est pas supporté par Blizzard, les rapports d'erreur envoyés sont, pour eux sans erreur. | wine
784 Mot inconnu : Desktop => **Optionnel** : redémarrez Gnome Desktop Manager pour que les changements prennent effet : | desktop

786 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fermez tous les programmes puis faites **Ctrl+Alt+Retour** (**Ctrl+Alt+Backspace**) |    => suggestions : ['']
786 Mot inconnu : Backspace =>   * Fermez tous les programmes puis faites **Ctrl+Alt+Retour** (**Ctrl+Alt+Backspace**) | backspace

790 Mot inconnu : WTF => Vous pouvez également modifier les paramètres suivants de WTF/Config.wtf pour améliorer significativement les performances et corriger certains problèmes au niveau des textures ou des polygones : | wtf
790 Mot inconnu : wtf => Vous pouvez également modifier les paramètres suivants de WTF/Config.wtf pour améliorer significativement les performances et corriger certains problèmes au niveau des textures ou des polygones : | wtf

792 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ATTENTION Avant de faire quoi que ce soit, entrez les paramètres suivants dans votre fichier Config.wtf, sinon risque de plantage après la vidéo : |    => suggestions : ['']
792 Mot inconnu : wtf =>   ATTENTION Avant de faire quoi que ce soit, entrez les paramètres suivants dans votre fichier Config.wtf, sinon risque de plantage après la vidéo : | wtf

793 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   SET movie "0" |    => suggestions : ['']
793 Mot inconnu : movie =>   SET movie "0" | movie
793 Guillemets typographiques ouvrants. =>   SET movie "0" | " => suggestions : ['«\xa0', '“']
793 Guillemets typographiques fermants. =>   SET movie "0" | " => suggestions : ['\xa0»', '”']

794 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   SET readTOS "1" |    => suggestions : ['']
794 Mot inconnu : readTOS =>   SET readTOS "1" | readtos
794 Guillemets typographiques ouvrants. =>   SET readTOS "1" | " => suggestions : ['«\xa0', '“']
794 Guillemets typographiques fermants. =>   SET readTOS "1" | " => suggestions : ['\xa0»', '”']

795 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   SET readEULA "1" |    => suggestions : ['']
795 Mot inconnu : readEULA =>   SET readEULA "1" | readeula
795 Guillemets typographiques ouvrants. =>   SET readEULA "1" | " => suggestions : ['«\xa0', '“']
795 Guillemets typographiques fermants. =>   SET readEULA "1" | " => suggestions : ['\xa0»', '”']

796 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   SET readTerminationWithoutNotice "1" |    => suggestions : ['']
796 Mot inconnu : readTerminationWithoutNotice =>   SET readTerminationWithoutNotice "1" | readterminationwithoutnotice
796 Guillemets typographiques ouvrants. =>   SET readTerminationWithoutNotice "1" | " => suggestions : ['«\xa0', '“']
796 Guillemets typographiques fermants. =>   SET readTerminationWithoutNotice "1" | " => suggestions : ['\xa0»', '”']

798 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===  Moteur graphique === |   => suggestions : ['']

800 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! |    => suggestions : ['']
800 Mot inconnu : gxApi =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | gxapi
800 Guillemets typographiques ouvrants. =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | " => suggestions : ['«\xa0', '“']
800 Mot inconnu : d3d9 =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | d3d9
800 Guillemets typographiques fermants. =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | " => suggestions : ['\xa0»', '”']
800 Mot inconnu : d3d9 =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | d3d9
800 Mot inconnu : DirectX =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | directx
800 Mot inconnu : opengl =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | opengl
800 Mot inconnu : OpenGL =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | opengl
800 Conjugaison erronée. Accord avec “mieux” : utilisez la 3ᵉ personne du singulier. =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | vaux => suggestions : ['vaut']
800 Mot inconnu : openGL =>   * **SET gxApi "d3d9"** : API utilisée : d3d9 pour DirectX et opengl pour OpenGL. Sous Linux mieux vaux utiliser openGL ! | opengl

801 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. |    => suggestions : ['']
801 Mot inconnu : coresDetected =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. | coresdetected
801 Guillemets typographiques ouvrants. =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. | " => suggestions : ['«\xa0', '“']
801 Guillemets typographiques fermants. =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. | " => suggestions : ['\xa0»', '”']
801 Mot inconnu : Coeur =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. | coeur
801 Écriture invariable. Utilisez un point médian. =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. | coeur(s) => suggestions : ['Coeur·s']
801 Écriture invariable. Utilisez un point médian. =>   * **SET coresDetected "2"** : nombre de Coeur(s)/Processeur(s) détectés. | processeur(s) => suggestions : ['Processeur·s']

802 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). |    => suggestions : ['']
802 Mot inconnu : processAffinityMask =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | processaffinitymask
802 Guillemets typographiques ouvrants. =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | " => suggestions : ['«\xa0', '“']
802 Guillemets typographiques fermants. =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | " => suggestions : ['\xa0»', '”']
802 Mot inconnu : Coeur =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | coeur
802 Écriture invariable. Utilisez un point médian. =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | coeur(s) => suggestions : ['Coeur·s']
802 Écriture invariable. Utilisez un point médian. =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | processeur(s) => suggestions : ['Processeur·s']
802 Mot inconnu : WoW =>   * **SET processAffinityMask "3"** : paramètres sur les Coeur(s)/Processeur(s) que doit utiliser WoW (Attention de bien respecter [[http://www.wowwiki.com/CVar_processAffinityMask|ce tableau]]). | wow

803 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). |    => suggestions : ['']
803 Mot inconnu : hwDetect =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). | hwdetect
803 Guillemets typographiques ouvrants. =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
803 Guillemets typographiques fermants. =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']
803 Guillemets typographiques ouvrants. =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
803 Mot inconnu : wtf =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). | wtf
803 Guillemets typographiques fermants. =>   * **SET hwDetect "0"** : active la détection automatique du matériel. Votre "config.wtf" sera supprimé et remplacé par un nouveau ! (0 = désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']

804 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET checkAddonVersion "0"** : vérification de la version des addons (0 = désactivé, 1 = activé). |    => suggestions : ['']
804 Mot inconnu : checkAddonVersion =>   * **SET checkAddonVersion "0"** : vérification de la version des addons (0 = désactivé, 1 = activé). | checkaddonversion
804 Guillemets typographiques ouvrants. =>   * **SET checkAddonVersion "0"** : vérification de la version des addons (0 = désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
804 Guillemets typographiques fermants. =>   * **SET checkAddonVersion "0"** : vérification de la version des addons (0 = désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']
804 Mot inconnu : addons =>   * **SET checkAddonVersion "0"** : vérification de la version des addons (0 = désactivé, 1 = activé). | addons

806 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===  Résolution === |   => suggestions : ['']

808 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxVSync "0"** : activer la synchonisation verticale si problème graphique (0 = désactivé, 1 = activé). |    => suggestions : ['']
808 Mot inconnu : gxVSync =>   * **SET gxVSync "0"** : activer la synchonisation verticale si problème graphique (0 = désactivé, 1 = activé). | gxvsync
808 Guillemets typographiques ouvrants. =>   * **SET gxVSync "0"** : activer la synchonisation verticale si problème graphique (0 = désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
808 Guillemets typographiques fermants. =>   * **SET gxVSync "0"** : activer la synchonisation verticale si problème graphique (0 = désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']
808 Mot inconnu : synchonisation =>   * **SET gxVSync "0"** : activer la synchonisation verticale si problème graphique (0 = désactivé, 1 = activé). | synchonisation

809 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. |    => suggestions : ['']
809 Mot inconnu : gxTripleBuffer =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | gxtriplebuffer
809 Guillemets typographiques ouvrants. =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | " => suggestions : ['«\xa0', '“']
809 Guillemets typographiques fermants. =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | " => suggestions : ['\xa0»', '”']
809 Mot inconnu : gxVSync =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | gxvsync
809 Guillemets typographiques ouvrants. =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | " => suggestions : ['«\xa0', '“']
809 Guillemets typographiques fermants. =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | " => suggestions : ['\xa0»', '”']
809 Mot inconnu : lags =>   * **SET gxTripleBuffer "1"** : ne peut être utilisé sans SET gxVSync "1"; activer le tampon triple en cas de gros lags seulement. | lags

810 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxCursor "0"** : curseur matériel (0 = non, 1 = oui). |    => suggestions : ['']
810 Mot inconnu : gxCursor =>   * **SET gxCursor "0"** : curseur matériel (0 = non, 1 = oui). | gxcursor
810 Guillemets typographiques ouvrants. =>   * **SET gxCursor "0"** : curseur matériel (0 = non, 1 = oui). | " => suggestions : ['«\xa0', '“']
810 Guillemets typographiques fermants. =>   * **SET gxCursor "0"** : curseur matériel (0 = non, 1 = oui). | " => suggestions : ['\xa0»', '”']

811 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxFixLag "0"** : réduit la latence de l'interface mais baisse les performances (0 = désactivé, 1 = activé). |    => suggestions : ['']
811 Mot inconnu : gxFixLag =>   * **SET gxFixLag "0"** : réduit la latence de l'interface mais baisse les performances (0 = désactivé, 1 = activé). | gxfixlag
811 Guillemets typographiques ouvrants. =>   * **SET gxFixLag "0"** : réduit la latence de l'interface mais baisse les performances (0 = désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
811 Guillemets typographiques fermants. =>   * **SET gxFixLag "0"** : réduit la latence de l'interface mais baisse les performances (0 = désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']

812 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxWindow "1"** : active le mode fenêtré (0 = désactivé, 1 = activé). |    => suggestions : ['']
812 Mot inconnu : gxWindow =>   * **SET gxWindow "1"** : active le mode fenêtré (0 = désactivé, 1 = activé). | gxwindow
812 Guillemets typographiques ouvrants. =>   * **SET gxWindow "1"** : active le mode fenêtré (0 = désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
812 Guillemets typographiques fermants. =>   * **SET gxWindow "1"** : active le mode fenêtré (0 = désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']

813 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET gxMaximize "1"** : ne peut être utilisé sans SET gxWindow "1". maximise la fenêtre en enlevant les cadres et la barre de titre (0 = désactivé, 1 = activé). |    => suggestions : ['']
