1 Mot inconnu : SubRip => ====== SubRip ====== | subrip
148 Mot inconnu : H00000000 => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | h00000000
148 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | -1 => suggestions : ['−1', '– 1', '— 1']
148 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | -1 => suggestions : ['−1', '– 1', '— 1']
148 Guillemets typographiques fermants. => #+ "Style: Italic," + self.fontItalic + "," + self.fontSize + ",&H00FFFFFF,&H0000FFFF,&H00000000,&H00000000,-1,-1,0,0,100,100,0,0,1,1,1,2,20,20,20,0\n" \ | " => suggestions : ['\xa0»', '”']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          |          => suggestions : ['']

151 Mot inconnu : class => class SubRipReader: | class
151 Mot inconnu : SubRipReader => class SubRipReader: | subripreader

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def __init__(self, filename): |    => suggestions : ['']
153 Mot inconnu : def =>   def __init__(self, filename): | def
153 Mot inconnu : __init__ =>   def __init__(self, filename): | __init__
153 Il manque un espace avant la parenthèse. =>   def __init__(self, filename): | ( => suggestions : [' (']
153 Mot inconnu : filename =>   def __init__(self, filename): | filename

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Console.v('Reading "' + filename + '"') |      => suggestions : ['']
154 Il manque un espace avant la parenthèse. =>     Console.v('Reading "' + filename + '"') | ( => suggestions : [' (']
154 Mot inconnu : Reading =>     Console.v('Reading "' + filename + '"') | reading
154 Mot inconnu : filename =>     Console.v('Reading "' + filename + '"') | filename

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.filename = filename |      => suggestions : ['']
155 Mot inconnu : filename =>     self.filename = filename | filename
155 Mot inconnu : filename =>     self.filename = filename | filename

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.bomLength = 0 |      => suggestions : ['']
156 Mot inconnu : bomLength =>     self.bomLength = 0 | bomlength

157 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.encoding = 'utf-8' |      => suggestions : ['']
157 Mot inconnu : encoding =>     self.encoding = 'utf-8' | encoding
157 Guillemets typographiques ouvrants. =>     self.encoding = 'utf-8' | ' => suggestions : ['“', '‘', '‹']
157 Mot inconnu : utf-8 =>     self.encoding = 'utf-8' | utf-8
157 Guillemets typographiques fermants. =>     self.encoding = 'utf-8' | ' => suggestions : ['”', '’', '›']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.lines = [] |      => suggestions : ['']
158 Mot inconnu : lines =>     self.lines = [] | lines

159 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.elements = [] |      => suggestions : ['']
159 Mot inconnu : elements =>     self.elements = [] | elements

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.detectBomAndEncoding() |      => suggestions : ['']
160 Mot inconnu : detectBomAndEncoding =>     self.detectBomAndEncoding() | detectbomandencoding

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.read() |      => suggestions : ['']
161 Mot inconnu : read =>     self.read() | read

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     self.parse() |      => suggestions : ['']
162 Il manque un espace. =>     self.parse() | parse => suggestions : [' parse']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def detectBomAndEncoding(self): |    => suggestions : ['']
164 Mot inconnu : def =>   def detectBomAndEncoding(self): | def
164 Mot inconnu : detectBomAndEncoding =>   def detectBomAndEncoding(self): | detectbomandencoding
164 Il manque un espace avant la parenthèse. =>   def detectBomAndEncoding(self): | ( => suggestions : [' (']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f = open(self.filename, 'r') |      => suggestions : ['']
165 Il manque un espace avant la parenthèse. =>     f = open(self.filename, 'r') | ( => suggestions : [' (']
165 Mot inconnu : filename =>     f = open(self.filename, 'r') | filename
165 Guillemets typographiques ouvrants. =>     f = open(self.filename, 'r') | ' => suggestions : ['“', '‘', '‹']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     begin = f.read(4) |      => suggestions : ['']
166 Mot inconnu : begin =>     begin = f.read(4) | begin
166 Mot inconnu : read =>     begin = f.read(4) | read

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f.close() |      => suggestions : ['']
167 Il manque un espace. =>     f.close() | close => suggestions : [' close']

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if begin.startswith(codecs.BOM_UTF8): |      => suggestions : ['']
168 Mot inconnu : begin =>     if begin.startswith(codecs.BOM_UTF8): | begin
168 Mot inconnu : startswith =>     if begin.startswith(codecs.BOM_UTF8): | startswith
168 Il manque un espace avant la parenthèse. =>     if begin.startswith(codecs.BOM_UTF8): | ( => suggestions : [' (']
168 Mot inconnu : BOM_UTF8 =>     if begin.startswith(codecs.BOM_UTF8): | bom_utf8

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.encoding = 'utf-8' |        => suggestions : ['']
169 Mot inconnu : encoding =>       self.encoding = 'utf-8' | encoding
169 Guillemets typographiques ouvrants. =>       self.encoding = 'utf-8' | ' => suggestions : ['“', '‘', '‹']
169 Mot inconnu : utf-8 =>       self.encoding = 'utf-8' | utf-8
169 Guillemets typographiques fermants. =>       self.encoding = 'utf-8' | ' => suggestions : ['”', '’', '›']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.bomLength = 3 |        => suggestions : ['']
170 Mot inconnu : bomLength =>       self.bomLength = 3 | bomlength

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     elif begin.startswith(codecs.BOM_UTF16_LE): |      => suggestions : ['']
171 Mot inconnu : elif =>     elif begin.startswith(codecs.BOM_UTF16_LE): | elif
171 Mot inconnu : begin =>     elif begin.startswith(codecs.BOM_UTF16_LE): | begin
171 Mot inconnu : startswith =>     elif begin.startswith(codecs.BOM_UTF16_LE): | startswith
171 Il manque un espace avant la parenthèse. =>     elif begin.startswith(codecs.BOM_UTF16_LE): | ( => suggestions : [' (']
171 Mot inconnu : BOM_UTF16_LE =>     elif begin.startswith(codecs.BOM_UTF16_LE): | bom_utf16_le

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.encoding = 'utf-16-le' |        => suggestions : ['']
172 Mot inconnu : encoding =>       self.encoding = 'utf-16-le' | encoding
172 Guillemets typographiques ouvrants. =>       self.encoding = 'utf-16-le' | ' => suggestions : ['“', '‘', '‹']
172 Mot inconnu : utf-16-le =>       self.encoding = 'utf-16-le' | utf-16-le
172 Guillemets typographiques fermants. =>       self.encoding = 'utf-16-le' | ' => suggestions : ['”', '’', '›']

173 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.bomLength = 2 |        => suggestions : ['']
173 Mot inconnu : bomLength =>       self.bomLength = 2 | bomlength

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     elif begin.startswith(codecs.BOM_UTF16_BE): |      => suggestions : ['']
174 Mot inconnu : elif =>     elif begin.startswith(codecs.BOM_UTF16_BE): | elif
174 Mot inconnu : begin =>     elif begin.startswith(codecs.BOM_UTF16_BE): | begin
174 Mot inconnu : startswith =>     elif begin.startswith(codecs.BOM_UTF16_BE): | startswith
174 Il manque un espace avant la parenthèse. =>     elif begin.startswith(codecs.BOM_UTF16_BE): | ( => suggestions : [' (']
174 Mot inconnu : BOM_UTF16_BE =>     elif begin.startswith(codecs.BOM_UTF16_BE): | bom_utf16_be

175 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.encoding = 'utf-16-be' |        => suggestions : ['']
175 Mot inconnu : encoding =>       self.encoding = 'utf-16-be' | encoding
175 Guillemets typographiques ouvrants. =>       self.encoding = 'utf-16-be' | ' => suggestions : ['“', '‘', '‹']
175 Mot inconnu : utf-16-be =>       self.encoding = 'utf-16-be' | utf-16-be
175 Guillemets typographiques fermants. =>       self.encoding = 'utf-16-be' | ' => suggestions : ['”', '’', '›']

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.bomLength = 2 |        => suggestions : ['']
176 Mot inconnu : bomLength =>       self.bomLength = 2 | bomlength

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     elif begin.startswith(codecs.BOM_UTF32_LE): |      => suggestions : ['']
177 Mot inconnu : elif =>     elif begin.startswith(codecs.BOM_UTF32_LE): | elif
177 Mot inconnu : begin =>     elif begin.startswith(codecs.BOM_UTF32_LE): | begin
177 Mot inconnu : startswith =>     elif begin.startswith(codecs.BOM_UTF32_LE): | startswith
177 Il manque un espace avant la parenthèse. =>     elif begin.startswith(codecs.BOM_UTF32_LE): | ( => suggestions : [' (']
177 Mot inconnu : BOM_UTF32_LE =>     elif begin.startswith(codecs.BOM_UTF32_LE): | bom_utf32_le

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.encoding = 'utf-32-le' |        => suggestions : ['']
178 Mot inconnu : encoding =>       self.encoding = 'utf-32-le' | encoding
178 Guillemets typographiques ouvrants. =>       self.encoding = 'utf-32-le' | ' => suggestions : ['“', '‘', '‹']
178 Mot inconnu : utf-32-le =>       self.encoding = 'utf-32-le' | utf-32-le
178 Guillemets typographiques fermants. =>       self.encoding = 'utf-32-le' | ' => suggestions : ['”', '’', '›']

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.bomLength = 4 |        => suggestions : ['']
179 Mot inconnu : bomLength =>       self.bomLength = 4 | bomlength

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     elif begin.startswith(codecs.BOM_UTF32_BE): |      => suggestions : ['']
180 Mot inconnu : elif =>     elif begin.startswith(codecs.BOM_UTF32_BE): | elif
180 Mot inconnu : begin =>     elif begin.startswith(codecs.BOM_UTF32_BE): | begin
180 Mot inconnu : startswith =>     elif begin.startswith(codecs.BOM_UTF32_BE): | startswith
180 Il manque un espace avant la parenthèse. =>     elif begin.startswith(codecs.BOM_UTF32_BE): | ( => suggestions : [' (']
180 Mot inconnu : BOM_UTF32_BE =>     elif begin.startswith(codecs.BOM_UTF32_BE): | bom_utf32_be

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.encoding = 'utf-32-be' |        => suggestions : ['']
181 Mot inconnu : encoding =>       self.encoding = 'utf-32-be' | encoding
181 Guillemets typographiques ouvrants. =>       self.encoding = 'utf-32-be' | ' => suggestions : ['“', '‘', '‹']
181 Mot inconnu : utf-32-be =>       self.encoding = 'utf-32-be' | utf-32-be
181 Guillemets typographiques fermants. =>       self.encoding = 'utf-32-be' | ' => suggestions : ['”', '’', '›']

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.bomLength = 4 |        => suggestions : ['']
182 Mot inconnu : bomLength =>       self.bomLength = 4 | bomlength

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if self.bomLength > 0: |      => suggestions : ['']
184 Mot inconnu : bomLength =>     if self.bomLength > 0: | bomlength

185 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       Console.v('BOM detected! Encoding: ' + self.encoding) |        => suggestions : ['']
185 Il manque un espace avant la parenthèse. =>       Console.v('BOM detected! Encoding: ' + self.encoding) | ( => suggestions : [' (']
185 Mot inconnu : BOM =>       Console.v('BOM detected! Encoding: ' + self.encoding) | bom
185 Mot inconnu : detected =>       Console.v('BOM detected! Encoding: ' + self.encoding) | detected
185 Mot inconnu : Encoding =>       Console.v('BOM detected! Encoding: ' + self.encoding) | encoding
185 Mot inconnu : encoding =>       Console.v('BOM detected! Encoding: ' + self.encoding) | encoding

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     else: |      => suggestions : ['']
186 Mot inconnu : else =>     else: | else

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       Console.v('No BOM found. Using utf-8 as default encoding.') |        => suggestions : ['']
187 Il manque un espace avant la parenthèse. =>       Console.v('No BOM found. Using utf-8 as default encoding.') | ( => suggestions : [' (']
187 Mot inconnu : BOM =>       Console.v('No BOM found. Using utf-8 as default encoding.') | bom
187 Mot inconnu : found =>       Console.v('No BOM found. Using utf-8 as default encoding.') | found
187 Mot inconnu : Using =>       Console.v('No BOM found. Using utf-8 as default encoding.') | using
187 Mot inconnu : utf-8 =>       Console.v('No BOM found. Using utf-8 as default encoding.') | utf-8
187 Mot inconnu : default =>       Console.v('No BOM found. Using utf-8 as default encoding.') | default
187 Mot inconnu : encoding =>       Console.v('No BOM found. Using utf-8 as default encoding.') | encoding

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def read(self): |    => suggestions : ['']
189 Mot inconnu : def =>   def read(self): | def
189 Mot inconnu : read =>   def read(self): | read
189 Il manque un espace avant la parenthèse. =>   def read(self): | ( => suggestions : [' (']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if not self.read2(): |      => suggestions : ['']
190 Mot inconnu : not =>     if not self.read2(): | not
190 Mot inconnu : read2 =>     if not self.read2(): | read2

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') |        => suggestions : ['']
191 Il manque un espace avant la parenthèse. =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | ( => suggestions : [' (']
191 Mot inconnu : Fail =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | fail
191 Mot inconnu : to =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | to
191 Mot inconnu : read =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | read
191 Mot inconnu : the =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | the
191 Mot inconnu : with =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | with
191 Mot inconnu : encoding =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | encoding
191 Mot inconnu : Trying =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | trying
191 Mot inconnu : iso-8859-1 =>       Console.v('Fail to read the file with ' + self.encoding + '. Trying iso-8859-1.') | iso-8859-1

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.encoding = 'iso-8859-1' |        => suggestions : ['']
192 Mot inconnu : encoding =>       self.encoding = 'iso-8859-1' | encoding
192 Guillemets typographiques ouvrants. =>       self.encoding = 'iso-8859-1' | ' => suggestions : ['“', '‘', '‹']
192 Mot inconnu : iso-8859-1 =>       self.encoding = 'iso-8859-1' | iso-8859-1
192 Guillemets typographiques fermants. =>       self.encoding = 'iso-8859-1' | ' => suggestions : ['”', '’', '›']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.read2() |        => suggestions : ['']
193 Mot inconnu : read2 =>       self.read2() | read2

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def read2(self): |    => suggestions : ['']
195 Mot inconnu : def =>   def read2(self): | def
195 Mot inconnu : read2 =>   def read2(self): | read2
195 Il manque un espace avant la parenthèse. =>   def read2(self): | ( => suggestions : [' (']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     try: |      => suggestions : ['']
196 Mot inconnu : try =>     try: | try

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       f = codecs.open(self.filename, 'r', self.encoding) |        => suggestions : ['']
197 Il manque un espace. =>       f = codecs.open(self.filename, 'r', self.encoding) | open => suggestions : [' open']
197 Il manque un espace avant la parenthèse. =>       f = codecs.open(self.filename, 'r', self.encoding) | ( => suggestions : [' (']
197 Mot inconnu : filename =>       f = codecs.open(self.filename, 'r', self.encoding) | filename
197 Guillemets typographiques ouvrants. =>       f = codecs.open(self.filename, 'r', self.encoding) | ' => suggestions : ['“', '‘', '‹']
197 Mot inconnu : encoding =>       f = codecs.open(self.filename, 'r', self.encoding) | encoding

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       self.lines = f.readlines() |        => suggestions : ['']
198 Mot inconnu : lines =>       self.lines = f.readlines() | lines
198 Mot inconnu : readlines =>       self.lines = f.readlines() | readlines

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       f.close() |        => suggestions : ['']
199 Il manque un espace. =>       f.close() | close => suggestions : [' close']

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       if len(self.lines) > 0 and self.bomLength > 0: |        => suggestions : ['']
200 Mot inconnu : len =>       if len(self.lines) > 0 and self.bomLength > 0: | len
200 Il manque un espace avant la parenthèse. =>       if len(self.lines) > 0 and self.bomLength > 0: | ( => suggestions : [' (']
200 Mot inconnu : lines =>       if len(self.lines) > 0 and self.bomLength > 0: | lines
200 Mot inconnu : and =>       if len(self.lines) > 0 and self.bomLength > 0: | and
200 Mot inconnu : bomLength =>       if len(self.lines) > 0 and self.bomLength > 0: | bomlength

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') |          => suggestions : ['']
201 Mot inconnu : lines =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | lines
201 Mot inconnu : lines =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | lines
201 Il manque un espace avant la parenthèse. =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | ( => suggestions : [' (']
201 Mot inconnu : utf-8 =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | utf-8
201 Mot inconnu : decode =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | decode
201 Il manque un espace avant la parenthèse. =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | ( => suggestions : [' (']
201 Mot inconnu : utf-8-sig =>         self.lines[0] = self.lines[0].encode('utf-8').decode('utf-8-sig') | utf-8-sig

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     except: |      => suggestions : ['']
202 Mot inconnu : except =>     except: | except

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       return False |        => suggestions : ['']
203 Mot inconnu : return =>       return False | return
203 Mot inconnu : False =>       return False | false

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     return True |      => suggestions : ['']
204 Mot inconnu : return =>     return True | return
204 Mot inconnu : True =>     return True | true

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   def parse(self): |    => suggestions : ['']
206 Mot inconnu : def =>   def parse(self): | def
206 Il manque un espace avant la parenthèse. =>   def parse(self): | ( => suggestions : [' (']

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     el = None |      => suggestions : ['']
207 Mot inconnu : el =>     el = None | el

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     isJustNew = False |      => suggestions : ['']
208 Mot inconnu : isJustNew =>     isJustNew = False | isjustnew
208 Mot inconnu : False =>     isJustNew = False | false

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     nextCountReady = True |      => suggestions : ['']
209 Mot inconnu : nextCountReady =>     nextCountReady = True | nextcountready
209 Mot inconnu : True =>     nextCountReady = True | true

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     count = 0 |      => suggestions : ['']
210 Mot inconnu : count =>     count = 0 | count

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     emptySub = [] |      => suggestions : ['']
211 Mot inconnu : emptySub =>     emptySub = [] | emptysub

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     skip = False |      => suggestions : ['']
212 Mot inconnu : skip =>     skip = False | skip
212 Mot inconnu : False =>     skip = False | false

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     for line in self.lines: |      => suggestions : ['']
213 Mot inconnu : line =>     for line in self.lines: | line
213 Mot inconnu : lines =>     for line in self.lines: | lines

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       l = line.encode('utf-8')    \ |        => suggestions : ['']
214 Mot inconnu : line =>       l = line.encode('utf-8')    \ | line
214 Il manque un espace. =>       l = line.encode('utf-8')    \ | encode => suggestions : [' encode']
214 Il manque un espace avant la parenthèse. =>       l = line.encode('utf-8')    \ | ( => suggestions : [' (']
214 Mot inconnu : utf-8 =>       l = line.encode('utf-8')    \ | utf-8

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         .replace("\n", "")        \ |          => suggestions : ['']
215 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>         .replace("\n", "")        \ |  . => suggestions : ['. ', '.']
215 Il manque un espace avant la parenthèse. =>         .replace("\n", "")        \ | ( => suggestions : [' (']
215 Guillemets typographiques fermants. =>         .replace("\n", "")        \ | " => suggestions : ['\xa0»', '”']

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         .replace("\r", "") |          => suggestions : ['']
216 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>         .replace("\r", "") |  . => suggestions : ['. ', '.']
216 Il manque un espace avant la parenthèse. =>         .replace("\r", "") | ( => suggestions : [' (']
216 Guillemets typographiques fermants. =>         .replace("\r", "") | " => suggestions : ['\xa0»', '”']

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       if isJustNew: |        => suggestions : ['']
217 Mot inconnu : isJustNew =>       if isJustNew: | isjustnew

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         skip = False |          => suggestions : ['']
218 Mot inconnu : skip =>         skip = False | skip
218 Mot inconnu : False =>         skip = False | false

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         isJustNew = False |          => suggestions : ['']
219 Mot inconnu : isJustNew =>         isJustNew = False | isjustnew
219 Mot inconnu : False =>         isJustNew = False | false

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         nextCountReady = False |          => suggestions : ['']
220 Mot inconnu : nextCountReady =>         nextCountReady = False | nextcountready
220 Mot inconnu : False =>         nextCountReady = False | false

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         times = l.split(' --> ') |          => suggestions : ['']
221 Mot inconnu : times =>         times = l.split(' --> ') | times
221 Mot inconnu : split =>         times = l.split(' --> ') | split
221 Il manque un espace avant la parenthèse. =>         times = l.split(' --> ') | ( => suggestions : [' (']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         el.timeStart = self.parseTime(times[0]) |          => suggestions : ['']
222 Mot inconnu : el =>         el.timeStart = self.parseTime(times[0]) | el
222 Mot inconnu : timeStart =>         el.timeStart = self.parseTime(times[0]) | timestart
222 Mot inconnu : parseTime =>         el.timeStart = self.parseTime(times[0]) | parsetime
222 Il manque un espace avant la parenthèse. =>         el.timeStart = self.parseTime(times[0]) | ( => suggestions : [' (']
222 Mot inconnu : times =>         el.timeStart = self.parseTime(times[0]) | times

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         el.timeEnd = self.parseTime(times[1]) |          => suggestions : ['']
223 Mot inconnu : el =>         el.timeEnd = self.parseTime(times[1]) | el
223 Mot inconnu : timeEnd =>         el.timeEnd = self.parseTime(times[1]) | timeend
223 Mot inconnu : parseTime =>         el.timeEnd = self.parseTime(times[1]) | parsetime
223 Il manque un espace avant la parenthèse. =>         el.timeEnd = self.parseTime(times[1]) | ( => suggestions : [' (']
223 Mot inconnu : times =>         el.timeEnd = self.parseTime(times[1]) | times

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       elif nextCountReady and l.isdigit(): |        => suggestions : ['']
224 Mot inconnu : elif =>       elif nextCountReady and l.isdigit(): | elif
