
4 Mot inconnu : DNSCrypt => ====== DNSCrypt ====== | dnscrypt
209 Mot inconnu : DNSCrypt =>   * **(en)** [[https://dnscrypt.info|Site officiel de DNSCrypt]] | dnscrypt

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://github.com/DNSCrypt|La page Github du projet]] |    => suggestions : ['']
210 Mot inconnu : Github =>   * **(en)** [[https://github.com/DNSCrypt|La page Github du projet]] | github

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)**   [[https://forum.ubuntu-fr.org/viewtopic.php?id=2012964|Sujet sur le forum Ubuntu-fr]] |    => suggestions : ['']
214 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:deobs|deobs]].// | deobs => suggestions : [' deobs']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
216 Mot inconnu : protocol => //Basé sur [[https://wiki.archlinux.org/index.php/DNSCrypt|ArchWiki]] et [[https://github.com/DNSCrypt/dnscrypt-proxy/wiki|A protocol to improve DNS security]] par [[https://github.com/jedisct1]] mainteneur actuel.// | protocol
216 Mot inconnu : to => //Basé sur [[https://wiki.archlinux.org/index.php/DNSCrypt|ArchWiki]] et [[https://github.com/DNSCrypt/dnscrypt-proxy/wiki|A protocol to improve DNS security]] par [[https://github.com/jedisct1]] mainteneur actuel.// | to
216 Mot inconnu : improve => //Basé sur [[https://wiki.archlinux.org/index.php/DNSCrypt|ArchWiki]] et [[https://github.com/DNSCrypt/dnscrypt-proxy/wiki|A protocol to improve DNS security]] par [[https://github.com/jedisct1]] mainteneur actuel.// | improve
216 Mot inconnu : security => //Basé sur [[https://wiki.archlinux.org/index.php/DNSCrypt|ArchWiki]] et [[https://github.com/DNSCrypt/dnscrypt-proxy/wiki|A protocol to improve DNS security]] par [[https://github.com/jedisct1]] mainteneur actuel.// | security
