
5 Mot inconnu : Stardict => ====== Stardict ====== | stardict
197 Mot inconnu : dict =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | dict
197 Guillemets typographiques fermants. =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | '' => suggestions : ['\xa0»', '”']
197 Guillemets fermants. =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. |  " => suggestions : ['\xa0»', '”']
197 Mot inconnu : idx =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | idx
197 Guillemets typographiques fermants. =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | " => suggestions : ['\xa0»', '”']
197 Guillemets fermants. =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. |  '' => suggestions : ['\xa0»', '”']
197 Mot inconnu : dict =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | dict
197 Mot inconnu : dz =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | dz
197 Guillemets typographiques fermants. =>   * Le fichier ''.dict'' est une séquence de données, le placement et la taille de chaque mot est enregistré dans le fichier ".idx" correspondant. Ce fichier peut être compressé : son extension est alors ''.dict.dz''. | '' => suggestions : ['\xa0»', '”']

200 Mot inconnu : PyGlossary => ===PyGlossary=== | pyglossary

202 Mot inconnu : Stardict-tools => === Stardict-tools === | stardict-tools

204 Mot inconnu : DICT => Ce paquet contient les outils de conversion de dictionnaires qui peuvent convertir les dictionnaires de DICT, wquick, mova and pydict au format de StarDict. Il inclut notamment : | dict
204 Mot inconnu : wquick => Ce paquet contient les outils de conversion de dictionnaires qui peuvent convertir les dictionnaires de DICT, wquick, mova and pydict au format de StarDict. Il inclut notamment : | wquick
204 Mot inconnu : mova => Ce paquet contient les outils de conversion de dictionnaires qui peuvent convertir les dictionnaires de DICT, wquick, mova and pydict au format de StarDict. Il inclut notamment : | mova
204 Mot inconnu : and => Ce paquet contient les outils de conversion de dictionnaires qui peuvent convertir les dictionnaires de DICT, wquick, mova and pydict au format de StarDict. Il inclut notamment : | and
204 Mot inconnu : pydict => Ce paquet contient les outils de conversion de dictionnaires qui peuvent convertir les dictionnaires de DICT, wquick, mova and pydict au format de StarDict. Il inclut notamment : | pydict
204 Mot inconnu : StarDict => Ce paquet contient les outils de conversion de dictionnaires qui peuvent convertir les dictionnaires de DICT, wquick, mova and pydict au format de StarDict. Il inclut notamment : | stardict

206 Mot inconnu : stardict-editor => == stardict-editor == | stardict-editor

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  |   => suggestions : ['']
210 Mot inconnu : stardict-editor =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  | stardict-editor
210 Guillemets typographiques ouvrants. =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  | " => suggestions : ['«\xa0', '“']
210 Guillemets typographiques fermants. =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  | " => suggestions : ['\xa0»', '”']
210 Guillemets typographiques ouvrants. =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  | " => suggestions : ['«\xa0', '“']
210 Guillemets typographiques fermants. =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  | " => suggestions : ['\xa0»', '”']
210 Mot inconnu : stardict =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  | stardict
210 Espace(s) en fin de ligne à supprimer. =>  stardict-editor est un utilitaire graphique qui permet de "compiler" et "décompiler" un dictionnaire (i.e. passer d'un fichier texte au format stardict et vice-versa).  |   => suggestions : ['']

212 Mot inconnu : StarDict => **Pour décompiler un dictionnaire, c'est-à-dire le convertir du format StarDict au format texte tabulé :** | stardict

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Prenons l'exemple d'un dictionnaire "langue1_langue2", |    => suggestions : ['']
213 Guillemets typographiques ouvrants. =>   * Prenons l'exemple d'un dictionnaire "langue1_langue2", | " => suggestions : ['«\xa0', '“']
213 Mot inconnu : langue1_langue2 =>   * Prenons l'exemple d'un dictionnaire "langue1_langue2", | langue1_langue2
213 Guillemets typographiques fermants. =>   * Prenons l'exemple d'un dictionnaire "langue1_langue2", | " => suggestions : ['\xa0»', '”']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), |    => suggestions : ['']
214 Guillemets typographiques ouvrants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['«\xa0', '“']
214 Mot inconnu : ifo =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | ifo
214 Guillemets typographiques fermants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['\xa0»', '”']
214 Guillemets typographiques ouvrants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['«\xa0', '“']
214 Mot inconnu : dict =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | dict
214 Mot inconnu : dz =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | dz
214 Guillemets typographiques fermants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['\xa0»', '”']
214 Guillemets typographiques ouvrants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['«\xa0', '“']
214 Mot inconnu : idx =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | idx
214 Guillemets typographiques fermants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['\xa0»', '”']
214 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | 4ème => suggestions : ['4ᵉ']
214 Guillemets typographiques ouvrants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['«\xa0', '“']
214 Mot inconnu : syn =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | syn
214 Guillemets typographiques fermants. =>   * Mettez sur votre bureau le répertoire contenant les trois fichiers du dictionnaire aux extensions ''ifo'', ''dict.dz'' et ''idx'' (certains dictionnaires peuvent comporter un 4ème fichier ayant une extension ''syn''), | '' => suggestions : ['\xa0»', '”']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. |    => suggestions : ['']
215 Mot inconnu : dict =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | dict
215 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. |  -  => suggestions : [' – ', ' — ', ' − ']
215 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. |  . => suggestions : ['. ', '.']
215 Mot inconnu : dict =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | dict
215 Mot inconnu : dz =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | dz
215 Espace(s) surnuméraire(s) à supprimer. =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. |    => suggestions : [' ']
215 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. |  . => suggestions : ['. ', '.']
215 Mot inconnu : dict =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | dict
215 Espace(s) surnuméraire(s) à supprimer. =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. |    => suggestions : [' ']
215 Mot inconnu : langue1_langue2 =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | langue1_langue2
215 Mot inconnu : dict =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | dict
215 Mot inconnu : gz =>   * Le dictionnaire ayant son fichier dict compressé - extension .dict.**dz** au lieu de  .dict -, il faut  décompresser ce dernier. Pour ce faire, le renommer en langue1_langue2.dict.**gz**, puis clic-droit, extraire ici. | gz

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") |    => suggestions : ['']
217 Mot inconnu : DeCompile =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | decompile
217 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | ... => suggestions : ['…']
217 Mot inconnu : Browse =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | browse
217 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | ... => suggestions : ['…']
217 Guillemets typographiques ouvrants. =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | '' => suggestions : ['«\xa0', '“']
217 Mot inconnu : ifo =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | ifo
217 Guillemets typographiques fermants. =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | '' => suggestions : ['\xa0»', '”']
217 Mot inconnu : langue1_langue2 =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | langue1_langue2
217 Mot inconnu : ifo =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | ifo
217 Guillemets typographiques ouvrants. =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | " => suggestions : ['«\xa0', '“']
217 Guillemets typographiques fermants. =>   * Onglet **DeCompile**... Indiquer le chemin du fichier à décompiler (bouton **Browse...**. **Important :** il faut indiquer précisément le chemin du fichier ayant l'extension ''ifo'' (langue1_langue2.ifo) et sélectionner celui-ci, puis clic sur "ouvrir") | " => suggestions : ['\xa0»', '”']

218 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic sur le bouton **Decompile** (en bas de la fenêtre stardict-editor) |    => suggestions : ['']
218 Mot inconnu : Decompile =>   * Clic sur le bouton **Decompile** (en bas de la fenêtre stardict-editor) | decompile
218 Mot inconnu : stardict-editor =>   * Clic sur le bouton **Decompile** (en bas de la fenêtre stardict-editor) | stardict-editor

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * stardict-editor affiche alors le message : <file>Building... |    => suggestions : ['']
219 Mot inconnu : stardict-editor =>   * stardict-editor affiche alors le message : <file>Building... | stardict-editor
219 Typographie : points de suspension. Utilisez le caractère dédié. =>   * stardict-editor affiche alors le message : <file>Building... | ... => suggestions : ['…']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Write to file: /home/utilisateur/Bureau//langue1_langue2/langue1_langue2.txt |    => suggestions : ['']
220 Mot inconnu : Write =>   Write to file: /home/utilisateur/Bureau//langue1_langue2/langue1_langue2.txt | write
220 Mot inconnu : to =>   Write to file: /home/utilisateur/Bureau//langue1_langue2/langue1_langue2.txt | to
220 Mot inconnu : langue1_langue2 =>   Write to file: /home/utilisateur/Bureau//langue1_langue2/langue1_langue2.txt | langue1_langue2
220 Mot inconnu : langue1_langue2 =>   Write to file: /home/utilisateur/Bureau//langue1_langue2/langue1_langue2.txt | langue1_langue2
220 Mot inconnu : txt =>   Write to file: /home/utilisateur/Bureau//langue1_langue2/langue1_langue2.txt | txt

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Done!</file> |    => suggestions : ['']
221 Mot inconnu : Done =>   Done!</file> | done

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous trouverez le fichier langue1_langue2.txt dans le dossier où se trouvait votre dictionnaire. Il s'agit de votre dictionnaire au format texte tabulé. |    => suggestions : ['']
222 Mot inconnu : langue1_langue2 =>   * Vous trouverez le fichier langue1_langue2.txt dans le dossier où se trouvait votre dictionnaire. Il s'agit de votre dictionnaire au format texte tabulé. | langue1_langue2
222 Mot inconnu : txt =>   * Vous trouverez le fichier langue1_langue2.txt dans le dossier où se trouvait votre dictionnaire. Il s'agit de votre dictionnaire au format texte tabulé. | txt

225 Mot inconnu : stardict2text => == stardict2text == | stardict2text

228 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> |  . => suggestions : ['. ', '.']
228 Mot inconnu : dict => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dict
228 Mot inconnu : dict => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dict
228 Mot inconnu : dict => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dict
228 Mot inconnu : dz => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dz
228 Mot inconnu : dict => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dict
228 Mot inconnu : dz => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dz
228 Espace(s) surnuméraire(s) à supprimer. => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> |    => suggestions : [' ']
228 Mot inconnu : dict => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | dict
228 Mot inconnu : gz => <note important>Le .dict ne doit pas être compressé (dict et non dict.dz) :pour décompresser le *.dict.dz, renommage du fichier  en *.dict.gz suivi d'un //clic-droit/extraire ici//.</note> | gz

230 Mot inconnu : tabfile => == tabfile == | tabfile

233 Guillemets typographiques ouvrants. => <note important>Les 2 outils précédents proposent de "compiler" un dictionnaire texte : pour cela, il faut que ce fichier texte respecte une certaine syntaxe : | " => suggestions : ['«\xa0', '“']
233 Guillemets typographiques fermants. => <note important>Les 2 outils précédents proposent de "compiler" un dictionnaire texte : pour cela, il faut que ce fichier texte respecte une certaine syntaxe : | " => suggestions : ['\xa0»', '”']

234 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Être encodé en UTF-8. |    => suggestions : ['']

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Chaque ligne du fichier doit correspondre à un mot et sa définition. |    => suggestions : ['']

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La ligne est constituée : |    => suggestions : ['']

237 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - du mot |        => suggestions : ['']
237 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - du mot |  -  => suggestions : [' – ', ' — ', ' − ']

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - suivi d'une tabulation |        => suggestions : ['']
238 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - suivi d'une tabulation |  -  => suggestions : [' – ', ' — ', ' − ']

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - suivi de la définition (si on souhaite que la définition soit sur plusieurs lignes, les séparer par \n ). |        => suggestions : ['']
239 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - suivi de la définition (si on souhaite que la définition soit sur plusieurs lignes, les séparer par \n ). |  -  => suggestions : [' – ', ' — ', ' − ']
239 Pas d’espace avant ce signe. =>       - suivi de la définition (si on souhaite que la définition soit sur plusieurs lignes, les séparer par \n ). |  ) => suggestions : [')']

246 Guillemets typographiques ouvrants. => Pour faciliter la désactivation de "Dict Net" (dictionnaires en réseau) | " => suggestions : ['«\xa0', '“']
246 Mot inconnu : Dict => Pour faciliter la désactivation de "Dict Net" (dictionnaires en réseau) | dict
246 Guillemets typographiques fermants. => Pour faciliter la désactivation de "Dict Net" (dictionnaires en réseau) | " => suggestions : ['\xa0»', '”']

254 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[http://stardict-4.sourceforge.net/|Stardict sur sourceforge]], |     => suggestions : ['']
254 Mot inconnu : Stardict =>    * [[http://stardict-4.sourceforge.net/|Stardict sur sourceforge]], | stardict
254 Mot inconnu : sourceforge =>    * [[http://stardict-4.sourceforge.net/|Stardict sur sourceforge]], | sourceforge

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.stardict.org/|Site de Stardict (en)]], |    => suggestions : ['']
255 Mot inconnu : Stardict =>   * [[http://www.stardict.org/|Site de Stardict (en)]], | stardict

256 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues|Page du projet polyglotte listant les dictionnaires francophones pous StarDict (fr)]], |    => suggestions : ['']
256 Mot inconnu : dicos_bilingues =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues|Page du projet polyglotte listant les dictionnaires francophones pous StarDict (fr)]], | dicos_bilingues
256 Mot inconnu : pous =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues|Page du projet polyglotte listant les dictionnaires francophones pous StarDict (fr)]], | pous
256 Mot inconnu : StarDict =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=donnees:dicos_bilingues|Page du projet polyglotte listant les dictionnaires francophones pous StarDict (fr)]], | stardict

257 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:stardict|Page du projet polyglotte d'aide à l'utilisation de StarDict (fr)]]. |    => suggestions : ['']
257 Mot inconnu : stardict =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:stardict|Page du projet polyglotte d'aide à l'utilisation de StarDict (fr)]]. | stardict
257 Mot inconnu : StarDict =>   * [[http://polyglotte.tuxfamily.org/doku.php?id=logiciels:stardict|Page du projet polyglotte d'aide à l'utilisation de StarDict (fr)]]. | stardict
