
4 Mot inconnu : EncFS => ====== Chiffrez aisément vos répertoires avec EncFS ====== | encfs
283 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     zenity --notification --text "cliquer ici pour fermer votre dossier décrypté" |      => suggestions : ['']
283 Mot inconnu : zenity =>     zenity --notification --text "cliquer ici pour fermer votre dossier décrypté" | zenity
283 Mot inconnu : text =>     zenity --notification --text "cliquer ici pour fermer votre dossier décrypté" | text
283 Guillemets typographiques ouvrants. =>     zenity --notification --text "cliquer ici pour fermer votre dossier décrypté" | " => suggestions : ['«\xa0', '“']
283 Guillemets typographiques fermants. =>     zenity --notification --text "cliquer ici pour fermer votre dossier décrypté" | " => suggestions : ['\xa0»', '”']

284 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     fusermount -u $2 |      => suggestions : ['']
284 Mot inconnu : fusermount =>     fusermount -u $2 | fusermount
284 Il manque un espace à côté du tiret. =>     fusermount -u $2 |  - => suggestions : [' – ', ' — ']

285 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     zenity --warning --title=Fermeture --text "votre dossier décrypté a été définitivement fermé et masqué" |      => suggestions : ['']
285 Mot inconnu : zenity =>     zenity --warning --title=Fermeture --text "votre dossier décrypté a été définitivement fermé et masqué" | zenity
285 Mot inconnu : title =>     zenity --warning --title=Fermeture --text "votre dossier décrypté a été définitivement fermé et masqué" | title
285 Mot inconnu : text =>     zenity --warning --title=Fermeture --text "votre dossier décrypté a été définitivement fermé et masqué" | text
285 Guillemets typographiques ouvrants. =>     zenity --warning --title=Fermeture --text "votre dossier décrypté a été définitivement fermé et masqué" | " => suggestions : ['«\xa0', '“']
285 Guillemets typographiques fermants. =>     zenity --warning --title=Fermeture --text "votre dossier décrypté a été définitivement fermé et masqué" | " => suggestions : ['\xa0»', '”']

286 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     else |      => suggestions : ['']
286 Mot inconnu : else =>     else | else

287 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     zenity --info --title=Erreur --text "mot de passe erroné: recommencez !" |      => suggestions : ['']
287 Mot inconnu : zenity =>     zenity --info --title=Erreur --text "mot de passe erroné: recommencez !" | zenity
287 Mot inconnu : title =>     zenity --info --title=Erreur --text "mot de passe erroné: recommencez !" | title
287 Mot inconnu : text =>     zenity --info --title=Erreur --text "mot de passe erroné: recommencez !" | text
287 Guillemets typographiques ouvrants. =>     zenity --info --title=Erreur --text "mot de passe erroné: recommencez !" | " => suggestions : ['«\xa0', '“']
287 Guillemets typographiques fermants. =>     zenity --info --title=Erreur --text "mot de passe erroné: recommencez !" | " => suggestions : ['\xa0»', '”']

288 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # on interdit l'écriture dans le dossier déchiffré. Cela permet d'éviter d'enregistrer par erreur un document non chiffré s'il était encore ouvert. |      => suggestions : ['']

289 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     chmod 440 $2 |      => suggestions : ['']
289 Mot inconnu : chmod =>     chmod 440 $2 | chmod

290 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     fi |      => suggestions : ['']

291 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     exit |      => suggestions : ['']

293 Mot inconnu : nautilus => Pour utiliser ce script, il faut le copier dans un fichier texte, puis rendre le fichier exécutable. Ensuite, il suffit de cliquer sur l'icône du fichier dans nautilus. | nautilus

296 Mot inconnu : LTS => Sous **Ubuntu 14.04LTS** (Trusty Thar) lors de la création d'un nouveau dossier chiffré la zone de sélection du répertoire de destination est écrasée, il est extrêmement difficile voire impossible de visualiser le répertoire sélectionné. | lts
296 Mot inconnu : Thar => Sous **Ubuntu 14.04LTS** (Trusty Thar) lors de la création d'un nouveau dossier chiffré la zone de sélection du répertoire de destination est écrasée, il est extrêmement difficile voire impossible de visualiser le répertoire sélectionné. | thar
299 Guillemets fermants. => **Important** : pour pouvoir accéder aux données en clair, il est nécessaire //en plus du mot de passe// de vérifier si le fichier ''.encfs5'' est bien présent dans le répertoire de l'utilisateur.  |  '' => suggestions : ['\xa0»', '”']
299 Mot inconnu : encfs5 => **Important** : pour pouvoir accéder aux données en clair, il est nécessaire //en plus du mot de passe// de vérifier si le fichier ''.encfs5'' est bien présent dans le répertoire de l'utilisateur.  | encfs5
299 Guillemets typographiques fermants. => **Important** : pour pouvoir accéder aux données en clair, il est nécessaire //en plus du mot de passe// de vérifier si le fichier ''.encfs5'' est bien présent dans le répertoire de l'utilisateur.  | '' => suggestions : ['\xa0»', '”']
299 Espace(s) en fin de ligne à supprimer. => **Important** : pour pouvoir accéder aux données en clair, il est nécessaire //en plus du mot de passe// de vérifier si le fichier ''.encfs5'' est bien présent dans le répertoire de l'utilisateur.  |   => suggestions : ['']

303 Guillemets typographiques ouvrants. => ==== Module ''fuse'' ==== | '' => suggestions : ['«\xa0', '“']
303 Guillemets typographiques fermants. => ==== Module ''fuse'' ==== | '' => suggestions : ['\xa0»', '”']

304 Espace(s) en fin de ligne à supprimer. => Vérifier  |   => suggestions : ['']

305 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - la présence du module //fuse// ( lsmod | grep fuse)  |    => suggestions : ['']
305 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - la présence du module //fuse// ( lsmod | grep fuse)  |  -  => suggestions : [' – ', ' — ', ' − ']
305 Pas d’espace après ce signe. =>   * - la présence du module //fuse// ( lsmod | grep fuse)  | (  => suggestions : ['(']
305 Mot inconnu : lsmod =>   * - la présence du module //fuse// ( lsmod | grep fuse)  | lsmod
305 Mot inconnu : grep =>   * - la présence du module //fuse// ( lsmod | grep fuse)  | grep
305 Espace(s) en fin de ligne à supprimer. =>   * - la présence du module //fuse// ( lsmod | grep fuse)  |   => suggestions : ['']

306 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * - que l'utilisateur a les droits requis (grep "fuse" "/etc/group") |    => suggestions : ['']
306 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * - que l'utilisateur a les droits requis (grep "fuse" "/etc/group") |  -  => suggestions : [' – ', ' — ', ' − ']
306 Mot inconnu : grep =>   * - que l'utilisateur a les droits requis (grep "fuse" "/etc/group") | grep
306 Guillemets typographiques ouvrants. =>   * - que l'utilisateur a les droits requis (grep "fuse" "/etc/group") | " => suggestions : ['«\xa0', '“']
306 Guillemets typographiques fermants. =>   * - que l'utilisateur a les droits requis (grep "fuse" "/etc/group") | " => suggestions : ['\xa0»', '”']

308 Mot inconnu : Breezy => Au cas où le module //fuse// n'est pas trouvé au moment du chargement, il se peut qu'il faille modifier le noyau (ce ne devrait //pas// être le cas sous Breezy, Dapper ou Edgy). Dans ce cas, faire : | breezy
308 Mot inconnu : Dapper => Au cas où le module //fuse// n'est pas trouvé au moment du chargement, il se peut qu'il faille modifier le noyau (ce ne devrait //pas// être le cas sous Breezy, Dapper ou Edgy). Dans ce cas, faire : | dapper
308 Mot inconnu : Edgy => Au cas où le module //fuse// n'est pas trouvé au moment du chargement, il se peut qu'il faille modifier le noyau (ce ne devrait //pas// être le cas sous Breezy, Dapper ou Edgy). Dans ce cas, faire : | edgy

310 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install module-assistant |    => suggestions : ['']
310 Mot inconnu : sudo =>   sudo apt-get install module-assistant | sudo
310 Mot inconnu : apt-get =>   sudo apt-get install module-assistant | apt-get
310 Mot inconnu : install =>   sudo apt-get install module-assistant | install

314 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo module-assistant |    => suggestions : ['']
314 Mot inconnu : sudo =>   sudo module-assistant | sudo

315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['«\xa0', '“']
315 Mot inconnu : prepare => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | prepare
315 Guillemets typographiques fermants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['\xa0»', '”']
315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['«\xa0', '“']
315 Guillemets typographiques fermants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['\xa0»', '”']
315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['«\xa0', '“']
315 Guillemets typographiques fermants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['\xa0»', '”']
315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['«\xa0', '“']
315 Guillemets typographiques fermants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['\xa0»', '”']
315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | " => suggestions : ['«\xa0', '“']
315 Mot inconnu : The => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | the
315 Mot inconnu : may => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | may
315 Mot inconnu : not => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | not
315 Mot inconnu : installed => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | installed
315 Typographie : points de suspension. Utilisez le caractère dédié. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | ... => suggestions : ['…']
315 Guillemets typographiques fermants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | " => suggestions : ['\xa0»', '”']
315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['«\xa0', '“']
315 Guillemets typographiques ouvrants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['«\xa0', '“']
315 Mot inconnu : modprobe => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | modprobe
315 Guillemets typographiques fermants. => puis ''prepare'', puis ''select'', puis ''fuse'', puis ''build'', puis appuyer sur [Entrée] au moment du "The source package may not be installed...", puis ''exit'''. Arrivé là, le ''modprobe fuse'' devrait fonctionner. | '' => suggestions : ['\xa0»', '”']

319 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une installation en quelques commandes, une utilisation basique avec deux commandes, |    => suggestions : ['']

320 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'installation est durable. Aucune compilation ou réinstallation n'est nécessaire en cas de mise à jour du kernel,  |    => suggestions : ['']
320 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * l'installation est durable. Aucune compilation ou réinstallation n'est nécessaire en cas de mise à jour du kernel,  | l' => suggestions : ["L'"]
320 Mot inconnu : kernel =>   * l'installation est durable. Aucune compilation ou réinstallation n'est nécessaire en cas de mise à jour du kernel,  | kernel
320 Espace(s) en fin de ligne à supprimer. =>   * l'installation est durable. Aucune compilation ou réinstallation n'est nécessaire en cas de mise à jour du kernel,  |   => suggestions : ['']

321 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * il n'est pas nécessaire de créer de fichier/répertoire d'une taille //fixe// dédié à l'espace chiffré, |    => suggestions : ['']

322 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'utilisateur a le libre choix des répertoires, |    => suggestions : ['']

323 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le fait de voir le nombre de fichiers chiffrés, leur taille et droits d'accès peut être utile, et représente un avantage lors de l'utilisation de //backups// incrémentaux par exemple ; |    => suggestions : ['']
323 Mot inconnu : backups =>   * le fait de voir le nombre de fichiers chiffrés, leur taille et droits d'accès peut être utile, et représente un avantage lors de l'utilisation de //backups// incrémentaux par exemple ; | backups

324 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les performances semblent correctes (contrairement à d'autres solutions). |    => suggestions : ['']

325 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * fonctionnement possible sur différents types de système de fichier (dont NTFS) |    => suggestions : ['']
325 Mot inconnu : NTFS =>   * fonctionnement possible sur différents types de système de fichier (dont NTFS) | ntfs

328 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le fait que le dossier de stockage soit visible et donne donc accès à quelques méta-données (nombre de fichiers chiffrés -mais pas leur nom-, leur taille et droits d'accès...), |    => suggestions : ['']
328 Il manque un espace à côté du tiret. =>   * le fait que le dossier de stockage soit visible et donne donc accès à quelques méta-données (nombre de fichiers chiffrés -mais pas leur nom-, leur taille et droits d'accès...), |  - => suggestions : [' – ', ' — ']
328 Typographie : points de suspension. Utilisez le caractère dédié. =>   * le fait que le dossier de stockage soit visible et donne donc accès à quelques méta-données (nombre de fichiers chiffrés -mais pas leur nom-, leur taille et droits d'accès...), | ... => suggestions : ['…']

329 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le fait que les données chiffrées doivent obligatoirement utiliser le système de fichier utilisé pour les données en clair (même partition). |    => suggestions : ['']

330 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * absence de [[https://fr.wikipedia.org/wiki/D%C3%A9ni_plausible|déni plausible]] ou de volume caché. |    => suggestions : ['']

333 Mot inconnu : less => Pour plus de détails less /usr/share/doc/encfs/README.gz | less

335 Mot inconnu : EncFS => EncFS peut faire un peu plus que ce que cette aide n'a présenté. Pour plus d'informations, voyez : | encfs

337 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.arg0.net/encfs|Site officiel d'EncFS]] |    => suggestions : ['']
337 Mot inconnu : EncFS =>   * [[https://www.arg0.net/encfs|Site officiel d'EncFS]] | encfs

338 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.arg0.net/encfsintro|Introduction détaillée à EncFS]]  (Lien Mort à supprimer) |    => suggestions : ['']
338 Mot inconnu : EncFS =>   * [[http://www.arg0.net/encfsintro|Introduction détaillée à EncFS]]  (Lien Mort à supprimer) | encfs

339 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://manpages.ubuntu.com/cgi-bin/search.py?q=encfs|Page man d'EncFS]] (ou ''man encfs'' dans votre terminal) |    => suggestions : ['']
339 Mot inconnu : EncFS =>   * [[https://manpages.ubuntu.com/cgi-bin/search.py?q=encfs|Page man d'EncFS]] (ou ''man encfs'' dans votre terminal) | encfs
339 Guillemets typographiques ouvrants. =>   * [[https://manpages.ubuntu.com/cgi-bin/search.py?q=encfs|Page man d'EncFS]] (ou ''man encfs'' dans votre terminal) | '' => suggestions : ['«\xa0', '“']
339 Mot inconnu : encfs =>   * [[https://manpages.ubuntu.com/cgi-bin/search.py?q=encfs|Page man d'EncFS]] (ou ''man encfs'' dans votre terminal) | encfs
339 Guillemets typographiques fermants. =>   * [[https://manpages.ubuntu.com/cgi-bin/search.py?q=encfs|Page man d'EncFS]] (ou ''man encfs'' dans votre terminal) | '' => suggestions : ['\xa0»', '”']

340 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://en.wikipedia.org/wiki/EncFS|Article « EncFS » sur en.wikipedia.org]] |    => suggestions : ['']
340 Mot inconnu : EncFS =>   * [[https://en.wikipedia.org/wiki/EncFS|Article « EncFS » sur en.wikipedia.org]] | encfs

341 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22418362#p22418362|Installer et utiliser EncFS sous Ubuntu Gnome 20.04 compatible avec la version EncFSMP (Windows)]] |    => suggestions : ['']
341 Mot inconnu : EncFS =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22418362#p22418362|Installer et utiliser EncFS sous Ubuntu Gnome 20.04 compatible avec la version EncFSMP (Windows)]] | encfs
341 Mot inconnu : EncFSMP =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22418362#p22418362|Installer et utiliser EncFS sous Ubuntu Gnome 20.04 compatible avec la version EncFSMP (Windows)]] | encfsmp

342 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[davfs2#astucenuage_et_vie_privee|Utiliser EncFs dans le nuage]] |    => suggestions : ['']
342 Mot inconnu : davfs2 =>   * [[davfs2#astucenuage_et_vie_privee|Utiliser EncFs dans le nuage]] | davfs2
342 Mot inconnu : EncFs =>   * [[davfs2#astucenuage_et_vie_privee|Utiliser EncFs dans le nuage]] | encfs

343 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[gnome-encfs-manager|Gnome Encfs Manager]] une interface graphique pour Encfs. |    => suggestions : ['']
343 Mot inconnu : gnome-encfs-manager =>   * [[gnome-encfs-manager|Gnome Encfs Manager]] une interface graphique pour Encfs. | gnome-encfs-manager
343 Mot inconnu : Encfs =>   * [[gnome-encfs-manager|Gnome Encfs Manager]] une interface graphique pour Encfs. | encfs
343 Mot inconnu : Encfs =>   * [[gnome-encfs-manager|Gnome Encfs Manager]] une interface graphique pour Encfs. | encfs

345 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ---- |   => suggestions : ['']
346 Il manque un espace. => //Contributeurs : [[utilisateurs:Uggy]], [[utilisateurs:jd]], [[utilisateurs:Spomky]], [[utilisateurs:Zakhar]] (changelog avril 2010) // | uggy => suggestions : [' Uggy']
346 Il manque un espace. => //Contributeurs : [[utilisateurs:Uggy]], [[utilisateurs:jd]], [[utilisateurs:Spomky]], [[utilisateurs:Zakhar]] (changelog avril 2010) // | jd => suggestions : [' jd']
346 Il manque un espace. => //Contributeurs : [[utilisateurs:Uggy]], [[utilisateurs:jd]], [[utilisateurs:Spomky]], [[utilisateurs:Zakhar]] (changelog avril 2010) // | spomky => suggestions : [' Spomky']
346 Il manque un espace. => //Contributeurs : [[utilisateurs:Uggy]], [[utilisateurs:jd]], [[utilisateurs:Spomky]], [[utilisateurs:Zakhar]] (changelog avril 2010) // | zakhar => suggestions : [' Zakhar']
346 Mot inconnu : changelog => //Contributeurs : [[utilisateurs:Uggy]], [[utilisateurs:jd]], [[utilisateurs:Spomky]], [[utilisateurs:Zakhar]] (changelog avril 2010) // | changelog
348 Mot inconnu : topic => // Basé sur : [[http://blog.uggy.org/post/2006/05/17/90-chiffrer-ses-donnees-avec-encfs|ce billet original]]. Équivalent anglophone disponible sur ce [[http://ubuntuforums.org/showthread.php?t=148600|topic d'ubuntuforums.org]].// | topic
348 Mot inconnu : ubuntuforums => // Basé sur : [[http://blog.uggy.org/post/2006/05/17/90-chiffrer-ses-donnees-avec-encfs|ce billet original]]. Équivalent anglophone disponible sur ce [[http://ubuntuforums.org/showthread.php?t=148600|topic d'ubuntuforums.org]].// | ubuntuforums
