
7 Mot inconnu : Banshee => ====== Banshee : un gestionnaire multimédia ====== | banshee
187 Guillemets typographiques fermants. => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | " => suggestions : ['\xa0»', '”']
187 Guillemets typographiques ouvrants. => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | " => suggestions : ['«\xa0', '“']
187 Guillemets typographiques fermants. => Dans la nouvelle fenêtre, cocher la case "Artistes de l'album de compilation" et dessous inscrivez le nom de l'artiste principal ou par exemple "Various Artists" puis cliquez sur l'icône à droite de la case que vous venez de remplir représentée par deux feuilles superposées. Vous n'avez plus qu'à cliquer sur "Enregistrer". | " => suggestions : ['\xa0»', '”']

190 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

193 Mot inconnu : Banshee => Pour supprimer Banshee de l'applet Son, voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=5622071#p5622071|cette discussion]]. | banshee

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://banshee.fm/|Site officiel de Banshee]] (en) ; |    => suggestions : ['']
198 Mot inconnu : Banshee =>   * [[http://banshee.fm/|Site officiel de Banshee]] (en) ; | banshee

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://banshee.fm/download/extensions/|Liste des extensions officielles]] (en). |    => suggestions : ['']
203 Il manque un espace. => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | kanor => suggestions : [' kanor']
203 Il manque un espace. => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | fan_only1 => suggestions : [' FaN_OnLy1']
203 Il manque un espace. => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | mavosaure => suggestions : [' mavosaure']
203 Il manque un espace. => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | percherie => suggestions : [' Percherie']
203 Il manque un espace. => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | coug => suggestions : [' Coug']
203 Mot inconnu : DEDENON => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | dedenon
203 Mot inconnu : Melomaniaque => //Contributeurs : [[utilisateurs:kanor]], [[utilisateurs:FaN_OnLy1]], [[utilisateurs:mavosaure]], [[utilisateurs:Percherie]], [[utilisateurs:Coug@r]], Robert DEDENON (Roberto Melomaniaque)//. | melomaniaque
