
5 Mot inconnu : mount => ====== mount et fstab : Le montage des systèmes de fichiers ====== | mount
204 Mot inconnu : cas__ => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | cas__
204 Guillemets typographiques ouvrants. => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | " => suggestions : ['«\xa0', '“']
204 Guillemets typographiques fermants. => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | " => suggestions : ['\xa0»', '”']
204 Guillemets typographiques fermants. => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | '' => suggestions : ['\xa0»', '”']
204 Mot inconnu : sudo => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | sudo
204 Mot inconnu : mkdir => __Dans tous les cas__, il ne faut pas oublier de créer "l'ancrage" ''/media/toto'' par un **sudo mkdir /media/toto** (remplacez **toto** par le nom qui vous convient). | mkdir

207 Mot inconnu : umount => Les utilisateurs peuvent également le démonter manuellement ou le re-monter en tapant **umount** ou **mount /media/xxx** (où **xxx** est le nom de votre répertoire de montage). \\ | umount
207 Mot inconnu : mount => Les utilisateurs peuvent également le démonter manuellement ou le re-monter en tapant **umount** ou **mount /media/xxx** (où **xxx** est le nom de votre répertoire de montage). \\ | mount
207 Mot inconnu : xxx => Les utilisateurs peuvent également le démonter manuellement ou le re-monter en tapant **umount** ou **mount /media/xxx** (où **xxx** est le nom de votre répertoire de montage). \\ | xxx
207 Mot inconnu : xxx => Les utilisateurs peuvent également le démonter manuellement ou le re-monter en tapant **umount** ou **mount /media/xxx** (où **xxx** est le nom de votre répertoire de montage). \\ | xxx

209 Mot inconnu : fstab => Quand vous avez fini de créer votre **fstab**, vous pouvez le tester sans redémarrer votre PC, via un : | fstab

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mount -a |    => suggestions : ['']
210 Mot inconnu : sudo =>   sudo mount -a | sudo
210 Mot inconnu : mount =>   sudo mount -a | mount
210 Il manque un espace à côté du tiret. =>   sudo mount -a |  - => suggestions : [' – ', ' — ']

211 Mot inconnu : fstab => Cette commande exécute le **fstab** comme si votre machine venait de démarrer. C'est plus rapide pour tester différentes configurations. | fstab

217 Mot inconnu : defaults => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | defaults
217 Guillemets typographiques fermants. => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | '' => suggestions : ['\xa0»', '”']
217 Guillemets typographiques ouvrants. => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | '' => suggestions : ['«\xa0', '“']
217 Mot inconnu : rw => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | rw
217 Il manque un espace. => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | suid => suggestions : [' suid']
217 Mot inconnu : suid => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | suid
217 Mot inconnu : dev => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | dev
217 Il manque un espace. => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | exec => suggestions : [' exec']
217 Mot inconnu : exec => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | exec
217 Il manque un espace. => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | nouser => suggestions : [' nouser']
217 Mot inconnu : nouser => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | nouser
217 Mot inconnu : async => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | async
217 Guillemets typographiques fermants. => | //''defaults''// | //Correspond à: ''rw,suid,dev,exec,auto,nouser,async''// | Tous | | '' => suggestions : ['\xa0»', '”']

218 Mot inconnu : rw => | ''**rw**/ro'' | Montage en lecture/écriture (par défaut) ou lecture seule | Tous | | rw
218 Mot inconnu : ro => | ''**rw**/ro'' | Montage en lecture/écriture (par défaut) ou lecture seule | Tous | | ro
218 Guillemets typographiques fermants. => | ''**rw**/ro'' | Montage en lecture/écriture (par défaut) ou lecture seule | Tous | | '' => suggestions : ['\xa0»', '”']

219 Mot inconnu : suid => | ''**suid**/nosuid'' | Les bits [[https://fr.wikipedia.org/wiki/Setuid|SUID et SGID]] sont pris en compte (ou non) \\ Relatif aux droits donnés aux exécutables sur la partition | Tous | | suid
219 Mot inconnu : nosuid => | ''**suid**/nosuid'' | Les bits [[https://fr.wikipedia.org/wiki/Setuid|SUID et SGID]] sont pris en compte (ou non) \\ Relatif aux droits donnés aux exécutables sur la partition | Tous | | nosuid
219 Guillemets typographiques fermants. => | ''**suid**/nosuid'' | Les bits [[https://fr.wikipedia.org/wiki/Setuid|SUID et SGID]] sont pris en compte (ou non) \\ Relatif aux droits donnés aux exécutables sur la partition | Tous | | '' => suggestions : ['\xa0»', '”']
219 Mot inconnu : SUID => | ''**suid**/nosuid'' | Les bits [[https://fr.wikipedia.org/wiki/Setuid|SUID et SGID]] sont pris en compte (ou non) \\ Relatif aux droits donnés aux exécutables sur la partition | Tous | | suid
219 Mot inconnu : SGID => | ''**suid**/nosuid'' | Les bits [[https://fr.wikipedia.org/wiki/Setuid|SUID et SGID]] sont pris en compte (ou non) \\ Relatif aux droits donnés aux exécutables sur la partition | Tous | | sgid

220 Mot inconnu : dev => | ''**dev**/nodev'' | Interprète ou non les fichiers spéciaux de périphériques présents sur le système (par défaut) | Tous | | dev
220 Mot inconnu : nodev => | ''**dev**/nodev'' | Interprète ou non les fichiers spéciaux de périphériques présents sur le système (par défaut) | Tous | | nodev
220 Guillemets typographiques fermants. => | ''**dev**/nodev'' | Interprète ou non les fichiers spéciaux de périphériques présents sur le système (par défaut) | Tous | | '' => suggestions : ['\xa0»', '”']

221 Mot inconnu : exec => | ''**exec**/noexec'' | Autorise l'exécution des programmes (par défaut)  | Tous | | exec
221 Mot inconnu : noexec => | ''**exec**/noexec'' | Autorise l'exécution des programmes (par défaut)  | Tous | | noexec
221 Guillemets typographiques fermants. => | ''**exec**/noexec'' | Autorise l'exécution des programmes (par défaut)  | Tous | | '' => suggestions : ['\xa0»', '”']

222 Mot inconnu : noauto => | ''**auto**/noauto'' | Montage automatique (ou non) lors d'un appel mount -a (par défaut) | Tous | | noauto
222 Guillemets typographiques fermants. => | ''**auto**/noauto'' | Montage automatique (ou non) lors d'un appel mount -a (par défaut) | Tous | | '' => suggestions : ['\xa0»', '”']
222 Mot inconnu : mount => | ''**auto**/noauto'' | Montage automatique (ou non) lors d'un appel mount -a (par défaut) | Tous | | mount
222 Il manque un espace à côté du tiret. => | ''**auto**/noauto'' | Montage automatique (ou non) lors d'un appel mount -a (par défaut) | Tous | |  - => suggestions : [' – ', ' — ']

223 Mot inconnu : nouser => | ''**nouser**'' | Seul le compte root peut monter/démonter le système de fichier (par défaut) | Tous | | nouser
223 Mot inconnu : root => | ''**nouser**'' | Seul le compte root peut monter/démonter le système de fichier (par défaut) | Tous | | root

224 Mot inconnu : _netdev => | ''**_netdev**'' | Le système de fichiers est sur une machine qui nécessite un accès réseau. Cela indique au système d'attendre que la configuration réseau soit active avant de procéder au montage | ?? | | _netdev

225 Mot inconnu : async => | ''**async**'' | Montage asynchrone (par défaut) | Tous | | async

226 Mot inconnu : atime => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | atime
226 Mot inconnu : noatime => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | noatime
226 Guillemets typographiques fermants. => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | '' => suggestions : ['\xa0»', '”']
226 Guillemets typographiques ouvrants. => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | '' => suggestions : ['«\xa0', '“']
226 Mot inconnu : noatime => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | noatime
226 Guillemets typographiques fermants. => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | '' => suggestions : ['\xa0»', '”']
226 Mot inconnu : POSIX => | ''**atime**/noatime'' | Inscrit (ou non) la date d'accès (préférez ''noatime'' pour les SSD) | Norme POSIX | | posix

227 Guillemets typographiques ouvrants. => | ''sw'' | Spécifique à l'activation des partitions swap | swap | | '' => suggestions : ['«\xa0', '“']
227 Mot inconnu : sw => | ''sw'' | Spécifique à l'activation des partitions swap | swap | | sw
227 Guillemets typographiques fermants. => | ''sw'' | Spécifique à l'activation des partitions swap | swap | | '' => suggestions : ['\xa0»', '”']

228 Guillemets typographiques ouvrants. => | ''discard'' | active le [[/ssd_solid_state_drive#la_commande_trimactivation_et_utilisation|TRIM]] sur les partitions SSD (à rajouter manuellement) | ext4, btrfs (SSD) | | '' => suggestions : ['«\xa0', '“']
228 Mot inconnu : discard => | ''discard'' | active le [[/ssd_solid_state_drive#la_commande_trimactivation_et_utilisation|TRIM]] sur les partitions SSD (à rajouter manuellement) | ext4, btrfs (SSD) | | discard
228 Guillemets typographiques fermants. => | ''discard'' | active le [[/ssd_solid_state_drive#la_commande_trimactivation_et_utilisation|TRIM]] sur les partitions SSD (à rajouter manuellement) | ext4, btrfs (SSD) | | '' => suggestions : ['\xa0»', '”']
228 Mot inconnu : ssd_solid_state_drive => | ''discard'' | active le [[/ssd_solid_state_drive#la_commande_trimactivation_et_utilisation|TRIM]] sur les partitions SSD (à rajouter manuellement) | ext4, btrfs (SSD) | | ssd_solid_state_drive
228 Mot inconnu : ext4 => | ''discard'' | active le [[/ssd_solid_state_drive#la_commande_trimactivation_et_utilisation|TRIM]] sur les partitions SSD (à rajouter manuellement) | ext4, btrfs (SSD) | | ext4
228 Mot inconnu : btrfs => | ''discard'' | active le [[/ssd_solid_state_drive#la_commande_trimactivation_et_utilisation|TRIM]] sur les partitions SSD (à rajouter manuellement) | ext4, btrfs (SSD) | | btrfs

232 Guillemets typographiques ouvrants. => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | '' => suggestions : ['«\xa0', '“']
232 Mot inconnu : users => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | users
232 Guillemets typographiques fermants. => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | '' => suggestions : ['\xa0»', '”']
232 Mot inconnu : noexec => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | noexec
232 Mot inconnu : nosuid => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | nosuid
232 Mot inconnu : nodev => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | nodev
232 Mot inconnu : exec => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | exec
232 Il manque un espace. => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | dev => suggestions : [' dev']
232 Mot inconnu : dev => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | dev
232 Mot inconnu : suid => | ''users'' | Autorise l'utilisateur courant à monter/démonter le système de fichier. Ceci entraîne l'utilisation des options noexec, nosuid, et nodev (à moins que exec,dev,suid ne soient spécifiés). | Tous | | suid

233 Guillemets typographiques ouvrants. => | ''sync'' | Montage synchrone (semblerait déconseillé) | ext2-3, fat, vfat, ufs | | '' => suggestions : ['«\xa0', '“']
233 Mot inconnu : sync => | ''sync'' | Montage synchrone (semblerait déconseillé) | ext2-3, fat, vfat, ufs | | sync
233 Guillemets typographiques fermants. => | ''sync'' | Montage synchrone (semblerait déconseillé) | ext2-3, fat, vfat, ufs | | '' => suggestions : ['\xa0»', '”']
233 Mot inconnu : ext2-3 => | ''sync'' | Montage synchrone (semblerait déconseillé) | ext2-3, fat, vfat, ufs | | ext2-3
233 Mot inconnu : vfat => | ''sync'' | Montage synchrone (semblerait déconseillé) | ext2-3, fat, vfat, ufs | | vfat
233 Mot inconnu : ufs => | ''sync'' | Montage synchrone (semblerait déconseillé) | ext2-3, fat, vfat, ufs | | ufs

234 Guillemets typographiques ouvrants. => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | '' => suggestions : ['«\xa0', '“']
234 Mot inconnu : uid => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | uid
234 Confusion : « votre possession », « la vôtre ». => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | votre => suggestions : ['vôtre']
234 Mot inconnu : root => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | root
234 Guillemets typographiques ouvrants. => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | '' => suggestions : ['«\xa0', '“']
234 Mot inconnu : uid => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | uid
234 Guillemets typographiques fermants. => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | '' => suggestions : ['\xa0»', '”']
234 Guillemets typographiques ouvrants. => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | '' => suggestions : ['«\xa0', '“']
234 Mot inconnu : gid => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | gid
234 Guillemets typographiques fermants. => | ''uid='' | Spécifie le n° du propriétaire des fichiers pour les systèmes de fichiers non-Linux (où ce n'est donc pas spécifié). Vous pouvez trouver le votre dans "/etc/passwd". \\  * Si non spécifié : root \\  * Si ''uid'' ou ''gid'' spécifié sans nombre, utilisateur actuel. | Formats non-Linux | | '' => suggestions : ['\xa0»', '”']

235 Guillemets typographiques ouvrants. => | ''gid='' | Pareil pour les groupes propriétaires (Les numéros de groupes sont dans ''/etc/group'') | Formats non-Linux | | '' => suggestions : ['«\xa0', '“']
235 Mot inconnu : gid => | ''gid='' | Pareil pour les groupes propriétaires (Les numéros de groupes sont dans ''/etc/group'') | Formats non-Linux | | gid

236 Guillemets typographiques ouvrants. => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | '' => suggestions : ['«\xa0', '“']
236 Mot inconnu : umask => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | umask
236 Guillemets typographiques ouvrants. => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | '' => suggestions : ['«\xa0', '“']
236 Mot inconnu : uid => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | uid
236 Guillemets typographiques fermants. => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | '' => suggestions : ['\xa0»', '”']
236 Guillemets typographiques ouvrants. => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | '' => suggestions : ['«\xa0', '“']
236 Mot inconnu : gid => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | gid
236 Guillemets typographiques fermants. => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| | '' => suggestions : ['\xa0»', '”']
236 Espace(s) surnuméraire(s) à supprimer. => | ''umask='' | Spécifie les permissions (droits d'accès/lecture/écriture) sur la partition, même fonctionnement que ''uid'' et ''gid''.  | Formats non-Linux (fat)| |    => suggestions : [' ']

237 Guillemets typographiques ouvrants. => | ''dir_mode='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel)  | Formats non-Linux  | | '' => suggestions : ['«\xa0', '“']
237 Mot inconnu : dir_mode => | ''dir_mode='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel)  | Formats non-Linux  | | dir_mode
237 Guillemets typographiques ouvrants. => | ''dir_mode='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel)  | Formats non-Linux  | | '' => suggestions : ['«\xa0', '“']
237 Mot inconnu : umask => | ''dir_mode='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel)  | Formats non-Linux  | | umask
237 Guillemets typographiques fermants. => | ''dir_mode='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel)  | Formats non-Linux  | | '' => suggestions : ['\xa0»', '”']
237 Espace(s) surnuméraire(s) à supprimer. => | ''dir_mode='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel)  | Formats non-Linux  | |    => suggestions : [' ']

238 Guillemets typographiques ouvrants. => | ''dmask='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel) | Formats non-Linux (fat) | | '' => suggestions : ['«\xa0', '“']
238 Mot inconnu : dmask => | ''dmask='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel) | Formats non-Linux (fat) | | dmask
238 Guillemets typographiques ouvrants. => | ''dmask='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel) | Formats non-Linux (fat) | | '' => suggestions : ['«\xa0', '“']
238 Mot inconnu : umask => | ''dmask='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel) | Formats non-Linux (fat) | | umask
238 Guillemets typographiques fermants. => | ''dmask='' | Spécifie les droits d'usage des dossiers (si omis : ''umask'' actuel) | Formats non-Linux (fat) | | '' => suggestions : ['\xa0»', '”']

239 Guillemets typographiques ouvrants. => | ''file_mode='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel)  | Formats non-Linux  | | '' => suggestions : ['«\xa0', '“']
239 Mot inconnu : file_mode => | ''file_mode='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel)  | Formats non-Linux  | | file_mode
239 Mot inconnu : umask => | ''file_mode='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel)  | Formats non-Linux  | | umask
239 Espace(s) surnuméraire(s) à supprimer. => | ''file_mode='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel)  | Formats non-Linux  | |    => suggestions : [' ']

240 Guillemets typographiques ouvrants. => | ''fmask='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel) | Formats non-Linux (fat) | | '' => suggestions : ['«\xa0', '“']
240 Mot inconnu : fmask => | ''fmask='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel) | Formats non-Linux (fat) | | fmask
240 Mot inconnu : umask => | ''fmask='' | Spécifie les droits d'usage des fichiers (si omis : umask actuel) | Formats non-Linux (fat) | | umask

241 Guillemets typographiques ouvrants. => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | '' => suggestions : ['«\xa0', '“']
241 Mot inconnu : utf8 => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | utf8
241 Guillemets typographiques fermants. => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | '' => suggestions : ['\xa0»', '”']
241 Mot inconnu : unicode => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | unicode
241 Espace(s) surnuméraire(s) à supprimer. => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | |    => suggestions : [' ']
241 Mot inconnu : utf8 => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | utf8
241 Mot inconnu : ISO9660 => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | iso9660
241 Mot inconnu : Ntfs => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | ntfs
241 Mot inconnu : Fat32 => | ''utf8'' | Convertit l'encodage unicode 16 bits des caractères en  utf8 pour les noms de fichiers | ISO9660 (Images CD/DVD), Ntfs, Fat32 | | fat32

242 Guillemets typographiques ouvrants. => | ''windows_names'' | Empêche  l'usage des caractères non compatibles avec Windows dans les noms de fichiers : \\ / \ : ? * < > " barre verticale. Pour vérifier et corriger les noms non compatibles, lisez cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=2068750|discussion]] | fat, ntfs | | '' => suggestions : ['«\xa0', '“']
242 Mot inconnu : windows_names => | ''windows_names'' | Empêche  l'usage des caractères non compatibles avec Windows dans les noms de fichiers : \\ / \ : ? * < > " barre verticale. Pour vérifier et corriger les noms non compatibles, lisez cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=2068750|discussion]] | fat, ntfs | | windows_names
242 Guillemets typographiques fermants. => | ''windows_names'' | Empêche  l'usage des caractères non compatibles avec Windows dans les noms de fichiers : \\ / \ : ? * < > " barre verticale. Pour vérifier et corriger les noms non compatibles, lisez cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=2068750|discussion]] | fat, ntfs | | '' => suggestions : ['\xa0»', '”']
242 Espace(s) surnuméraire(s) à supprimer. => | ''windows_names'' | Empêche  l'usage des caractères non compatibles avec Windows dans les noms de fichiers : \\ / \ : ? * < > " barre verticale. Pour vérifier et corriger les noms non compatibles, lisez cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=2068750|discussion]] | fat, ntfs | |    => suggestions : [' ']
242 Guillemets isolés. => | ''windows_names'' | Empêche  l'usage des caractères non compatibles avec Windows dans les noms de fichiers : \\ / \ : ? * < > " barre verticale. Pour vérifier et corriger les noms non compatibles, lisez cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=2068750|discussion]] | fat, ntfs | |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
242 Mot inconnu : ntfs => | ''windows_names'' | Empêche  l'usage des caractères non compatibles avec Windows dans les noms de fichiers : \\ / \ : ? * < > " barre verticale. Pour vérifier et corriger les noms non compatibles, lisez cette [[https://forum.ubuntu-fr.org/viewtopic.php?id=2068750|discussion]] | fat, ntfs | | ntfs

243 Mot inconnu : windows_names => <note important> L'option windows_names n'est plus supportée depuis la version 22.04.0. Les contrôles sont implicitement faits.</note> | windows_names

244 Mot inconnu : sync => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  | sync
244 Espace(s) surnuméraire(s) à supprimer. => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  |    => suggestions : [' ']
244 Mot inconnu : NTFS => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  | ntfs
244 Espace(s) surnuméraire(s) à supprimer. => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  |    => suggestions : [' ']
