
5 Mot inconnu : One => =======Acer Aspire One======= | one
216 Pas de majuscule sur les mois. => ==Version v0.3114 (31 Juillet 2008)== | juillet => suggestions : ['juillet']

218 Mot inconnu : Atom => Meilleure prise en charge du processeur Intel Atom N 270. | atom

220 Mot inconnu : v0 => ==Version v0.3304 (18 Septembre 2008)== | v0
220 Pas de majuscule sur les mois. => ==Version v0.3304 (18 Septembre 2008)== | septembre => suggestions : ['septembre']

222 Doublon. => Cette nouvelle version corrige corrige l'échelle de la luminosité de l'écran LCD : 46 % à 100 % (attention, vous ne pourrez plus baisser la luminosité autant qu'avant...). | corrige corrige => suggestions : ['corrige']
222 Typographie : points de suspension. Utilisez le caractère dédié. => Cette nouvelle version corrige corrige l'échelle de la luminosité de l'écran LCD : 46 % à 100 % (attention, vous ne pourrez plus baisser la luminosité autant qu'avant...). | ... => suggestions : ['…']

223 Accord de nombre erroné : « bios » devrait être au singulier. => Le bug du mot de passe du bios avec les minuscules est corrigé. | bios => suggestions : ['bio']

226 Mot inconnu : v0 => ==Version v0.3305 (17 Octobre 2008)== | v0
226 Pas de majuscule sur les mois. => ==Version v0.3305 (17 Octobre 2008)== | octobre => suggestions : ['octobre']
229 Mot inconnu : Rescue => Correctif mineur : Gestion des batteries haute capacité 6 cellules et correctif du mode Rescue du BIOS. | rescue

231 Mot inconnu : v0 => ==Version v0.3308 (16 Décembre 2008) == | v0
231 Pas de majuscule sur les mois. => ==Version v0.3308 (16 Décembre 2008) == | décembre => suggestions : ['décembre']

234 Mot inconnu : v0 => ==Version v0.3309 (15 Janvier 2009) == | v0
234 Pas de majuscule sur les mois. => ==Version v0.3309 (15 Janvier 2009) == | janvier => suggestions : ['janvier']

236 Mot inconnu : v0 => ==Version v0.3310 (02 Mai 2009) == | v0
236 Pas de majuscule sur les mois. => ==Version v0.3310 (02 Mai 2009) == | mai => suggestions : ['mai']

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une clé USB de 128 Mo suffit, formatée en FAT32 |    => suggestions : ['']
242 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une clé USB de 128 Mo suffit, formatée en FAT32 |  -  => suggestions : [' – ', ' — ', ' − ']
242 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Une clé USB de 128 Mo suffit, formatée en FAT32 | 128 mo => suggestions : ['128\xa0Mo']
242 Mot inconnu : FAT32 =>   - Une clé USB de 128 Mo suffit, formatée en FAT32 | fat32

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" |    => suggestions : ['']
243 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" |  -  => suggestions : [' – ', ' — ', ' − ']
243 Typographie des composés chimiques. =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | f2 => suggestions : ['F₂']
243 Mot inconnu : F2 =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | f2
243 Guillemets typographiques ouvrants. =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | " => suggestions : ['«\xa0', '“']
243 Mot inconnu : konsole =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | konsole
243 Guillemets typographiques fermants. =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | " => suggestions : ['\xa0»', '”']
243 Guillemets typographiques ouvrants. =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | " => suggestions : ['«\xa0', '“']
243 Guillemets typographiques fermants. =>   - Ouvrez un terminal (Alt+F2) puis "konsole" ou "gnome-terminal" | " => suggestions : ['\xa0»', '”']
245 Espace(s) en fin de ligne à supprimer. => puis :  |   => suggestions : ['']

254 Mot inconnu : v0 => Récupérer le BIOS v0.3304 (au 23/09/2008) ou | v0

256 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => (gestion du ventilo - voir plus haut) (31/07/08) ici : [[http://www.acerpanam.com/synapse/data/7117/documents/ZG5_3304.zip|AcerPamAm]] ou [[ftp://ftp.acer-euro.com/netbook/aspire_one_150/bios/|FTP Acer Europe]] |  -  => suggestions : [' – ', ' — ', ' − ']
256 Mot inconnu : acer-euro => (gestion du ventilo - voir plus haut) (31/07/08) ici : [[http://www.acerpanam.com/synapse/data/7117/documents/ZG5_3304.zip|AcerPamAm]] ou [[ftp://ftp.acer-euro.com/netbook/aspire_one_150/bios/|FTP Acer Europe]] | acer-euro
256 Mot inconnu : netbook => (gestion du ventilo - voir plus haut) (31/07/08) ici : [[http://www.acerpanam.com/synapse/data/7117/documents/ZG5_3304.zip|AcerPamAm]] ou [[ftp://ftp.acer-euro.com/netbook/aspire_one_150/bios/|FTP Acer Europe]] | netbook
256 Mot inconnu : aspire_one_150 => (gestion du ventilo - voir plus haut) (31/07/08) ici : [[http://www.acerpanam.com/synapse/data/7117/documents/ZG5_3304.zip|AcerPamAm]] ou [[ftp://ftp.acer-euro.com/netbook/aspire_one_150/bios/|FTP Acer Europe]] | aspire_one_150
258 Mot inconnu : acer-euro => Page de téléchargement du BIOS : [[ftp://ftp.acer-euro.com/netbook/|Ftp Acer Europe]] | acer-euro
258 Mot inconnu : netbook => Page de téléchargement du BIOS : [[ftp://ftp.acer-euro.com/netbook/|Ftp Acer Europe]] | netbook

262 Mot inconnu : FreeDOS => Choisir la distribution FreeDOS et << OK >>. | freedos

263 Mot inconnu : rebootez => Puis dézippez le fichier sur la clé USB, ensuite rebootez en appuyant sur F12 pour booter depuis la clé USB. | rebootez
263 Mot inconnu : F12 => Puis dézippez le fichier sur la clé USB, ensuite rebootez en appuyant sur F12 pour booter depuis la clé USB. | f12
263 Mot inconnu : booter => Puis dézippez le fichier sur la clé USB, ensuite rebootez en appuyant sur F12 pour booter depuis la clé USB. | booter

266 Il manque un espace. => Exécutez le fichier **3304.BAT** pour flasher votre BIOS | bat => suggestions : [' BAT']

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.antharius.com/blog/?p=1474]] |    => suggestions : ['']

271 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://astuces.absolacom.com/materiel/ecran-noir-sur-acer-aspire-one/]] |    => suggestions : ['']

274 Mot inconnu : netbook => <note warning>Je vous conseille de faire une sauvegarde de votre BIOS précédent au cas où et de brancher votre netbook sur le secteur et avec la batterie installée pendant la procédure.</note> | netbook

280 Mot inconnu : Antharius => d'après [[http://www.antharius.com/blog/?p=1396|Blog Antharius]] | antharius

283 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A partir de Ubuntu 9.04 (Jaunty Jackalope) le wifi fonctionne d'office mais il est fortement conseillé d'installer les pilotes //madwifi-hal//  pour éviter des déconnexion durant une moyenne ou forte activité du wifi.</note> | a => suggestions : ['À']
283 Mot inconnu : Jaunty => <note important>A partir de Ubuntu 9.04 (Jaunty Jackalope) le wifi fonctionne d'office mais il est fortement conseillé d'installer les pilotes //madwifi-hal//  pour éviter des déconnexion durant une moyenne ou forte activité du wifi.</note> | jaunty
283 Mot inconnu : Jackalope => <note important>A partir de Ubuntu 9.04 (Jaunty Jackalope) le wifi fonctionne d'office mais il est fortement conseillé d'installer les pilotes //madwifi-hal//  pour éviter des déconnexion durant une moyenne ou forte activité du wifi.</note> | jackalope
283 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note important>A partir de Ubuntu 9.04 (Jaunty Jackalope) le wifi fonctionne d'office mais il est fortement conseillé d'installer les pilotes //madwifi-hal//  pour éviter des déconnexion durant une moyenne ou forte activité du wifi.</note> |  mais => suggestions : [', mais']
283 Mot inconnu : madwifi-hal => <note important>A partir de Ubuntu 9.04 (Jaunty Jackalope) le wifi fonctionne d'office mais il est fortement conseillé d'installer les pilotes //madwifi-hal//  pour éviter des déconnexion durant une moyenne ou forte activité du wifi.</note> | madwifi-hal
283 Accord de nombre erroné : « déconnexion » devrait être au pluriel. => <note important>A partir de Ubuntu 9.04 (Jaunty Jackalope) le wifi fonctionne d'office mais il est fortement conseillé d'installer les pilotes //madwifi-hal//  pour éviter des déconnexion durant une moyenne ou forte activité du wifi.</note> | déconnexion => suggestions : ['déconnexions']

285 Mot inconnu : Atheros => La carte Wifi est une //Atheros AR5BXB63// (Chipset AR5006). Elle n'est pas d'office utilisable sous les version antérieurs à Ubuntu 9.04. | atheros
285 Mot inconnu : AR5BXB63 => La carte Wifi est une //Atheros AR5BXB63// (Chipset AR5006). Elle n'est pas d'office utilisable sous les version antérieurs à Ubuntu 9.04. | ar5bxb63
285 Mot inconnu : Chipset => La carte Wifi est une //Atheros AR5BXB63// (Chipset AR5006). Elle n'est pas d'office utilisable sous les version antérieurs à Ubuntu 9.04. | chipset
285 Mot inconnu : AR5006 => La carte Wifi est une //Atheros AR5BXB63// (Chipset AR5006). Elle n'est pas d'office utilisable sous les version antérieurs à Ubuntu 9.04. | ar5006
285 Accord de nombre erroné : « version » devrait être au pluriel. => La carte Wifi est une //Atheros AR5BXB63// (Chipset AR5006). Elle n'est pas d'office utilisable sous les version antérieurs à Ubuntu 9.04. | version => suggestions : ['versions']
285 Accord de genre erroné entre « version » et « antérieurs ». => La carte Wifi est une //Atheros AR5BXB63// (Chipset AR5006). Elle n'est pas d'office utilisable sous les version antérieurs à Ubuntu 9.04. | antérieurs => suggestions : ['antérieures']

288 Mot inconnu : madwifi => \\ Récupérer les pilotes madwifi pour ce chipset : [[http://snapshots.madwifi-project.org/madwifi-hal-0.10.5.6/madwifi-hal-0.10.5.6-r4126-20100324.tar.gz|Madwifi-hal]]  | madwifi
288 Mot inconnu : chipset => \\ Récupérer les pilotes madwifi pour ce chipset : [[http://snapshots.madwifi-project.org/madwifi-hal-0.10.5.6/madwifi-hal-0.10.5.6-r4126-20100324.tar.gz|Madwifi-hal]]  | chipset
288 Espace(s) en fin de ligne à supprimer. => \\ Récupérer les pilotes madwifi pour ce chipset : [[http://snapshots.madwifi-project.org/madwifi-hal-0.10.5.6/madwifi-hal-0.10.5.6-r4126-20100324.tar.gz|Madwifi-hal]]  |   => suggestions : ['']

291 Mot inconnu : madwifi-hal => \\ Décompresser l'archive //madwifi-hal// dans le répertoire de votre choix,  | madwifi-hal
291 Espace(s) en fin de ligne à supprimer. => \\ Décompresser l'archive //madwifi-hal// dans le répertoire de votre choix,  |   => suggestions : ['']

292 Mot inconnu : madwifi-hal => puis ouvrir un terminal dans le dossier //madwifi-hal//  | madwifi-hal
292 Espace(s) en fin de ligne à supprimer. => puis ouvrir un terminal dans le dossier //madwifi-hal//  |   => suggestions : ['']

293 Mot inconnu : root => et passer en root : ($ sudo -s) "#" | root
293 Mot inconnu : sudo => et passer en root : ($ sudo -s) "#" | sudo
293 Il manque un espace à côté du tiret. => et passer en root : ($ sudo -s) "#" |  - => suggestions : [' – ', ' — ']

305 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => <note important>À chaque mise a jour du noyau, il faut recompiler le module wifi.</note> | a => suggestions : ['à']

307 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===Wifi - Diode (1)=== |  -  => suggestions : [' – ', ' — ', ' − ']

309 Mot inconnu : Karmic => <note tip>Depuis Koala Karmic, la diode et le bouton fonctionnent parfaitement!</note> | karmic

313 Mot inconnu : sysctl => sysctl -w dev.wifi0.ledpin=3 | sysctl
313 Il manque un espace à côté du tiret. => sysctl -w dev.wifi0.ledpin=3 |  - => suggestions : [' – ', ' — ']

314 Mot inconnu : sysctl => sysctl -w dev.wifi0.softled=1 | sysctl
314 Il manque un espace à côté du tiret. => sysctl -w dev.wifi0.softled=1 |  - => suggestions : [' – ', ' — ']
319 Mot inconnu : Intrepid => **PS: Ne fonctionne pas sous Ubuntu 8.10 Intrepid Ibex, ni sous Ubuntu 9.04 Jaunty Jackalope** | intrepid
319 Mot inconnu : Ibex => **PS: Ne fonctionne pas sous Ubuntu 8.10 Intrepid Ibex, ni sous Ubuntu 9.04 Jaunty Jackalope** | ibex
319 Mot inconnu : Jaunty => **PS: Ne fonctionne pas sous Ubuntu 8.10 Intrepid Ibex, ni sous Ubuntu 9.04 Jaunty Jackalope** | jaunty
319 Mot inconnu : Jackalope => **PS: Ne fonctionne pas sous Ubuntu 8.10 Intrepid Ibex, ni sous Ubuntu 9.04 Jaunty Jackalope** | jackalope
322 Si “GM” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Il est composé d'un écran LCD de 8,9 pouces (22,60 cm) ou de 11,6 pouces et d'une carte graphique Intel 945 GM. | 945 gm => suggestions : ['945\xa0GM']

323 Mot inconnu : Xubuntu => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | xubuntu
323 Mot inconnu : Jaunty => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | jaunty
323 Mot inconnu : Jackalope => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | jackalope
323 Signe de multiplication typographique. => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | 800x600 => suggestions : ['800\xa0×\xa0600']
323 Mot inconnu : x600 => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | x600
323 Signe de multiplication typographique. => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | 1024x600 => suggestions : ['1024\xa0×\xa0600']
323 Mot inconnu : x600 => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | x600
323 Signe de multiplication typographique. => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | 1024 x 768 => suggestions : ['1024\xa0×\xa0768']
323 Signe de multiplication typographique. => \\ Il y a un bug très gênant avec certaines versions d'Ubuntu (Xubuntu en particulier ou Ubuntu 8.04 Jaunty Jackalope), la résolution est bloquée en 800x600 au lieu de 1024x600, pour le modèle 8,9 pouces ou 1024 x 768 au lieu de 1366 x 768, pour le 11,6 pouces. | 1366 x 768 => suggestions : ['1366\xa0×\xa0768']

324 Mot inconnu : Jaunty => \\ Sous Ubuntu 9.04 Jaunty, [[https://forum.ubuntu-fr.org/viewtopic.php?id=332547|cette solution sur le forum]], pour paramétrer l'affichage en 1366x768, est fonctionnelle. | jaunty
324 Signe de multiplication typographique. => \\ Sous Ubuntu 9.04 Jaunty, [[https://forum.ubuntu-fr.org/viewtopic.php?id=332547|cette solution sur le forum]], pour paramétrer l'affichage en 1366x768, est fonctionnelle. | 1366x768 => suggestions : ['1366\xa0×\xa0768']
324 Mot inconnu : x768 => \\ Sous Ubuntu 9.04 Jaunty, [[https://forum.ubuntu-fr.org/viewtopic.php?id=332547|cette solution sur le forum]], pour paramétrer l'affichage en 1366x768, est fonctionnelle. | x768

325 Mot inconnu : dec => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | dec
325 Mot inconnu : oneiric => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | oneiric
325 Mot inconnu : AAO => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | aao
325 Signe de multiplication typographique. => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | 800x600 => suggestions : ['800\xa0×\xa0600']
325 Mot inconnu : x600 => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | x600
325 Signe de multiplication typographique. => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | 1024x768 => suggestions : ['1024\xa0×\xa0768']
325 Mot inconnu : x768 => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | x768
325 Mot inconnu : seui => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | seui
325 Mot inconnu : xorg => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | xorg
325 Il manque un espace. => \\ Note 17 dec. 2011 : sous 11.10 oneiric et AAO 150 le problème surgit également (affichage bloqué à 800x600 alors que l'écran est normalement 1024x768) et semble se réparer tout seui. Pas de xorg.conf donc pas de modification manuelle possible? | conf => suggestions : [' conf']

329 Guillemets typographiques ouvrants. => <note important>La touche "Home"(Maison) n'est pas fonctionnelle pour ouvrir le menu. Elle fonctionne comme une touche "Super" et non comme sous linpus.</note> | " => suggestions : ['«\xa0', '“']
329 Guillemets typographiques fermants. => <note important>La touche "Home"(Maison) n'est pas fonctionnelle pour ouvrir le menu. Elle fonctionne comme une touche "Super" et non comme sous linpus.</note> | " => suggestions : ['\xa0»', '”']
329 Guillemets typographiques ouvrants. => <note important>La touche "Home"(Maison) n'est pas fonctionnelle pour ouvrir le menu. Elle fonctionne comme une touche "Super" et non comme sous linpus.</note> | " => suggestions : ['«\xa0', '“']
329 Guillemets typographiques fermants. => <note important>La touche "Home"(Maison) n'est pas fonctionnelle pour ouvrir le menu. Elle fonctionne comme une touche "Super" et non comme sous linpus.</note> | " => suggestions : ['\xa0»', '”']
329 Mot inconnu : linpus => <note important>La touche "Home"(Maison) n'est pas fonctionnelle pour ouvrir le menu. Elle fonctionne comme une touche "Super" et non comme sous linpus.</note> | linpus

333 Guillemets typographiques ouvrants. => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | " => suggestions : ['«\xa0', '“']
333 Mot inconnu : hide => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | hide
333 Mot inconnu : all => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | all
333 Mot inconnu : and => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | and
333 Mot inconnu : to => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | to
333 Mot inconnu : the => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | the
333 Mot inconnu : desktop => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | desktop
333 Guillemets typographiques fermants. => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | " => suggestions : ['\xa0»', '”']
333 Mot inconnu : linpus => <note tip>Il est également possible d'assigner à la touche home la fonction "hide all normal windows and set focus to the desktop background" pour avoir un usage similaire à la touche home sous linpus.</note> | linpus

337 Pas d’espace après ce signe. => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | (  => suggestions : ['(']
337 Formatage des grands nombres. => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | 82801 => suggestions : ['82\xa0801']
337 Mot inconnu : ICH7 => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | ich7
337 Mot inconnu : Family => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | family
337 Mot inconnu : Definition => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | definition
337 Mot inconnu : Controller => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | controller
337 Mot inconnu : rev => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. | rev
337 Pas d’espace avant ce signe. => Pas de problème particulier, la carte son ( //Intel Corporation 82801 (ICH7 Family) High Definition Audio Controller (rev 02)// ) est reconnu en natif. |  ) => suggestions : [')']

341 Mot inconnu : snd-hda-intel => options snd-hda-intel model=acer-aspire | snd-hda-intel
341 Mot inconnu : model => options snd-hda-intel model=acer-aspire | model
341 Mot inconnu : acer-aspire => options snd-hda-intel model=acer-aspire | acer-aspire

343 Espace(s) en fin de ligne à supprimer. => ====Lecteur de cartes Flash====  |   => suggestions : ['']

345 Typographie : points de suspension. Utilisez le caractère dédié. => Le lecteur de carte flash est un peu... particulier ! | ... => suggestions : ['…']

347 Mot inconnu : SD => \\ J'ai essayé avec une SD, ça a fonctionné. Par contre, j'ai essayé une XD... et là... rien ! | sd
347 Mot inconnu : XD => \\ J'ai essayé avec une SD, ça a fonctionné. Par contre, j'ai essayé une XD... et là... rien ! | xd
347 Typographie : points de suspension. Utilisez le caractère dédié. => \\ J'ai essayé avec une SD, ça a fonctionné. Par contre, j'ai essayé une XD... et là... rien ! | ... => suggestions : ['…']
347 Typographie : points de suspension. Utilisez le caractère dédié. => \\ J'ai essayé avec une SD, ça a fonctionné. Par contre, j'ai essayé une XD... et là... rien ! | ... => suggestions : ['…']

348 Mot inconnu : SD => \\ Le lecteur SD à gauche du netbook fonctionne sans problème sous Ubuntu 8.04 et 8.10 (alpha) pas besoin de la mettre au démarrage ! :-D | sd
348 Mot inconnu : netbook => \\ Le lecteur SD à gauche du netbook fonctionne sans problème sous Ubuntu 8.04 et 8.10 (alpha) pas besoin de la mettre au démarrage ! :-D | netbook

350 Mot inconnu : généric => <note help>(1) Ne fonctionne pas avec le noyau personnalisé 2.6.27, OK pour le 2.6.24 généric. | généric

351 Mot inconnu : One => \\ (2) À faire à chaque démarrage de l'Acer One pour le noyau 2.6.27</note> | one
353 Espace(s) en fin de ligne à supprimer. => Une nouvelle méthode a été trouvée pour faire fonctionner complètement le lecteur multifonction de droite !  |   => suggestions : ['']
354 Espace(s) en fin de ligne à supprimer. => Voici la méthode !  |   => suggestions : ['']

355 Mot inconnu : SD => Pour rendre les lecteurs de cartes SD opérationnels et "hot swapable" : | sd
355 Guillemets typographiques ouvrants. => Pour rendre les lecteurs de cartes SD opérationnels et "hot swapable" : | " => suggestions : ['«\xa0', '“']
355 Mot inconnu : swapable => Pour rendre les lecteurs de cartes SD opérationnels et "hot swapable" : | swapable
355 Guillemets typographiques fermants. => Pour rendre les lecteurs de cartes SD opérationnels et "hot swapable" : | " => suggestions : ['\xa0»', '”']

362 Mot inconnu : the => # Module options for the Acer AspireOne | the
362 Mot inconnu : AspireOne => # Module options for the Acer AspireOne | aspireone

364 Mot inconnu : Enable => # Enable USB card reader | enable
364 Mot inconnu : card => # Enable USB card reader | card
364 Mot inconnu : reader => # Enable USB card reader | reader

365 Mot inconnu : pciehp => options pciehp pciehp_force=1 | pciehp
365 Mot inconnu : pciehp_force => options pciehp pciehp_force=1 | pciehp_force

366 Mot inconnu : install => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  | install
366 Mot inconnu : sdhci => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  | sdhci
366 Il manque un espace à côté du tiret. => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  |  - => suggestions : [' – ', ' — ']
366 Mot inconnu : AE => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  | ae
366 Mot inconnu : done => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  | done
366 Mot inconnu : ignore-install => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  | ignore-install
