
3 Mot inconnu : Photoshop => ====== Adobe Photoshop====== | photoshop
254 Guillemets typographiques fermants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['\xa0»', '”']
254 Mot inconnu : Choisisez =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | choisisez
254 Guillemets typographiques ouvrants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['«\xa0', '“']
254 Guillemets typographiques fermants. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  | " => suggestions : ['\xa0»', '”']
254 Espace(s) en fin de ligne à supprimer. =>   * sous **Gnome2** (Lucid/Natty)\\ Allez dans Système => préférence => Fenêtre. Vous allez avoir 3 options pour "déplacer la fenêtre" "Alt", "Ctrl" or "Super" (Touche avec logo Windows). Choisisez "Super".  |   => suggestions : ['']

261 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.pc-kc.fr/tutos/yes-wine-can|Installer Photoshop CS4 sous Ubuntu]] **(fr)** |    => suggestions : ['']
261 Mot inconnu : Photoshop =>   * [[http://www.pc-kc.fr/tutos/yes-wine-can|Installer Photoshop CS4 sous Ubuntu]] **(fr)** | photoshop
261 Mot inconnu : CS4 =>   * [[http://www.pc-kc.fr/tutos/yes-wine-can|Installer Photoshop CS4 sous Ubuntu]] **(fr)** | cs4

262 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=410970/|Photoshop CS4 ou CS5 (forum)]] **(fr)** |    => suggestions : ['']
262 Mot inconnu : Photoshop =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=410970/|Photoshop CS4 ou CS5 (forum)]] **(fr)** | photoshop
262 Mot inconnu : CS4 =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=410970/|Photoshop CS4 ou CS5 (forum)]] **(fr)** | cs4
262 Mot inconnu : CS5 =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=410970/|Photoshop CS4 ou CS5 (forum)]] **(fr)** | cs5

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=20158&iTestingId=53654|Installer Photoshop CS5 sous Lucid Lynx]] **(en)** |    => suggestions : ['']
263 Mot inconnu : Photoshop =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=20158&iTestingId=53654|Installer Photoshop CS5 sous Lucid Lynx]] **(en)** | photoshop
263 Mot inconnu : CS5 =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=20158&iTestingId=53654|Installer Photoshop CS5 sous Lucid Lynx]] **(en)** | cs5
263 Mot inconnu : Lucid =>   * [[https://appdb.winehq.org/objectManager.php?sClass=version&iId=20158&iTestingId=53654|Installer Photoshop CS5 sous Lucid Lynx]] **(en)** | lucid
