
7 Mot inconnu : Launchy => ====== Launchy ======  | launchy
102 Guillemets typographiques ouvrants. =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | " => suggestions : ['«\xa0', '“']
102 Il manque un espace. =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | config => suggestions : [' config']
102 Guillemets typographiques fermants. =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | " => suggestions : ['\xa0»', '”']
102 Guillemets typographiques ouvrants. =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | " => suggestions : ['\xa0»', '”']
102 Mot inconnu : false =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | false
102 Mot inconnu : true =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | true
102 Mot inconnu : launchy =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | launchy
102 Mot inconnu : rescanner =>     * Activer l'option Firefox Bookmark si vous voulez que vos marque-pages soient référencés dans launchy. Il y a une petite manipulation à faire pour que les marque-pages soient réellement pris en compte. Lancez firefox, puis tapez :  "about:config"   (et donnez l'autorisation de modifier si elle est demandée). Cherchez alors la ligne : "browser.bookmarks.autoExportHTML" et double-cliquez dessus pour la passer de false à true. Vos marque-pages seront maintenant pris en compte dans launchy (rescanner le catalogue après cette manipulation est nécessaire). | rescanner

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * L'option Internet Explorer est bien sûr à décocher. |      => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
107 Mot inconnu : linux => Vous pouvez trouver d'autres greffons sur le forum officiel ; cependant, le forum est très fouillis et mélange les posts windows et linux. Les plugins peuvent être buggés ou ne fonctionner que sur xp donc faites attention à ce que vous essayez et lisez bien ce qui est marqué dans les commentaires. | linux
107 Mot inconnu : buggés => Vous pouvez trouver d'autres greffons sur le forum officiel ; cependant, le forum est très fouillis et mélange les posts windows et linux. Les plugins peuvent être buggés ou ne fonctionner que sur xp donc faites attention à ce que vous essayez et lisez bien ce qui est marqué dans les commentaires. | buggés
107 Mot inconnu : xp => Vous pouvez trouver d'autres greffons sur le forum officiel ; cependant, le forum est très fouillis et mélange les posts windows et linux. Les plugins peuvent être buggés ou ne fonctionner que sur xp donc faites attention à ce que vous essayez et lisez bien ce qui est marqué dans les commentaires. | xp
107 Après “faire attention à ce que”, le verbe doit être au subjonctif. => Vous pouvez trouver d'autres greffons sur le forum officiel ; cependant, le forum est très fouillis et mélange les posts windows et linux. Les plugins peuvent être buggés ou ne fonctionner que sur xp donc faites attention à ce que vous essayez et lisez bien ce qui est marqué dans les commentaires. | essayez => suggestions : ['essayiez', 'essayassiez']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.launchy.net/|Site officiel]], |    => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.sf.net/projects/launchy/|Site officiel secondaire et forums]]. |    => suggestions : ['']
