5 Mot inconnu : Averatec [[29:37]] => ====== Liste des portables « Averatec » ====== <|> averatec

8 Mot inconnu : AV2460-FY1 [[1:11]] => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid | <|> av2460-fy1
11 Signe de multiplication typographique. [[1170:1178]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> 1280*800 => suggestions : ['1280\xa0×\xa0800']
11 Mot inconnu : Edgy [[1245:1249]] => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy | <|> edgy

12 Mot inconnu : AV2460-FY1 [[1:11]] => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper | <|> av2460-fy1
12 Mot inconnu : Edgy [[49:53]] => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper | <|> edgy
12 Mot inconnu : Dapper [[57:63]] => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper | <|> dapper

13 Mot inconnu : AV2460-FY1 [[1:11]] => |AV2460-FY1 | non | oui | Problèmes de résolution (mode 4/3), de cartes son et wifi (non détectées). La carte Ethernet fonctionne bien. | Breezy | <|> av2460-fy1
13 Mot inconnu : Breezy [[138:144]] => |AV2460-FY1 | non | oui | Problèmes de résolution (mode 4/3), de cartes son et wifi (non détectées). La carte Ethernet fonctionne bien. | Breezy | <|> breezy

14 Mot inconnu : AV3715-FH1 [[1:11]] => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy | <|> av3715-fh1
14 Mot inconnu : Edgy [[33:37]] => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy | <|> edgy
14 Mot inconnu : Xubuntu [[66:73]] => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy | <|> xubuntu
14 Mot inconnu : Gutsy [[133:138]] => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy | <|> gutsy
