
4 Mot inconnu : Asterisk => ====== Asterisk (For VoIP) ====== | asterisk
466 Mot inconnu : DECT =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | dect
466 Mot inconnu : DECT =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | dect
466 Mot inconnu : Asterisk =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | asterisk
466 Mot inconnu : MWI =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | mwi
466 Mot inconnu : Provider =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | provider
466 Mot inconnu : N870 =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | n870
466 Mot inconnu : Asterisk =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | asterisk
466 Mot inconnu : Asterisk =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | asterisk
466 Mot inconnu : users =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | users
466 Mot inconnu : subscribemwi =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | subscribemwi
466 Mot inconnu : yes =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | yes
466 Guillemets typographiques fermants. =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | '' => suggestions : ['\xa0»', '”']
466 Mot inconnu : MWI =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | mwi
466 Il manque un espace. =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | conf => suggestions : [' conf']
466 Mot inconnu : context =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | context
466 Mot inconnu : mysuscribes =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | mysuscribes
466 Guillemets typographiques ouvrants. =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | '' => suggestions : ['«\xa0', '“']
466 Mot inconnu : exten =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | exten
466 Mot inconnu : hint =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | hint
466 Mot inconnu : MWI =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | mwi
466 Il manque un espace. =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | 10 => suggestions : [' 10']
466 Guillemets typographiques fermants. =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  | '' => suggestions : ['\xa0»', '”']
466 Espace(s) en fin de ligne à supprimer. =>   * Gigaset N870 (et S650H). La N870 est un système DECT pouvant couvrir de très grandes entreprises. La base N870 peut servir de manager (au moins un par installation) et/ou de base DECT (inscrite auprès de la base manager). La base manager fournit une interface web intuitive et puissante dans laquelle sont configurés tous les téléphones DECT.\\ L'utilisation avec Asterisk ne pose aucun problème particulier, sauf peut-être les MWI pour les messageries vocales: Bien les activer dans la page Provider du N870, en indiquant l'adresse IP du fournisseur (donc le serveur Asterisk). Du côté d'Asterisk, il faut que les users soient inscrits (''subscribemwi=yes'') et il faut indiquer les MWI dans extensions.conf: ajouter un context ''[mysuscribes]'' avec des lignes du type: ''exten => 10,hint,MWI:10@default''  |   => suggestions : ['']

467 Mot inconnu : default => (''default'' étant le context de la boîte vocale du SIP 10). | default
467 Guillemets typographiques fermants. => (''default'' étant le context de la boîte vocale du SIP 10). | '' => suggestions : ['\xa0»', '”']
467 Mot inconnu : context => (''default'' étant le context de la boîte vocale du SIP 10). | context
467 Mot inconnu : SIP => (''default'' étant le context de la boîte vocale du SIP 10). | sip

470 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[https://www.asterisk.org/|Asterisk]] |     => suggestions : ['']

471 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[https://www.asterisk.org/downloads/asterisknow|AsteriskNow]] |     => suggestions : ['']

472 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[https://projects.xivo.fr/|Xivo]] |     => suggestions : ['']

473 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[https://wiki.koumbit.net/Asterisk14SurOpenWRT|Asterisk14SurOpenWRT]] |     => suggestions : ['']

474 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[http://www.lululaberlu.com/category/Asterisk|TP Asterisk Base]] |     => suggestions : ['']
474 Mot inconnu : Asterisk =>    * [[http://www.lululaberlu.com/category/Asterisk|TP Asterisk Base]] | asterisk

475 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[http://oxydables.free.fr/page5.html|Informations sur la VOIP et installation d'asterisk, avec le sip de free]] |     => suggestions : ['']
475 Mot inconnu : VOIP =>    * [[http://oxydables.free.fr/page5.html|Informations sur la VOIP et installation d'asterisk, avec le sip de free]] | voip
475 Mot inconnu : asterisk =>    * [[http://oxydables.free.fr/page5.html|Informations sur la VOIP et installation d'asterisk, avec le sip de free]] | asterisk
475 Mot inconnu : sip =>    * [[http://oxydables.free.fr/page5.html|Informations sur la VOIP et installation d'asterisk, avec le sip de free]] | sip
475 Mot inconnu : free =>    * [[http://oxydables.free.fr/page5.html|Informations sur la VOIP et installation d'asterisk, avec le sip de free]] | free

476 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[https://people.via.ecp.fr/~alexis/asterisk/|Expérience de déploiements Asterisk dans des entreprises françaises]] |     => suggestions : ['']
476 Mot inconnu : alexis =>    * [[https://people.via.ecp.fr/~alexis/asterisk/|Expérience de déploiements Asterisk dans des entreprises françaises]] | alexis
476 Mot inconnu : asterisk =>    * [[https://people.via.ecp.fr/~alexis/asterisk/|Expérience de déploiements Asterisk dans des entreprises françaises]] | asterisk
476 Mot inconnu : Asterisk =>    * [[https://people.via.ecp.fr/~alexis/asterisk/|Expérience de déploiements Asterisk dans des entreprises françaises]] | asterisk

477 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * [[http://denisrosenkranz.com/tuto-installer-et-configurer-asterisk-sous-debian-6-et-ubuntu/|Tutoriel sur lequel est basé cette documentation]] |     => suggestions : ['']
