2 Mot inconnu : tablette_graphique => {{tag>matériel tablette_graphique}}

10 Il manque un espace insécable. => Les notations suivantes sont utilisées :

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icons =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Il manque un espace. =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icon-ubuntu =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : modeles =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : laptop_work =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace insécable. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Mot inconnu : icons =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace insécable. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  

15 Mot inconnu : Huion => =====Huion=====

18 Mot inconnu : wizardpen => ===== Tablettes prises en charge par le pilote wizardpen =====

21 Mot inconnu : Acecad => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
68 Mot inconnu : laptop_work => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |
68 Mot inconnu : LTS => | intuos creative Pen & Touch small (152x95mm) |CTH-490 | A5 | 056 | 033c | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | dépôts Ubuntu 14.04.3 LTS |

69 Mot inconnu : Cintiq => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Mot inconnu : wx => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Mot inconnu : icons => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Il manque un espace. => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Mot inconnu : icon-ubuntu => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Mot inconnu : icons => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Il manque un espace. => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
69 Mot inconnu : icon-ubuntu => | Cintiq 12wx | | | 056a |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

70 Mot inconnu : Cintiq => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Mot inconnu : UX => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Mot inconnu : icons => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Il manque un espace. => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Mot inconnu : icon-ubuntu => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Mot inconnu : icons => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Il manque un espace. => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
70 Mot inconnu : icon-ubuntu => | Cintiq 21 UX | | | 056a | 003f | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

71 Mot inconnu : Cintiq => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Mot inconnu : HYBRID => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Mot inconnu : icons => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Il manque un espace. => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Mot inconnu : icon-ubuntu => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Mot inconnu : icons => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Il manque un espace. => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |
71 Mot inconnu : icon-ubuntu => | Cintiq Compagnon HYBRID | | |  | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | (14.10) |

72 Mot inconnu : Volito1 => | Volito1 | | | 056a | 0060 | |  | |

73 Mot inconnu : Volito2 => | Volito2 | | | 056a | 0062 | |  | |

74 Mot inconnu : Bamboo => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |
74 Mot inconnu : icons => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |
74 Il manque un espace. => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |
74 Mot inconnu : icon-ubuntu => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |
74 Mot inconnu : icons => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |
74 Il manque un espace. => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |
74 Mot inconnu : icon-ubuntu => | Bamboo | | | 056a | 0065 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{:icons:icon-ubuntu.png}} | |

75 Mot inconnu : Bamboo => | Bamboo Fun 4x5 | | | 056a | 0017 | | | |
75 Signe de multiplication typographique. => | Bamboo Fun 4x5 | | | 056a | 0017 | | | |
75 Mot inconnu : x5 => | Bamboo Fun 4x5 | | | 056a | 0017 | | | |

76 Mot inconnu : Bamboo => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Signe de multiplication typographique. => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : x8 => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : CTE-650 => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : A5 => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : icons => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Il manque un espace. => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : icon-ubuntu => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : icons => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Il manque un espace. => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : icon-ubuntu => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |
76 Mot inconnu : LTS => | Bamboo Fun 6x8 | CTE-650| A5+ | 056a | 0018 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | Natif 14.04 LTS |

77 Mot inconnu : Bamboo => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Mot inconnu : Special => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Mot inconnu : Edition => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Mot inconnu : icons => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Il manque un espace. => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Mot inconnu : icon-ubuntu => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Mot inconnu : icons => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Il manque un espace. => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
77 Mot inconnu : icon-ubuntu => | Bamboo Fun Special Edition | | |  |  | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

78 Mot inconnu : Bamboo => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : Pen => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : CTL-460 => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : d4 => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : icons => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Il manque un espace. => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : icon-ubuntu => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : icons => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Il manque un espace. => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |
78 Mot inconnu : icon-ubuntu => | Bamboo Pen | CTL-460 | | 056a | 00d4 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | voir [[https://forums.linuxmint.com/viewtopic.php?t=110408|ici]] |

79 Mot inconnu : Bamboo => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Mot inconnu : Pen => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Mot inconnu : CTH-460 => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Mot inconnu : d1 => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Mot inconnu : icons => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Il manque un espace. => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Mot inconnu : icon-ubuntu => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Mot inconnu : icons => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |
79 Il manque un espace. => | Bamboo Pen | CTH-460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}| {{icons:process-stop.png|Ne fonctionne pas}} | |

80 Mot inconnu : Bamboo => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : Pen => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : Touch => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : CTH => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : d1 => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : icons => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Il manque un espace. => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : icon-ubuntu => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Mot inconnu : icons => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |
80 Il manque un espace. => | Bamboo Pen & Touch | CTH 460 | | 056a | 00d1 | {{:icons:icon-ubuntu.png}} | {{icons:process-stop.png|Ne fonctionne pas}} | |

81 Mot inconnu : Bamboo => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : Pen => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : Touch => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : CTH => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Il manque un espace. => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : modeles => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : laptop_work => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : icons => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Il manque un espace. => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |
81 Mot inconnu : icon-ubuntu => | Bamboo Pen & Touch | CTH 470 | | 056a | 00de | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| {{:icons:icon-ubuntu.png}} | Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7489601#p7489601|ici]] |

82 Mot inconnu : Bamboo => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : Pen => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : Touch => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : CTH => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : df => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : icons => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Il manque un espace. => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : icon-ubuntu => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : icons => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Il manque un espace. => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
82 Mot inconnu : icon-ubuntu => | Bamboo Pen & Touch | CTH 670S | Medium | 056a | 00df | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

83 Mot inconnu : Bamboo => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : Pen => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : Touch => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : CTH => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : d7 => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : icons => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Il manque un espace. => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : icon-ubuntu => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : icons => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Il manque un espace. => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |
83 Mot inconnu : icon-ubuntu => | Bamboo Fun Pen & Touch | CTH 461 | | 056a | 00d7 | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} | |

84 Mot inconnu : Bamboo => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : Pen => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : Touch => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : CTH => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : icons => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Il manque un espace. => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : icon-ubuntu => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : icons => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Il manque un espace. => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
84 Mot inconnu : icon-ubuntu => | Bamboo Fun S Pen & Touch Small | CTH 470S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |

85 Mot inconnu : Bamboo => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : Pen => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : Touch => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : CTH => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : icons => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Il manque un espace. => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : icon-ubuntu => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : icons => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Il manque un espace. => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |
85 Mot inconnu : icon-ubuntu => | Bamboo Fun M Pen & Touch Medium | CTH 670S | | 056a | | {{:icons:icon-ubuntu.png}} | {{:icons:icon-ubuntu.png}} |

