2 Mot inconnu : acer => {{tag>matériel portable acer}}

6 Il manque un espace insécable. => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>
6 Mot inconnu : liste_portables_acer => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>

8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Mot inconnu : xxx => ====== Liste des portables « Acer » Aspire 1xxx ======

10 Mot inconnu : xxx => Voici tous les micro-ordinateurs portables Acer Aspire 1xxx ayant été testés sous Ubuntu, classés par ordre alphabétique.

14 Mot inconnu : liste_portables_acer => [[liste_portables_acer#legende|Légende des icônes]]

16 Mot inconnu : liste_portables_acer => ^ Modèles ^ 64b ^ État ^ [[liste_portables_acer#legende|Versions]] ^ Commentaires ^

17 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
33 Espace(s) en fin de ligne à supprimer. => |  Aspire 1640  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:10.04]] | - | 

34 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : icons => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : icon-ubuntu => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : png => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace insécable. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : nolink20 => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : Beryl => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace insécable. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace insécable. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace insécable. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : ipw2200 => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : led => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Il manque un espace insécable. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Mot inconnu : BG => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 
34 Espace(s) en fin de ligne à supprimer. => |  Aspire 1640 Z  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:9.04]] | Tout fonctionne très bien, Beryl aussi (avec une très bonne fluidité). Pour que le voyant Wifi fonctionne éditez « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 », la carte //Intel Pro 2200BG// est très bien prise en charge. | 

35 Mot inconnu : WLMI => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Mot inconnu : icons => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Il manque un espace. => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Mot inconnu : icon-ubuntu => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Mot inconnu : png => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Il manque un espace insécable. => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Il manque un espace. => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Mot inconnu : nolink20 => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 
35 Espace(s) en fin de ligne à supprimer. => |  Aspire 1641 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | - | 

36 Mot inconnu : WLMI => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : icons => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : icon-ubuntu => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : png => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : nolink20 => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : Edgy => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : boot => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : comment_editer_un_fichier => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : ipw2200 => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Mot inconnu : led => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
36 Il manque un espace insécable. => |  Aspire 1642 WLMI  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:6.06]] | Sous Edgy:\\ • Au boot : démarrer en mode graphique sans échec.\\ • Wifi et Bluetooth OK, voyant OK. Wifi solution ([[:tutoriel:comment_editer_un_fichier|éditez]] « /etc/modprobe.d/options » et y rajouter « options ipw2200 led=1 ». Problème avec la résolution 1024x800 (affichage en 1024x768).\\ • Résolution en 1024x800 résolue avec //915résolution//. Bureau 3D Beryl+Aiglx (installation //via// la documentation Ubuntu). [[http://tous-sur-linux.kouaa-blog.com/category/6002/7228|Mes divers portables sous Linux ici]].\\ [[https://wiki.ubuntu.com/LaptopTestingTeam/AcerAspire1642WLMi|wiki anglais]] | 
