6 Il manque un espace insécable. => ====== Liste des portables « Averatec » ======
6 Mot inconnu : Averatec => ====== Liste des portables « Averatec » ======
6 Il manque un espace insécable. => ====== Liste des portables « Averatec » ======

8 Espace(s) surnuméraire(s) à supprimer. => ^ Modèle ^ Problème installation ^ Problème matériel ^ Commentaires  ^  [[:versions|Version]]  ^

9 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | oui | oui | Comme pour Hardy, plusieurs solutions. [1] Utiliser le CD patché http://www.fitzenreiter.de/averatec/index-e.htm à la place du CD d'installation normal. [2] Utiliser l'Alternate CD normal avec l'option **sdhci.blacklist=yes** . Ensuite tout fonctionne directement (touches multimédia, WIFI, résolution d'écran, sortie VGA, etc.), sauf le lecteur de cartes SD  | Intrepid |
12 Mot inconnu : Universe => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy |
12 Mot inconnu : sudo => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy |
12 Mot inconnu : gdm => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy |
12 Pas d’espace avant un point. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy |
12 Signe de multiplication typographique. => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy |
12 Mot inconnu : Edgy => |AV2460-FY1 | oui | oui | Le pilote de la carte Ethernet inclus dans le noyau 2.6.15+ est bugé, et fait planter l'installation. Ce problème est connu (vu sur Launchpad) et devrait être réglé dans la version 2.6.19 (Feisty), en attendant l'installation est possible en suivant ce tutoriel[en]: http://www.ubuntuforums.org/showthread.php?t=287939&page=2 (voir post #18). Attention, il faut bien maîtriser la ligne de commande avant de se lancer dedans; et l'ethernet ne fonctionnera qu'après une recompilation du kernel (le reste fonctionne toutefois sans recompilation). Le wifi fonctionne sans problème. Après toute mise à jour du noyau, il faut penser à supprimer à nouveau les pilotes   8139too.ko et sdhci.ko (faire un //find// pour les trouver). Autre problème: la résolution maximum proposée est 1024*768 (au lieu de 1280*800 normalement). Solution: vérifier que le pilote i810 est bien dans la section Device du fichier /etc/X11/xorg.conf (si c'est "vesa", mettre "i810" à la place et rebooter), passer en mode console (alt+f1), se loguer, faire sudo pkill gdm , sudo apt-get install 915resolution (présent dans les dépôts Universe), puis sudo gdm . La résolution 1280*800 est maintenant disponible dans Système->Préférences->Résolution.| Edgy |

13 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper |
13 Mot inconnu : Edgy => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper |
13 Mot inconnu : Dapper => |AV2460-FY1 | oui | oui | Même problème que pour Edgy. | Dapper |

14 Mot inconnu : AV2460-FY1 => |AV2460-FY1 | non | oui | Problèmes de résolution (mode 4/3), de cartes son et wifi (non détectées). La carte Ethernet fonctionne bien. | Breezy |
14 Mot inconnu : Breezy => |AV2460-FY1 | non | oui | Problèmes de résolution (mode 4/3), de cartes son et wifi (non détectées). La carte Ethernet fonctionne bien. | Breezy |

15 Mot inconnu : AV3715-FH1 => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy |
15 Mot inconnu : Edgy => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy |
15 Mot inconnu : Xubuntu => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy |
15 Mot inconnu : Gutsy => |AV3715-FH1 | non | non | Depuis Edgy Gnome ne démarre plus. Sous Xubuntu tout fonctionne sauf le modem (lecteur cartes pas testé) | Gutsy |
