
3 Mot inconnu : SSH => ====== SSH ====== | ssh
346 Mot inconnu : ssh => Pour indiquer au client ssh la clé qu'il doit utiliser pour chacun des serveurs il faut créer le fichier **~/.ssh/config** (ou **/etc/ssh/ssh_config** pour tous les utilisateurs de la machine) dans lequel il faut spécifier pour chacun des serveurs la clé qui doit être utilisée : | ssh

348 Mot inconnu : Host => Host adresse-serveur-sans-passphrase.com | host
348 Mot inconnu : adresse-serveur-sans-passphrase => Host adresse-serveur-sans-passphrase.com | adresse-serveur-sans-passphrase

349 Mot inconnu : votreutilisateur => User votreutilisateur | votreutilisateur

350 Mot inconnu : IdentityFile => IdentityFile ~/.ssh/key-sans-passphrase | identityfile
350 Mot inconnu : ssh => IdentityFile ~/.ssh/key-sans-passphrase | ssh
350 Mot inconnu : key-sans-passphrase => IdentityFile ~/.ssh/key-sans-passphrase | key-sans-passphrase

351 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

352 Mot inconnu : Host => Host adresse-serveur-avec-passphrase.com | host
352 Mot inconnu : adresse-serveur-avec-passphrase => Host adresse-serveur-avec-passphrase.com | adresse-serveur-avec-passphrase

353 Mot inconnu : votreutilisateur => User votreutilisateur | votreutilisateur

354 Mot inconnu : IdentityFile => IdentityFile ~/.ssh/key-avec-passphrase | identityfile
354 Mot inconnu : ssh => IdentityFile ~/.ssh/key-avec-passphrase | ssh
354 Mot inconnu : key-avec-passphrase => IdentityFile ~/.ssh/key-avec-passphrase | key-avec-passphrase

362 Mot inconnu : IdentityFile => <file>IdentityFile ~/.ssh/id_ecrsa.pub</file> | identityfile
362 Mot inconnu : ssh => <file>IdentityFile ~/.ssh/id_ecrsa.pub</file> | ssh
362 Mot inconnu : id_ecrsa => <file>IdentityFile ~/.ssh/id_ecrsa.pub</file> | id_ecrsa
362 Il manque un espace. => <file>IdentityFile ~/.ssh/id_ecrsa.pub</file> | pub => suggestions : [' pub']

364 Mot inconnu : IdentityFile => <file>IdentityFile ~/.ssh/id_rsa.pub</file></note> | identityfile
364 Mot inconnu : ssh => <file>IdentityFile ~/.ssh/id_rsa.pub</file></note> | ssh
364 Mot inconnu : id_rsa => <file>IdentityFile ~/.ssh/id_rsa.pub</file></note> | id_rsa
364 Il manque un espace. => <file>IdentityFile ~/.ssh/id_rsa.pub</file></note> | pub => suggestions : [' pub']

366 Mot inconnu : fingerprint => == Les empreintes (fingerprint) == | fingerprint

368 Mot inconnu : ssh => Retrouver l'empreinte de notre clef ssh, pour la communiquer à une personne qui veut se connecter et va utiliser notre clef publique : | ssh

372 Mot inconnu : SSH => ===== Configuration du serveur SSH ===== | ssh

378 Espace(s) surnuméraire(s) à supprimer. => |Port  | 22 | Tous les ports de 1 à 65565  |Permet d'éviter des désagréments avec les robots qui scannent Internet, notamment les ports par défaut  | |    => suggestions : [' ']
378 Formatage des grands nombres. => |Port  | 22 | Tous les ports de 1 à 65565  |Permet d'éviter des désagréments avec les robots qui scannent Internet, notamment les ports par défaut  | | 65565 => suggestions : ['65\xa0565']
378 Espace(s) surnuméraire(s) à supprimer. => |Port  | 22 | Tous les ports de 1 à 65565  |Permet d'éviter des désagréments avec les robots qui scannent Internet, notamment les ports par défaut  | |    => suggestions : [' ']
378 Espace(s) surnuméraire(s) à supprimer. => |Port  | 22 | Tous les ports de 1 à 65565  |Permet d'éviter des désagréments avec les robots qui scannent Internet, notamment les ports par défaut  | |    => suggestions : [' ']

380 Mot inconnu : PubkeyAuthentication => |PubkeyAuthentication|no|yes|CHOISIR yes si vous voulez établir l'authentification par clé comme expliqué plus haut| | pubkeyauthentication
380 Mot inconnu : yes => |PubkeyAuthentication|no|yes|CHOISIR yes si vous voulez établir l'authentification par clé comme expliqué plus haut| | yes
380 Mot inconnu : yes => |PubkeyAuthentication|no|yes|CHOISIR yes si vous voulez établir l'authentification par clé comme expliqué plus haut| | yes

381 Mot inconnu : PasswordAuthentication => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | passwordauthentication
381 Mot inconnu : yes => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | yes
381 Accord de nombre erroné avec « utilisateur ». => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | autres => suggestions : ['autre']
381 Accord de nombre erroné avec « autres ». => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | utilisateur => suggestions : ['utilisateurs']
381 Mot inconnu : svaleur => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | svaleur
381 Mot inconnu : yes => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | yes
381 Mot inconnu : focntionnelle => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | focntionnelle
381 Mot inconnu : SSH => |PasswordAuthentication|yes|no|On peut parfaitement conserver l'authentification par clé pour certains utilisateurs avec celle par mot de passe pour d'autres utilisateur. Conserver cette svaleur à yes tant que l'authentification par clé n'est pas pleinement focntionnelle, sinon vous perdrez toutes connexion en SSH| | ssh

382 Mot inconnu : X11Forwarding => |X11Forwarding|no|yes|Mettre yes pour faire de l'affichage graphique déporté| | x11forwarding
382 Mot inconnu : yes => |X11Forwarding|no|yes|Mettre yes pour faire de l'affichage graphique déporté| | yes
382 Mot inconnu : yes => |X11Forwarding|no|yes|Mettre yes pour faire de l'affichage graphique déporté| | yes

383 Mot inconnu : décommenter => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | décommenter
383 Il manque un trait d’union. => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | au dessus => suggestions : ['au-dessus']
383 Avec une unité de mesure, mettez un espace insécable. => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | 30 % => suggestions : ['30\xa0%']
383 Avec une unité de mesure, mettez un espace insécable. => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | 100 % => suggestions : ['100\xa0%']
383 Mot inconnu : dark_star => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | dark_star
383 Formatage des grands nombres. => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | 18379 => suggestions : ['18\xa0379']
383 Mot inconnu : html => |#MaxStartups 10:30:60|ligne commentée donc inactive|décommenter (enlever symbole #)|Le 10 représente le nombre de connexions acceptées sans qu'un utilisateur ait réussi à s'identifier, si cela passe au dessus de 10, il y a 30 % de chances que les suivantes soient bloquées, et ce pourcentage augmente linéairement jusqu'à 100 % lorsque le //full// est atteint, à 60 connexions. Très utile pour éviter [[http://linuxfr.org/~dark_star/18379.html|ce genre]] de désagrément.| | html

384 Mot inconnu : Décommenter => |#Banner /etc/issue.net|Ligne commentée donc inactive|Décommenter|Lorsque vous essayez de vous connecter à votre serveur par SSH, le fichier ''/etc/issue.net'' est affiché (à vous de le personnaliser pour dire bonjour ou mettre un avertissement, un guide, etc.)| | décommenter
384 Mot inconnu : SSH => |#Banner /etc/issue.net|Ligne commentée donc inactive|Décommenter|Lorsque vous essayez de vous connecter à votre serveur par SSH, le fichier ''/etc/issue.net'' est affiché (à vous de le personnaliser pour dire bonjour ou mettre un avertissement, un guide, etc.)| | ssh

385 Mot inconnu : UsePAM => |UsePAM|yes|no|Mettre à no pour ne plus avoir à saisir un mot de passe avec l'usage des clés. Va de pair avec PubkeyAuthentication | | usepam
385 Mot inconnu : yes => |UsePAM|yes|no|Mettre à no pour ne plus avoir à saisir un mot de passe avec l'usage des clés. Va de pair avec PubkeyAuthentication | | yes
385 Mot inconnu : PubkeyAuthentication => |UsePAM|yes|no|Mettre à no pour ne plus avoir à saisir un mot de passe avec l'usage des clés. Va de pair avec PubkeyAuthentication | | pubkeyauthentication

386 Mot inconnu : AllowUsers => |AllowUsers|Ligne absente|ajouter la ligne avec valeur(s) : AllowUsers Alice Bob |Spécifie les //logins// des seuls utilisateurs autorisés à se connecter. Idéal pour ouvrir un compte FTP à un ami tout en restreignant l'accès au shell //via// SSH.| | allowusers
386 Écriture invariable. Utilisez un point médian. => |AllowUsers|Ligne absente|ajouter la ligne avec valeur(s) : AllowUsers Alice Bob |Spécifie les //logins// des seuls utilisateurs autorisés à se connecter. Idéal pour ouvrir un compte FTP à un ami tout en restreignant l'accès au shell //via// SSH.| | valeur(s) => suggestions : ['valeur·s']
386 Mot inconnu : AllowUsers => |AllowUsers|Ligne absente|ajouter la ligne avec valeur(s) : AllowUsers Alice Bob |Spécifie les //logins// des seuls utilisateurs autorisés à se connecter. Idéal pour ouvrir un compte FTP à un ami tout en restreignant l'accès au shell //via// SSH.| | allowusers
386 Mot inconnu : SSH => |AllowUsers|Ligne absente|ajouter la ligne avec valeur(s) : AllowUsers Alice Bob |Spécifie les //logins// des seuls utilisateurs autorisés à se connecter. Idéal pour ouvrir un compte FTP à un ami tout en restreignant l'accès au shell //via// SSH.| | ssh

387 Mot inconnu : DenyUsers => |DenyUsers|Ligne absente|Ajouter la ligne avec valeur(s)|Interdit l'accès à SSH aux utilisateurs listés| | denyusers
387 Écriture invariable. Utilisez un point médian. => |DenyUsers|Ligne absente|Ajouter la ligne avec valeur(s)|Interdit l'accès à SSH aux utilisateurs listés| | valeur(s) => suggestions : ['valeur·s']
387 Mot inconnu : SSH => |DenyUsers|Ligne absente|Ajouter la ligne avec valeur(s)|Interdit l'accès à SSH aux utilisateurs listés| | ssh

388 Mot inconnu : ClientAliveInterval => |ClientAliveInterval|Ligne absente|Ajouter la ligne avec valeur en secondes : ClientAliveInterval 300|Permet dans certains cas de maintenir une connexion sans coupures| | clientaliveinterval
388 Mot inconnu : ClientAliveInterval => |ClientAliveInterval|Ligne absente|Ajouter la ligne avec valeur en secondes : ClientAliveInterval 300|Permet dans certains cas de maintenir une connexion sans coupures| | clientaliveinterval
