
5 Mot inconnu : Mirroring => ====== Mirroring sur deux serveurs ====== | mirroring
213 Mot inconnu : automagiquement =>  //primaire// : Le serveur //secondaire// se synchronisera //automagiquement//((oui je sais, ce terme n'est pas de moi, il est souvent utilisé dans les documentations Debian et dérivés, d'où sa place ici.)).\\ | automagiquement

217 Mot inconnu : cat => cat /proc/drbd</code> | cat
217 Mot inconnu : proc => cat /proc/drbd</code> | proc
217 Mot inconnu : drbd => cat /proc/drbd</code> | drbd
218 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 88 => suggestions : [' 88']
218 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 86-88 => suggestions : [' 86-88']

219 Mot inconnu : GIT-hash => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | git-hash
219 Mot inconnu : e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | e69822d3bb4920a8c1bfdf7d647169eba7d2eb4
219 Mot inconnu : by => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | by
219 Mot inconnu : phil => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | phil

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- |   => suggestions : ['']
220 Il manque un espace. =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | syncsource => suggestions : [' SyncSource']
220 Mot inconnu : SyncSource =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | syncsource
220 Il manque un espace. =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | primary => suggestions : [' Primary']
220 Mot inconnu : Primary =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | primary
220 Mot inconnu : Secondary =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | secondary
220 Il manque un espace. =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | uptodate => suggestions : [' UpToDate']
220 Mot inconnu : UpToDate =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | uptodate
220 Mot inconnu : Inconsistent =>  0: cs:SyncSource st:Primary/Secondary ds:UpToDate/Inconsistent C r--- | inconsistent

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 |      => suggestions : ['']
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 2240 => suggestions : [' 2240']
221 Mot inconnu : nr =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | nr
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : dw =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | dw
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : dr =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | dr
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 2240 => suggestions : [' 2240']
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : bm =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | bm
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : lo =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | lo
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : pe =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | pe
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : ap =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | ap
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 0 => suggestions : [' 0']
221 Mot inconnu : oos =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | oos
221 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568 | 149132568 => suggestions : [' 149132568']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         [>....................] sync'ed:  0.1% (145637/145639)M |          => suggestions : ['']
222 Typographie : succession de points. Utilisez le caractère dédié. =>         [>....................] sync'ed:  0.1% (145637/145639)M | .................... => suggestions : ['………………']
222 Mot inconnu : sync'ed =>         [>....................] sync'ed:  0.1% (145637/145639)M | sync'ed
222 Espace(s) surnuméraire(s) à supprimer. =>         [>....................] sync'ed:  0.1% (145637/145639)M |    => suggestions : [' ']
222 Formatage des grands nombres. =>         [>....................] sync'ed:  0.1% (145637/145639)M | 145637 => suggestions : ['145\xa0637']
222 Formatage des grands nombres. =>         [>....................] sync'ed:  0.1% (145637/145639)M | 145639 => suggestions : ['145\xa0639']
222 Il manque un espace après la parenthèse. =>         [>....................] sync'ed:  0.1% (145637/145639)M | ) => suggestions : [') ']

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         finish: 17:15:38 speed: 2,240 (2,240) K/sec</file> |          => suggestions : ['']

225 Guillemets typographiques ouvrants. => Le temps indiqué après ''finish:'' est le temps indicatif restant avant la fin de la première synchronisation. Pour diminuer ce temps, il est vivement conseillé de //débrider// le taux de transfert de la synchronisation en tapant sur les deux serveurs : | '' => suggestions : ['«\xa0', '“']
239 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 88 => suggestions : [' 88']
239 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 86-88 => suggestions : [' 86-88']

240 Mot inconnu : GIT-hash => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | git-hash
240 Mot inconnu : e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | e69822d3bb4920a8c1bfdf7d647169eba7d2eb4
240 Mot inconnu : by => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | by
240 Mot inconnu : phil => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17 | phil

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- |   => suggestions : ['']
241 Il manque un espace. =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | connected => suggestions : [' Connected']
241 Mot inconnu : Connected =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | connected
241 Il manque un espace. =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | primary => suggestions : [' Primary']
241 Mot inconnu : Primary =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | primary
241 Mot inconnu : Secondary =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | secondary
241 Il manque un espace. =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | uptodate => suggestions : [' UpToDate']
241 Mot inconnu : UpToDate =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | uptodate
241 Mot inconnu : UpToDate =>  0: cs:Connected st:Primary/Secondary ds:UpToDate/UpToDate C r--- | uptodate

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> |      => suggestions : ['']
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 2240 => suggestions : [' 2240']
242 Mot inconnu : nr =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | nr
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : dw =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | dw
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : dr =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | dr
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 2240 => suggestions : [' 2240']
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : bm =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | bm
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : lo =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | lo
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : pe =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | pe
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : ap =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | ap
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 0 => suggestions : [' 0']
242 Mot inconnu : oos =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | oos
242 Il manque un espace. =>     ns:2240 nr:0 dw:0 dr:2240 al:0 bm:0 lo:0 pe:0 ua:0 ap:0 oos:149132568</file> | 149132568 => suggestions : [' 149132568']

243 Guillemets typographiques ouvrants. => il est temps de formater la partition ''drbd'' uniquement sur le serveur primaire (vous avez, bien évidemment pensé à revenir à un débit de synchronisation normal.) : | '' => suggestions : ['«\xa0', '“']
243 Mot inconnu : drbd => il est temps de formater la partition ''drbd'' uniquement sur le serveur primaire (vous avez, bien évidemment pensé à revenir à un débit de synchronisation normal.) : | drbd
243 Guillemets typographiques fermants. => il est temps de formater la partition ''drbd'' uniquement sur le serveur primaire (vous avez, bien évidemment pensé à revenir à un débit de synchronisation normal.) : | '' => suggestions : ['\xa0»', '”']

245 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et de monter votre partition pour vérifier que tout va bien. Le montage de la partition doit utiliser **/dev/drbd0** et ne doit se faire **que sur le serveur primaire**. | et => suggestions : ['Et']

247 Mot inconnu : mount => mount /dev/drbd0 /data</code> | mount

249 Guillemets typographiques ouvrants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['«\xa0', '“']
249 Mot inconnu : drbd => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | drbd
249 Guillemets typographiques fermants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['\xa0»', '”']
249 Guillemets typographiques ouvrants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['«\xa0', '“']
249 Mot inconnu : heartbeat => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | heartbeat
249 Guillemets typographiques fermants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['\xa0»', '”']
249 Guillemets typographiques ouvrants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['«\xa0', '“']
249 Guillemets typographiques fermants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['\xa0»', '”']
249 Guillemets typographiques ouvrants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['«\xa0', '“']
249 Mot inconnu : heartbeat => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | heartbeat
249 Guillemets typographiques fermants. => <note important>Dans le cas de l'utilisation de ''drbd'' avec ''heartbeat'' et ''samba'', le montage du disque est géré par ''heartbeat''.\\ | '' => suggestions : ['\xa0»', '”']

255 Guillemets typographiques ouvrants. => Les serveurs redondants ne sont utilisés que pour le partage de fichiers avec ''samba''. Sachant cela, il n'est pas forcément nécessaire, dans une configuration simple, de faire en sorte que tous les utilisateurs système soient créés dans des groupes d'utilisateurs différents.\\ | '' => suggestions : ['«\xa0', '“']
255 Guillemets typographiques fermants. => Les serveurs redondants ne sont utilisés que pour le partage de fichiers avec ''samba''. Sachant cela, il n'est pas forcément nécessaire, dans une configuration simple, de faire en sorte que tous les utilisateurs système soient créés dans des groupes d'utilisateurs différents.\\ | '' => suggestions : ['\xa0»', '”']
255 Accord de nombre erroné avec « les utilisateurs » : « système » devrait être au pluriel. => Les serveurs redondants ne sont utilisés que pour le partage de fichiers avec ''samba''. Sachant cela, il n'est pas forcément nécessaire, dans une configuration simple, de faire en sorte que tous les utilisateurs système soient créés dans des groupes d'utilisateurs différents.\\ | système => suggestions : ['systèmes']

256 Guillemets typographiques ouvrants. => Ce qui est proposé ici est de gérer les droits uniquement via ''samba''. C'est une solution applicable la plupart du temps. | '' => suggestions : ['«\xa0', '“']
256 Guillemets typographiques fermants. => Ce qui est proposé ici est de gérer les droits uniquement via ''samba''. C'est une solution applicable la plupart du temps. | '' => suggestions : ['\xa0»', '”']

260 Confusion probable : “sur” est une préposition ou un adjectif signifiant acide ou aigre ; utilisez “sûr” pour certain, vrai ou sans danger. => Et les utilisateurs sont créés de sorte qu'ils ne puissent pas utiliser le système (shell par défaut sur /bin/false et répertoire personnel (home) sur /dev/null) : | sur => suggestions : ['sûr']

262 Mot inconnu : smbpasswd => smbpasswd -a nom_utilisateur</code> | smbpasswd
262 Il manque un espace à côté du tiret. => smbpasswd -a nom_utilisateur</code> |  - => suggestions : [' – ', ' — ']
262 Mot inconnu : nom_utilisateur => smbpasswd -a nom_utilisateur</code> | nom_utilisateur

264 Guillemets typographiques ouvrants. => Un utilisateur nommé ''samba'' et faisant partie du groupe ''sambausers'' peut être créé pour qu'il soit propriétaire des répertoires partagés. | '' => suggestions : ['«\xa0', '“']
264 Guillemets typographiques fermants. => Un utilisateur nommé ''samba'' et faisant partie du groupe ''sambausers'' peut être créé pour qu'il soit propriétaire des répertoires partagés. | '' => suggestions : ['\xa0»', '”']
264 Guillemets typographiques ouvrants. => Un utilisateur nommé ''samba'' et faisant partie du groupe ''sambausers'' peut être créé pour qu'il soit propriétaire des répertoires partagés. | '' => suggestions : ['«\xa0', '“']
264 Mot inconnu : sambausers => Un utilisateur nommé ''samba'' et faisant partie du groupe ''sambausers'' peut être créé pour qu'il soit propriétaire des répertoires partagés. | sambausers
264 Guillemets typographiques fermants. => Un utilisateur nommé ''samba'' et faisant partie du groupe ''sambausers'' peut être créé pour qu'il soit propriétaire des répertoires partagés. | '' => suggestions : ['\xa0»', '”']

268 Mot inconnu : Settings => <file>#======================= Global Settings ======================= | settings

272 Mot inconnu : Browsing => ## Browsing/Identification ### | browsing

273 Mot inconnu : workgroup => workgroup = Arcade | workgroup

274 Mot inconnu : server => server string = Samba server (%h) | server
274 Mot inconnu : server => server string = Samba server (%h) | server
274 Il manque un espace. => server string = Samba server (%h) | h => suggestions : [' h']

275 Mot inconnu : netbios => netbios name = Serveur | netbios
275 Mot inconnu : name => netbios name = Serveur | name

276 Mot inconnu : dns => dns proxy = no | dns

278 Mot inconnu : Networking => #### Networking #### | networking

280 Mot inconnu : bind => bind interfaces only = yes | bind
280 Mot inconnu : only => bind interfaces only = yes | only
280 Mot inconnu : yes => bind interfaces only = yes | yes

282 Mot inconnu : Access => ### Access rights ### | access
282 Mot inconnu : rights => ### Access rights ### | rights

283 Mot inconnu : create => create mask = 0664 | create
283 Mot inconnu : mask => create mask = 0664 | mask

284 Mot inconnu : directory => directory mask = 0775 | directory
284 Mot inconnu : mask => directory mask = 0775 | mask

286 Mot inconnu : Debugging => #### Debugging/Accounting #### | debugging
286 Mot inconnu : Accounting => #### Debugging/Accounting #### | accounting

287 Il manque un espace. => log file = /var/log/samba/log.%m | m => suggestions : [' m']

288 Mot inconnu : size => max log size = 1000 | size

289 Mot inconnu : syslog => syslog = 0 | syslog

290 Il manque un espace. => panic action = /usr/share/samba/panic-action %d | d => suggestions : [' d']

292 Mot inconnu : Authentication => ####### Authentication ####### | authentication

293 Mot inconnu : security => security = user | security

294 Mot inconnu : valid => valid users = @sambausers | valid
294 Mot inconnu : users => valid users = @sambausers | users

295 Mot inconnu : encrypt => encrypt passwords = true | encrypt
295 Mot inconnu : passwords => encrypt passwords = true | passwords
295 Mot inconnu : true => encrypt passwords = true | true

296 Mot inconnu : passdb => passdb backend = tdbsam | passdb
296 Mot inconnu : backend => passdb backend = tdbsam | backend
296 Mot inconnu : tdbsam => passdb backend = tdbsam | tdbsam

297 Mot inconnu : obey => obey pam restrictions = yes | obey
297 Mot inconnu : pam => obey pam restrictions = yes | pam
297 Mot inconnu : yes => obey pam restrictions = yes | yes

298 Mot inconnu : unix => unix password sync = no | unix
298 Mot inconnu : password => unix password sync = no | password
298 Mot inconnu : sync => unix password sync = no | sync

299 Mot inconnu : map => map to guest = bad user | map
299 Mot inconnu : to => map to guest = bad user | to
299 Mot inconnu : guest => map to guest = bad user | guest

301 Mot inconnu : Misc => ############ Misc ############ | misc

302 Mot inconnu : IPTOS_LOWDELAY => socket options = IPTOS_LOWDELAY TCP_NODELAY | iptos_lowdelay
302 Mot inconnu : TCP_NODELAY => socket options = IPTOS_LOWDELAY TCP_NODELAY | tcp_nodelay

303 Mot inconnu : usershare => usershare allow guests = no | usershare
303 Mot inconnu : allow => usershare allow guests = no | allow
303 Mot inconnu : guests => usershare allow guests = no | guests

304 Mot inconnu : yes => local master = yes | yes

305 Mot inconnu : level => os level = 65</file> | level

307 Mot inconnu : Printing => <file>########## Printing ##########  | printing
307 Espace(s) en fin de ligne à supprimer. => <file>########## Printing ##########  |   => suggestions : ['']

308 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    load printers = yes  |     => suggestions : ['']
308 Mot inconnu : load =>    load printers = yes  | load
308 Mot inconnu : printers =>    load printers = yes  | printers
308 Mot inconnu : yes =>    load printers = yes  | yes
308 Espace(s) en fin de ligne à supprimer. =>    load printers = yes  |   => suggestions : ['']

309 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    printing = bsd  |     => suggestions : ['']
309 Mot inconnu : printing =>    printing = bsd  | printing
309 Mot inconnu : bsd =>    printing = bsd  | bsd
309 Espace(s) en fin de ligne à supprimer. =>    printing = bsd  |   => suggestions : ['']

310 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    printcap name = /etc/printcap  |     => suggestions : ['']
310 Mot inconnu : printcap =>    printcap name = /etc/printcap  | printcap
310 Mot inconnu : name =>    printcap name = /etc/printcap  | name
310 Espace(s) en fin de ligne à supprimer. =>    printcap name = /etc/printcap  |   => suggestions : ['']

311 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    printing = cups  |     => suggestions : ['']
311 Mot inconnu : printing =>    printing = cups  | printing
311 Mot inconnu : cups =>    printing = cups  | cups
311 Espace(s) en fin de ligne à supprimer. =>    printing = cups  |   => suggestions : ['']

312 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    printcap name = cups  |     => suggestions : ['']
312 Mot inconnu : printcap =>    printcap name = cups  | printcap
312 Mot inconnu : name =>    printcap name = cups  | name
312 Mot inconnu : cups =>    printcap name = cups  | cups
312 Espace(s) en fin de ligne à supprimer. =>    printcap name = cups  |   => suggestions : ['']

314 Mot inconnu : printers => [printers]  | printers
314 Espace(s) en fin de ligne à supprimer. => [printers]  |   => suggestions : ['']

315 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    comment = All Printers  |     => suggestions : ['']
315 Mot inconnu : All =>    comment = All Printers  | all
315 Mot inconnu : Printers =>    comment = All Printers  | printers
315 Espace(s) en fin de ligne à supprimer. =>    comment = All Printers  |   => suggestions : ['']

316 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    browseable = no  |     => suggestions : ['']
316 Mot inconnu : browseable =>    browseable = no  | browseable
316 Espace(s) en fin de ligne à supprimer. =>    browseable = no  |   => suggestions : ['']

317 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    path = /var/spool/samba  |     => suggestions : ['']
317 Mot inconnu : path =>    path = /var/spool/samba  | path
317 Espace(s) en fin de ligne à supprimer. =>    path = /var/spool/samba  |   => suggestions : ['']

318 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    printable = yes  |     => suggestions : ['']
318 Mot inconnu : printable =>    printable = yes  | printable
318 Mot inconnu : yes =>    printable = yes  | yes
318 Espace(s) en fin de ligne à supprimer. =>    printable = yes  |   => suggestions : ['']

319 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    guest ok = no  |     => suggestions : ['']
319 Mot inconnu : guest =>    guest ok = no  | guest
319 Mot inconnu : ok =>    guest ok = no  | ok
319 Espace(s) en fin de ligne à supprimer. =>    guest ok = no  |   => suggestions : ['']

320 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    read only = yes  |     => suggestions : ['']
320 Mot inconnu : read =>    read only = yes  | read
320 Mot inconnu : only =>    read only = yes  | only
320 Mot inconnu : yes =>    read only = yes  | yes
320 Espace(s) en fin de ligne à supprimer. =>    read only = yes  |   => suggestions : ['']

321 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    create mask = 0700  |     => suggestions : ['']
321 Mot inconnu : create =>    create mask = 0700  | create
321 Mot inconnu : mask =>    create mask = 0700  | mask
321 Espace(s) en fin de ligne à supprimer. =>    create mask = 0700  |   => suggestions : ['']

323 Mot inconnu : print => [print$]  | print
323 Espace(s) en fin de ligne à supprimer. => [print$]  |   => suggestions : ['']

324 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    comment = Printer Drivers  |     => suggestions : ['']
324 Mot inconnu : Printer =>    comment = Printer Drivers  | printer
324 Espace(s) en fin de ligne à supprimer. =>    comment = Printer Drivers  |   => suggestions : ['']

325 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    path = /var/lib/samba/printers  |     => suggestions : ['']
325 Mot inconnu : path =>    path = /var/lib/samba/printers  | path
325 Espace(s) en fin de ligne à supprimer. =>    path = /var/lib/samba/printers  |   => suggestions : ['']

326 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    browseable = yes  |     => suggestions : ['']
326 Mot inconnu : browseable =>    browseable = yes  | browseable
326 Mot inconnu : yes =>    browseable = yes  | yes
326 Espace(s) en fin de ligne à supprimer. =>    browseable = yes  |   => suggestions : ['']

327 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    read only = yes  |     => suggestions : ['']
327 Mot inconnu : read =>    read only = yes  | read
327 Mot inconnu : only =>    read only = yes  | only
327 Mot inconnu : yes =>    read only = yes  | yes
327 Espace(s) en fin de ligne à supprimer. =>    read only = yes  |   => suggestions : ['']

