
4 Mot inconnu : DC => ====== Samba AD DC - Intégration de machines au domaine ====== | dc
242 Mot inconnu : domain => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | domain
242 Mot inconnu : groups => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | groups
242 Formatage des grands nombres. => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | 10000 => suggestions : ['10\xa0000', '1\xa00000']
242 Il manque un espace avant la parenthèse. => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | ( => suggestions : [' (']
242 Mot inconnu : domain => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | domain
242 Il manque un espace avant la parenthèse. => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | ( => suggestions : [' (']
242 Mot inconnu : group => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | group
242 Mot inconnu : policy => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | policy
242 Mot inconnu : creator => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | creator
242 Mot inconnu : owners => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | owners
242 Il manque un espace avant la parenthèse. => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | ( => suggestions : [' (']
242 Mot inconnu : denied => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | denied
242 Mot inconnu : rodc => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | rodc
242 Mot inconnu : password => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | password
242 Mot inconnu : replication => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | replication
242 Mot inconnu : group => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | group
242 Il manque un espace avant la parenthèse. => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | ( => suggestions : [' (']
242 Mot inconnu : enterprise => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | enterprise
242 Il manque un espace avant la parenthèse. => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | ( => suggestions : [' (']
242 Mot inconnu : domain => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | domain
242 Mot inconnu : users => uid=10000(administrator) gid=10000(domain admins) groups=10000(domain admins),4294967295,10007(group policy creator owners),10017(denied rodc password replication group),10004(enterprise admins),10003(domain users)</code> | users

243 Formatage des grands nombres. => <note warning>L'identifiant **4294967295** n'est pas dans le range du domaine (10000-39999) ou des autres domaines (40000-49999). Ceci montre que l'utilisateur administrator est membre d'un groupe que le système n'est pas capable d'identifier correctement. Ceci générera des problèmes futures. Il faut y remédier. Une possibilité est l'utilisation d'un script qui parcours l'ensemble des utilisateurs et groupes du domaine pour vérifier et au besoin ajouter un identifiant NIS. Plus d'infos [[https://wiki.samba.org/index.php/Using_RFC2307_on_a_Samba_DC|ici]].</note> | 4294967295 => suggestions : ['4\xa0294\xa0967\xa0295', '4294\xa0967-295']
243 Mot inconnu : administrator => <note warning>L'identifiant **4294967295** n'est pas dans le range du domaine (10000-39999) ou des autres domaines (40000-49999). Ceci montre que l'utilisateur administrator est membre d'un groupe que le système n'est pas capable d'identifier correctement. Ceci générera des problèmes futures. Il faut y remédier. Une possibilité est l'utilisation d'un script qui parcours l'ensemble des utilisateurs et groupes du domaine pour vérifier et au besoin ajouter un identifiant NIS. Plus d'infos [[https://wiki.samba.org/index.php/Using_RFC2307_on_a_Samba_DC|ici]].</note> | administrator
243 Accord de genre erroné avec « problèmes ». => <note warning>L'identifiant **4294967295** n'est pas dans le range du domaine (10000-39999) ou des autres domaines (40000-49999). Ceci montre que l'utilisateur administrator est membre d'un groupe que le système n'est pas capable d'identifier correctement. Ceci générera des problèmes futures. Il faut y remédier. Une possibilité est l'utilisation d'un script qui parcours l'ensemble des utilisateurs et groupes du domaine pour vérifier et au besoin ajouter un identifiant NIS. Plus d'infos [[https://wiki.samba.org/index.php/Using_RFC2307_on_a_Samba_DC|ici]].</note> | futures => suggestions : ['futurs']
243 Mot inconnu : NIS => <note warning>L'identifiant **4294967295** n'est pas dans le range du domaine (10000-39999) ou des autres domaines (40000-49999). Ceci montre que l'utilisateur administrator est membre d'un groupe que le système n'est pas capable d'identifier correctement. Ceci générera des problèmes futures. Il faut y remédier. Une possibilité est l'utilisation d'un script qui parcours l'ensemble des utilisateurs et groupes du domaine pour vérifier et au besoin ajouter un identifiant NIS. Plus d'infos [[https://wiki.samba.org/index.php/Using_RFC2307_on_a_Samba_DC|ici]].</note> | nis

245 Mot inconnu : BUILTIN => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | builtin
245 Mot inconnu : Administrators => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | administrators
245 Mot inconnu : BUILTIN => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | builtin
245 Mot inconnu : Users => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | users
245 Accord avec la forme verbale “soient” : “reconnu” devrait être au pluriel. => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | reconnu => suggestions : ['reconnus']
245 Mot inconnu : winbind => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | winbind
245 Mot inconnu : winbind => <note tip>Après avoir rejoint le domaine, il est possible que les groupes BUILTIN\Administrators et BUILTIN\Users ne soient pas correctement reconnu par //winbind//. Dans ce cas, on peut les lister. Cette opération semble remédier au problème. Après, il faut vider le cache et redémarrer le service //winbind//. | winbind

250 Mot inconnu : sudo => sudo service winbind restart</code></note> | sudo
250 Mot inconnu : winbind => sudo service winbind restart</code></note> | winbind
250 Mot inconnu : restart => sudo service winbind restart</code></note> | restart

252 Mot inconnu : PAM => ==== Configurer PAM ==== | pam

253 Mot inconnu : PAM => Le module PAM de winbind gère le mécanisme d'authentification des utilisateurs. C'est celui-ci qui va permettre aux utilisateurs de se loguer sur la machine physiquement ou de façon distante. Par défaut, il ne faut rien faire. Cependant lorsqu'un utilisateur du domaine voudra se loguer sur la machine, son répertoire HOME n'existera probablement pas sur cette machine. Afin de remédier à ce problème, il faut créer un fichier /usr/share/pam-configs/mkhomedir qui va permettre de créer automatiquement le répertoire HOME de l'utilisateur qui se connecte. | pam
253 Mot inconnu : winbind => Le module PAM de winbind gère le mécanisme d'authentification des utilisateurs. C'est celui-ci qui va permettre aux utilisateurs de se loguer sur la machine physiquement ou de façon distante. Par défaut, il ne faut rien faire. Cependant lorsqu'un utilisateur du domaine voudra se loguer sur la machine, son répertoire HOME n'existera probablement pas sur cette machine. Afin de remédier à ce problème, il faut créer un fichier /usr/share/pam-configs/mkhomedir qui va permettre de créer automatiquement le répertoire HOME de l'utilisateur qui se connecte. | winbind

255 Mot inconnu : Name => Name: Create home directory during login | name
255 Mot inconnu : Create => Name: Create home directory during login | create
255 Mot inconnu : directory => Name: Create home directory during login | directory
255 Mot inconnu : during => Name: Create home directory during login | during

256 Mot inconnu : Default => Default: yes | default
256 Mot inconnu : yes => Default: yes | yes

257 Mot inconnu : Priority => Priority: 900 | priority
258 Mot inconnu : Additional => Session-Type: Additional | additional
259 Mot inconnu : required => Session: required pam_mkhomedir.so umask=0077 skel=/etc/skel | required
259 Mot inconnu : pam_mkhomedir => Session: required pam_mkhomedir.so umask=0077 skel=/etc/skel | pam_mkhomedir
259 Mot inconnu : so => Session: required pam_mkhomedir.so umask=0077 skel=/etc/skel | so
259 Mot inconnu : umask => Session: required pam_mkhomedir.so umask=0077 skel=/etc/skel | umask
259 Mot inconnu : skel => Session: required pam_mkhomedir.so umask=0077 skel=/etc/skel | skel

276 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    └────────────────────────────────────────────────────────────────────────┘   </code> |     => suggestions : ['']

278 Typographie des composés chimiques. => On peut à présent tester l'authentification soit sur une autre console (Ctrl+F2), soit avec ssh | f2 => suggestions : ['F₂']
278 Mot inconnu : F2 => On peut à présent tester l'authentification soit sur une autre console (Ctrl+F2), soit avec ssh | f2
278 Mot inconnu : ssh => On peut à présent tester l'authentification soit sur une autre console (Ctrl+F2), soit avec ssh | ssh

289 Mot inconnu : SSH => On voit que le répertoire HOME de l'utilisateur a été créé lors du processus de login (même par SSH). | ssh

292 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note>A mettre à jour cfr [[https://wiki.samba.org/index.php/PAM_Offline_Authentication|PAM Offline Authentication]]</note> | a => suggestions : ['À']
292 Mot inconnu : cfr => <note>A mettre à jour cfr [[https://wiki.samba.org/index.php/PAM_Offline_Authentication|PAM Offline Authentication]]</note> | cfr
292 Mot inconnu : PAM => <note>A mettre à jour cfr [[https://wiki.samba.org/index.php/PAM_Offline_Authentication|PAM Offline Authentication]]</note> | pam
292 Mot inconnu : Offline => <note>A mettre à jour cfr [[https://wiki.samba.org/index.php/PAM_Offline_Authentication|PAM Offline Authentication]]</note> | offline
292 Mot inconnu : Authentication => <note>A mettre à jour cfr [[https://wiki.samba.org/index.php/PAM_Offline_Authentication|PAM Offline Authentication]]</note> | authentication

293 Mot inconnu : DC => Le cas des ordinateurs portables est typique d'une situation dans laquelle l'utilisateur est amené à ne pas être connecté au réseau et par conséquence, ne pas être capable de se faire authentifier par le DC. Une solution à ce problème consiste à mettre en place un cache des authentifications sur base des authentifications réussies. Ainsi, lorsque le DC est inaccessible, le cache permet d'authentifier l'utilisateur lui permettant de travailler. | dc
293 Mot inconnu : DC => Le cas des ordinateurs portables est typique d'une situation dans laquelle l'utilisateur est amené à ne pas être connecté au réseau et par conséquence, ne pas être capable de se faire authentifier par le DC. Une solution à ce problème consiste à mettre en place un cache des authentifications sur base des authentifications réussies. Ainsi, lorsque le DC est inaccessible, le cache permet d'authentifier l'utilisateur lui permettant de travailler. | dc

295 Mot inconnu : winbind => La ligne //winbind offline login = yes// dans le fichier /etc/samba/smb.conf indique au PAM pour Winbind d'autoriser l'authentification sur base d'un cache. Il faut donc ajouter cette ligne. | winbind
295 Mot inconnu : offline => La ligne //winbind offline login = yes// dans le fichier /etc/samba/smb.conf indique au PAM pour Winbind d'autoriser l'authentification sur base d'un cache. Il faut donc ajouter cette ligne. | offline
295 Mot inconnu : yes => La ligne //winbind offline login = yes// dans le fichier /etc/samba/smb.conf indique au PAM pour Winbind d'autoriser l'authentification sur base d'un cache. Il faut donc ajouter cette ligne. | yes
295 Mot inconnu : PAM => La ligne //winbind offline login = yes// dans le fichier /etc/samba/smb.conf indique au PAM pour Winbind d'autoriser l'authentification sur base d'un cache. Il faut donc ajouter cette ligne. | pam
295 Mot inconnu : Winbind => La ligne //winbind offline login = yes// dans le fichier /etc/samba/smb.conf indique au PAM pour Winbind d'autoriser l'authentification sur base d'un cache. Il faut donc ajouter cette ligne. | winbind

296 Typographie : points de suspension. Utilisez le caractère dédié. => <file - /etc/samba/smb.conf>... | ... => suggestions : ['…']

297 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind offline logon = yes |          => suggestions : ['']
297 Mot inconnu : winbind =>         winbind offline logon = yes | winbind
297 Mot inconnu : offline =>         winbind offline logon = yes | offline
297 Mot inconnu : logon =>         winbind offline logon = yes | logon
297 Mot inconnu : yes =>         winbind offline logon = yes | yes

298 Typographie : points de suspension. Utilisez le caractère dédié. => ...</file> | ... => suggestions : ['…']

300 Mot inconnu : cached_login => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind.conf et en rechargeant PAM | cached_login
300 Mot inconnu : PAM => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind.conf et en rechargeant PAM | pam
300 Mot inconnu : Winbind => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind.conf et en rechargeant PAM | winbind
300 Mot inconnu : PAM => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind.conf et en rechargeant PAM | pam

302 Mot inconnu : request => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | request
302 Mot inconnu : cached => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | cached
302 Mot inconnu : needs => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | needs
302 Guillemets typographiques ouvrants. => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | " => suggestions : ['«\xa0', '“']
302 Mot inconnu : winbind => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | winbind
302 Mot inconnu : offline => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | offline
302 Mot inconnu : logon => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | logon
302 Mot inconnu : yes => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | yes
302 Guillemets typographiques fermants. => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | " => suggestions : ['\xa0»', '”']
302 Mot inconnu : smb => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | smb
302 Il manque un espace. => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) | conf => suggestions : [' conf']

303 Mot inconnu : cached_login => cached_login = yes</file> | cached_login
303 Mot inconnu : yes => cached_login = yes</file> | yes

306 Mot inconnu : PAM => <del>Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]**</del> | pam
306 Mot inconnu : CCRED => <del>Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]**</del> | ccred
306 Mot inconnu : Credentials => <del>Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]**</del> | credentials
306 Mot inconnu : libpam-ccreds => <del>Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]**</del> | libpam-ccreds

309 Mot inconnu : PAM => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | pam
309 Mot inconnu : CCRED => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | ccred
309 Mot inconnu : Credentials => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | credentials
309 Mot inconnu : DB => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | db
309 Mot inconnu : cc_dump => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | cc_dump
309 Mot inconnu : cc_test => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | cc_test
309 Mot inconnu : pam-ccreds => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | pam-ccreds
309 Mot inconnu : shadow => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | shadow
309 Mot inconnu : NSS => <del>Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS.</del> | nss
311 Mot inconnu : nss-updatedb => <del>Il faut également ajouter le paquet **[[apt>nss-updatedb]]**</del> | nss-updatedb

314 Mot inconnu : nss-updatedb => <del>Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données.</del> | nss-updatedb
314 Mot inconnu : nss_updatedb => <del>Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données.</del> | nss_updatedb
314 Mot inconnu : DB => <del>Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données.</del> | db
314 Mot inconnu : passwd => <del>Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données.</del> | passwd
314 Mot inconnu : group => <del>Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données.</del> | group
314 Mot inconnu : NSS => <del>Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données.</del> | nss

316 Mot inconnu : passwd => <del>De plus, il faut informer le système qu'il peut utiliser ces bases de données comme source pour //passwd// et //group// en ajoutant //db// aux entrées respectives du fichier ///etc/nsswitch.conf//</del> | passwd
316 Mot inconnu : group => <del>De plus, il faut informer le système qu'il peut utiliser ces bases de données comme source pour //passwd// et //group// en ajoutant //db// aux entrées respectives du fichier ///etc/nsswitch.conf//</del> | group
316 Mot inconnu : db => <del>De plus, il faut informer le système qu'il peut utiliser ces bases de données comme source pour //passwd// et //group// en ajoutant //db// aux entrées respectives du fichier ///etc/nsswitch.conf//</del> | db

318 Mot inconnu : passwd => passwd:        compat winbind db | passwd
318 Espace(s) surnuméraire(s) à supprimer. => passwd:        compat winbind db |          => suggestions : [' ']
318 Mot inconnu : compat => passwd:        compat winbind db | compat
318 Mot inconnu : winbind => passwd:        compat winbind db | winbind
318 Mot inconnu : db => passwd:        compat winbind db | db

319 Mot inconnu : group => group:         compat winbind db | group
319 Espace(s) surnuméraire(s) à supprimer. => group:         compat winbind db |           => suggestions : [' ']
319 Mot inconnu : compat => group:         compat winbind db | compat
319 Mot inconnu : winbind => group:         compat winbind db | winbind
319 Mot inconnu : db => group:         compat winbind db | db

326 Mot inconnu : Sudo => ==== Sudo ==== | sudo

327 Mot inconnu : superutilisateur => Afin de donner les droits superutilisateur local à un groupe du domaine (Domain Admins), il faut modifier avec la commande **visudo** le fichier /etc/sudoers. | superutilisateur
327 Mot inconnu : Domain => Afin de donner les droits superutilisateur local à un groupe du domaine (Domain Admins), il faut modifier avec la commande **visudo** le fichier /etc/sudoers. | domain
327 Mot inconnu : visudo => Afin de donner les droits superutilisateur local à un groupe du domaine (Domain Admins), il faut modifier avec la commande **visudo** le fichier /etc/sudoers. | visudo

332 Typographie : points de suspension. Utilisez le caractère dédié. => ... | ... => suggestions : ['…']

333 Mot inconnu : Allow => # Allow members of domain group "Domain Admins" to execute any command | allow
333 Mot inconnu : members => # Allow members of domain group "Domain Admins" to execute any command | members
333 Mot inconnu : of => # Allow members of domain group "Domain Admins" to execute any command | of
333 Mot inconnu : domain => # Allow members of domain group "Domain Admins" to execute any command | domain
333 Mot inconnu : group => # Allow members of domain group "Domain Admins" to execute any command | group
333 Guillemets typographiques ouvrants. => # Allow members of domain group "Domain Admins" to execute any command | " => suggestions : ['«\xa0', '“']
333 Mot inconnu : Domain => # Allow members of domain group "Domain Admins" to execute any command | domain
333 Guillemets typographiques fermants. => # Allow members of domain group "Domain Admins" to execute any command | " => suggestions : ['\xa0»', '”']
333 Mot inconnu : to => # Allow members of domain group "Domain Admins" to execute any command | to
333 Mot inconnu : execute => # Allow members of domain group "Domain Admins" to execute any command | execute
333 Mot inconnu : any => # Allow members of domain group "Domain Admins" to execute any command | any
333 Mot inconnu : command => # Allow members of domain group "Domain Admins" to execute any command | command

334 Il manque un espace. => %domain\ admins ALL=(ALL:ALL) ALL | domain => suggestions : [' domain']
334 Mot inconnu : domain => %domain\ admins ALL=(ALL:ALL) ALL | domain
334 Mot inconnu : ALL => %domain\ admins ALL=(ALL:ALL) ALL | all
334 Mot inconnu : ALL => %domain\ admins ALL=(ALL:ALL) ALL | all
334 Il manque un espace. => %domain\ admins ALL=(ALL:ALL) ALL | all => suggestions : [' ALL']
334 Mot inconnu : ALL => %domain\ admins ALL=(ALL:ALL) ALL | all
334 Mot inconnu : ALL => %domain\ admins ALL=(ALL:ALL) ALL | all

335 Typographie : points de suspension. Utilisez le caractère dédié. => ...</file> | ... => suggestions : ['…']

337 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. | a => suggestions : ['À']
337 Guillemets typographiques ouvrants. => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. | " => suggestions : ['«\xa0', '“']
337 Mot inconnu : Domain => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. | domain
337 Guillemets typographiques fermants. => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. | " => suggestions : ['\xa0»', '”']
337 Mot inconnu : sudo => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. | sudo

339 Mot inconnu : Kerberos => ==== Outils Kerberos ==== | kerberos

340 Mot inconnu : Kerberos => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | kerberos
340 Mot inconnu : kinit => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | kinit
340 Mot inconnu : klist => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | klist
340 Mot inconnu : kdestroy => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | kdestroy
340 Une de ces ponctuations est superflue. => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | , . => suggestions : [',', '.']
340 Typographie : points de suspension. Utilisez le caractère dédié. => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | ... => suggestions : ['…']
340 Mot inconnu : Kerberos => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. | kerberos

345 Mot inconnu : Samba-tool => ==== Samba-tool ==== | samba-tool

