
5 Mot inconnu : Philips => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | philips
219 Mot inconnu : sh => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | sh
219 Guillemets typographiques fermants. => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | '' => suggestions : ['\xa0»', '”']
219 Mot inconnu : WORKDIR1 => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | workdir1
219 Typographie : points de suspension. Utilisez le caractère dédié. => Normalement, votre serveur twonky devrait se lancer automatiquement au démarrage grâce au script ''twonkymedia.sh'' placé dans ''/etc/init.d''. Cependant, ne se lançant pas chez moi, j'ai modifié ce fichier et dû modifier la ligne « WORKDIR1 »...Pour ce faire, modifiez le fichier : | ... => suggestions : ['…']

220 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#vim /etc/init.d/twonkymedia.sh |    => suggestions : ['']
220 Mot inconnu : debian-ms =>   debian-ms:~#vim /etc/init.d/twonkymedia.sh | debian-ms
221 Mot inconnu : WORKDIR1 => Cherchez la ligne « WORKDIR1 » (qui devrait ressembler à ceci) : | workdir1

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   WORKDIR1="/usr/local/twonkymedia" |    => suggestions : ['']
222 Mot inconnu : WORKDIR1 =>   WORKDIR1="/usr/local/twonkymedia" | workdir1

223 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   WORKDIR2="'dirname $0'" |    => suggestions : ['']
223 Mot inconnu : WORKDIR2 =>   WORKDIR2="'dirname $0'" | workdir2
223 Mot inconnu : dirname =>   WORKDIR2="'dirname $0'" | dirname

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   PIDFILE=/var/run/mediaserver.pid |    => suggestions : ['']
224 Mot inconnu : PIDFILE =>   PIDFILE=/var/run/mediaserver.pid | pidfile
225 Mot inconnu : WORKDIR1 => Si comme dans cet extrait la variable « WORKDIR1 » ne contient pas le dossier où est installé votre serveur twonky (''/usr/local/twonkyvision'' chez moi), modifiez cette ligne pour le faire apparaître : | workdir1
225 Mot inconnu : twonky => Si comme dans cet extrait la variable « WORKDIR1 » ne contient pas le dossier où est installé votre serveur twonky (''/usr/local/twonkyvision'' chez moi), modifiez cette ligne pour le faire apparaître : | twonky

226 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   WORKDIR14="/usr/local/twonkyvision" |    => suggestions : ['']
226 Mot inconnu : WORKDIR14 =>   WORKDIR14="/usr/local/twonkyvision" | workdir14

229 Mot inconnu : twonky => Tous les fichiers de configuration de votre serveur twonky se trouvent dans ''/var/twonkymedia/''. Pour configurer votre serveur comme bon vous semble, allez dans ce dossier et modifiez le fichier ''twonkymedia-server.ini'' : | twonky
229 Guillemets typographiques ouvrants. => Tous les fichiers de configuration de votre serveur twonky se trouvent dans ''/var/twonkymedia/''. Pour configurer votre serveur comme bon vous semble, allez dans ce dossier et modifiez le fichier ''twonkymedia-server.ini'' : | '' => suggestions : ['«\xa0', '“']
229 Mot inconnu : twonkymedia-server => Tous les fichiers de configuration de votre serveur twonky se trouvent dans ''/var/twonkymedia/''. Pour configurer votre serveur comme bon vous semble, allez dans ce dossier et modifiez le fichier ''twonkymedia-server.ini'' : | twonkymedia-server
229 Mot inconnu : ini => Tous les fichiers de configuration de votre serveur twonky se trouvent dans ''/var/twonkymedia/''. Pour configurer votre serveur comme bon vous semble, allez dans ce dossier et modifiez le fichier ''twonkymedia-server.ini'' : | ini
229 Guillemets typographiques fermants. => Tous les fichiers de configuration de votre serveur twonky se trouvent dans ''/var/twonkymedia/''. Pour configurer votre serveur comme bon vous semble, allez dans ce dossier et modifiez le fichier ''twonkymedia-server.ini'' : | '' => suggestions : ['\xa0»', '”']

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#cd /var/twonkymedia |    => suggestions : ['']
230 Mot inconnu : debian-ms =>   debian-ms:~#cd /var/twonkymedia | debian-ms

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#vim twonkymedia-server.ini |    => suggestions : ['']
231 Mot inconnu : debian-ms =>   debian-ms:~#vim twonkymedia-server.ini | debian-ms
231 Mot inconnu : twonkymedia-server =>   debian-ms:~#vim twonkymedia-server.ini | twonkymedia-server
231 Mot inconnu : ini =>   debian-ms:~#vim twonkymedia-server.ini | ini

232 Typographie : points de suspension. Utilisez le caractère dédié. => Vous allez alors avoir accès à de nombreuses options paramétrables...Vous pouvez laisser la grande majorité d'entre elles à leur valeur par défaut. Je vais donc ici vous détailler celles qui peuvent réellement vous servir. | ... => suggestions : ['…']
234 Mot inconnu : autotree => Pour régler la profondeur de recherche dans l'arbre de votre banque de données, modifiez la valeur de « autotree » (par défaut : 3) | autotree

235 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #autotree |    => suggestions : ['']

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   autotree=3 |    => suggestions : ['']
236 Mot inconnu : autotree =>   autotree=3 | autotree

238 Mot inconnu : twonky => Pour modifier la taille du cache utilisé par twonky, modifiez la variable « cachemaxsize » (vide par défaut, fonctionne très bien par défaut) : | twonky
238 Mot inconnu : cachemaxsize => Pour modifier la taille du cache utilisé par twonky, modifiez la variable « cachemaxsize » (vide par défaut, fonctionne très bien par défaut) : | cachemaxsize

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #cachemaxsize |    => suggestions : ['']

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cachemaxsize= |    => suggestions : ['']
240 Mot inconnu : cachemaxsize =>   cachemaxsize= | cachemaxsize

242 Mot inconnu : twonky => Pour entrer votre clé d'enregistrement de votre produit twonky, modifiez la variable « cdkey » : | twonky
242 Mot inconnu : cdkey => Pour entrer votre clé d'enregistrement de votre produit twonky, modifiez la variable « cdkey » : | cdkey

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Registration key |    => suggestions : ['']
243 Mot inconnu : Registration =>   # Registration key | registration
243 Mot inconnu : key =>   # Registration key | key

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cdkey=votre_cle_twonky |    => suggestions : ['']
244 Mot inconnu : cdkey =>   cdkey=votre_cle_twonky | cdkey
244 Mot inconnu : votre_cle_twonky =>   cdkey=votre_cle_twonky | votre_cle_twonky
246 Mot inconnu : contentdir => Pour spécifier le dossier où se trouvent vos titres modifiez la variable « contentdir » : | contentdir

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Content Locations |    => suggestions : ['']

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   contentdir=+M|/media/dbase/ |    => suggestions : ['']
248 Mot inconnu : contentdir =>   contentdir=+M|/media/dbase/ | contentdir
248 Mot inconnu : dbase =>   contentdir=+M|/media/dbase/ | dbase
249 Mot inconnu : dbase => Le « +M » précise que le dossier contient de la musique. Le dossier est comme vous pouvez le voir sur ''/media/dbase'' chez moi, à modifier selon votre emplacement. | dbase
249 Guillemets typographiques fermants. => Le « +M » précise que le dossier contient de la musique. Le dossier est comme vous pouvez le voir sur ''/media/dbase'' chez moi, à modifier selon votre emplacement. | '' => suggestions : ['\xa0»', '”']
251 Mot inconnu : friendlyname => Pour modifier le nom du serveur qui va apparaître sur votre chaine haute fidélité, changez la variable « friendlyname » : | friendlyname

252 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Server name |    => suggestions : ['']
252 Mot inconnu : Server =>   # Server name | server
252 Mot inconnu : name =>   # Server name | name

253 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   friendlyname=MUSIC--DBASE |    => suggestions : ['']
253 Mot inconnu : friendlyname =>   friendlyname=MUSIC--DBASE | friendlyname
253 Mot inconnu : MUSIC =>   friendlyname=MUSIC--DBASE | music
253 Mot inconnu : DBASE =>   friendlyname=MUSIC--DBASE | dbase
254 Mot inconnu : ip => Pour indiquer à votre serveur l'IP qui lui est attribuée, modifiez la variable « ip » : | ip

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # ip |    => suggestions : ['']
255 Mot inconnu : ip =>   # ip | ip

256 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ip=192.168.4.3 |    => suggestions : ['']
256 Mot inconnu : ip =>   ip=192.168.4.3 | ip

258 Mot inconnu : régullièrement => Si vous voulez que le serveur balaie régullièrement votre base de donnée de manière automatique, modifiez la variable « scantime » (par défaut : 0, c.-à-d. ne balaie jamais de manière automatique) : | régullièrement
258 Mot inconnu : scantime => Si vous voulez que le serveur balaie régullièrement votre base de donnée de manière automatique, modifiez la variable « scantime » (par défaut : 0, c.-à-d. ne balaie jamais de manière automatique) : | scantime

259 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Rescan in minutes |    => suggestions : ['']
259 Mot inconnu : Rescan =>   # Rescan in minutes | rescan

260 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scantime=0 |    => suggestions : ['']
260 Mot inconnu : scantime =>   scantime=0 | scantime

262 Typographie : points de suspension. Utilisez le caractère dédié. => Bien d'autres options vous sont proposées, vous pouvez détailler leur utilisation dans ce tutoriel... | ... => suggestions : ['…']

265 Mot inconnu : twonkymedia => Le serveur twonkymedia, une fois installé, vous offre quelques commandes et fonctions utiles à sa gestion et son entretien. Partant du principe que twonky est installé dans ''/usr/local/twonkyvision/'' et que l'IP de votre serveur est 192.168.4.3, vous avez à votre disposition : | twonkymedia
265 Mot inconnu : twonky => Le serveur twonkymedia, une fois installé, vous offre quelques commandes et fonctions utiles à sa gestion et son entretien. Partant du principe que twonky est installé dans ''/usr/local/twonkyvision/'' et que l'IP de votre serveur est 192.168.4.3, vous avez à votre disposition : | twonky

267 Mot inconnu : twonky => Démarrage du serveur twonky : | twonky

268 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia start |    => suggestions : ['']
268 Mot inconnu : debian-ms =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia start | debian-ms
268 Mot inconnu : start =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia start | start

269 Mot inconnu : twonky => Arrêt du serveur twonky : | twonky

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia stop |    => suggestions : ['']
270 Mot inconnu : debian-ms =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia stop | debian-ms

271 Mot inconnu : twonky => Redémarrage du serveur twonky : | twonky

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia restart |    => suggestions : ['']
272 Mot inconnu : debian-ms =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia restart | debian-ms
272 Mot inconnu : restart =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia restart | restart

273 Mot inconnu : twonky => Rechargement du serveur twonky : | twonky

274 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia reload |    => suggestions : ['']
274 Mot inconnu : debian-ms =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia reload | debian-ms
274 Mot inconnu : reload =>   debian-ms:~#sh /usr/local/twonkyvision/twonkymedia reload | reload

276 Typographie : points de suspension. Utilisez le caractère dédié. => En ce qui concerne la banque de données de vos titres... | ... => suggestions : ['…']

278 Mot inconnu : Rebalayage => Rebalayage : | rebalayage

279 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rescan |    => suggestions : ['']
279 Mot inconnu : debian-ms =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rescan | debian-ms
279 Mot inconnu : rpc =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rescan | rpc
279 Mot inconnu : rescan =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rescan | rescan

282 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rebuild |    => suggestions : ['']
282 Mot inconnu : debian-ms =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rebuild | debian-ms
282 Mot inconnu : rpc =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rebuild | rpc
282 Mot inconnu : rebuild =>   debian-ms:~#wget http://192.168.4.3:9000/rpc/rebuild | rebuild

284 Écriture invariable. Utilisez un point médian. => Si vous gérez votre serveur en console, il peut vous être utile de garder toutes ces commandes dans un/des script(s), afin d'éviter de tout retaper à chaque fois...Quelques-uns sont proposés en bas de ce tutoriel, à reprendre tels quels ou à modifier selon votre configuration ou votre convenance (Vous pouvez modifier les scripts de cette page, notamment en ce qui concerne leur écriture ou leur optimisation). | script(s) => suggestions : ['script·s']
284 Typographie : points de suspension. Utilisez le caractère dédié. => Si vous gérez votre serveur en console, il peut vous être utile de garder toutes ces commandes dans un/des script(s), afin d'éviter de tout retaper à chaque fois...Quelques-uns sont proposés en bas de ce tutoriel, à reprendre tels quels ou à modifier selon votre configuration ou votre convenance (Vous pouvez modifier les scripts de cette page, notamment en ce qui concerne leur écriture ou leur optimisation). | ... => suggestions : ['…']

286 Typographie : points de suspension. Utilisez le caractère dédié. => Vous trouverez dans cette partie quelques petits ajouts afin d'optimiser un peu votre installation et de vous faciliter la tâche dans sa gestion. Toute autre suggestion est la bienvenue, n'hésitez pas à modifier... | ... => suggestions : ['…']

288 Mot inconnu : GRUB => ==== Réduction du temps d'attente du menu GRUB au démarrage ==== | grub

289 Mot inconnu : GRUB => Si GRUB est installé sur votre machine, par défaut il va afficher le menu de sélection au démarrage et attendre un certain temps avant de lancer le serveur sur la sélection par défaut. Si vous voulez réduire ce temps d'attente, ouvrez le fichier de configuration de GRUB : | grub
289 Mot inconnu : GRUB => Si GRUB est installé sur votre machine, par défaut il va afficher le menu de sélection au démarrage et attendre un certain temps avant de lancer le serveur sur la sélection par défaut. Si vous voulez réduire ce temps d'attente, ouvrez le fichier de configuration de GRUB : | grub

290 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#vi /boot/grub/menu.lst |    => suggestions : ['']
290 Mot inconnu : debian-ms =>   debian-ms:~#vi /boot/grub/menu.lst | debian-ms

292 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ##timeout sec |    => suggestions : ['']

293 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #Set a timeout, in SEC seconds, before automatically booting the default entry |    => suggestions : ['']
293 Mot inconnu : timeout =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | timeout
293 Mot inconnu : before =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | before
293 Mot inconnu : automatically =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | automatically
293 Mot inconnu : booting =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | booting
293 Mot inconnu : the =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | the
293 Mot inconnu : default =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | default
293 Mot inconnu : entry =>   #Set a timeout, in SEC seconds, before automatically booting the default entry | entry

294 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #(normally the first entry defined) |    => suggestions : ['']
294 Mot inconnu : normally =>   #(normally the first entry defined) | normally
294 Mot inconnu : the =>   #(normally the first entry defined) | the
294 Mot inconnu : first =>   #(normally the first entry defined) | first
294 Mot inconnu : entry =>   #(normally the first entry defined) | entry
294 Mot inconnu : defined =>   #(normally the first entry defined) | defined

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   timeout      5 |    => suggestions : ['']
295 Mot inconnu : timeout =>   timeout      5 | timeout
295 Espace(s) surnuméraire(s) à supprimer. =>   timeout      5 |        => suggestions : [' ']

298 Mot inconnu : GRUB => Ceci n'est qu'une des nombreuses options paramétrables de GRUB, vous pouvez modifier d'autres lignes de ce fichier afin que le démarrage se fasse conformément à ce que vous recherchez. | grub

300 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Scripts utiles... ==== | ... => suggestions : ['…']

301 Guillemets fermants. => Vous pouvez créer votre propre script ''.sh'' qui vous affiche un menu avec les différentes commandes du serveur (cf. section plus haut) afin de vous en faciliter la gestion. |  '' => suggestions : ['\xa0»', '”']
301 Mot inconnu : sh => Vous pouvez créer votre propre script ''.sh'' qui vous affiche un menu avec les différentes commandes du serveur (cf. section plus haut) afin de vous en faciliter la gestion. | sh
301 Guillemets typographiques fermants. => Vous pouvez créer votre propre script ''.sh'' qui vous affiche un menu avec les différentes commandes du serveur (cf. section plus haut) afin de vous en faciliter la gestion. | '' => suggestions : ['\xa0»', '”']

304 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #!/bin/sh |    => suggestions : ['']

305 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "GESTION DU SERVEUR DE MUSIQUE" |    => suggestions : ['']
305 Mot inconnu : echo =>   echo "GESTION DU SERVEUR DE MUSIQUE" | echo
305 Guillemets typographiques ouvrants. =>   echo "GESTION DU SERVEUR DE MUSIQUE" | " => suggestions : ['«\xa0', '“']
305 Guillemets typographiques fermants. =>   echo "GESTION DU SERVEUR DE MUSIQUE" | " => suggestions : ['\xa0»', '”']

306 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "*****************************" |    => suggestions : ['']
306 Mot inconnu : echo =>   echo "*****************************" | echo

307 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "1.Statut du serveur de musique" |    => suggestions : ['']
307 Mot inconnu : echo =>   echo "1.Statut du serveur de musique" | echo
307 Guillemets typographiques ouvrants. =>   echo "1.Statut du serveur de musique" | " => suggestions : ['«\xa0', '“']
307 Il manque un espace. =>   echo "1.Statut du serveur de musique" | statut => suggestions : [' Statut']
307 Guillemets typographiques fermants. =>   echo "1.Statut du serveur de musique" | " => suggestions : ['\xa0»', '”']

308 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "2.Démarrage du TwonkyMediaServer" |    => suggestions : ['']
308 Mot inconnu : echo =>   echo "2.Démarrage du TwonkyMediaServer" | echo
308 Guillemets typographiques ouvrants. =>   echo "2.Démarrage du TwonkyMediaServer" | " => suggestions : ['«\xa0', '“']
308 Il manque un espace. =>   echo "2.Démarrage du TwonkyMediaServer" | démarrage => suggestions : [' Démarrage']
308 Mot inconnu : TwonkyMediaServer =>   echo "2.Démarrage du TwonkyMediaServer" | twonkymediaserver
308 Guillemets typographiques fermants. =>   echo "2.Démarrage du TwonkyMediaServer" | " => suggestions : ['\xa0»', '”']

309 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "3.Arrêt du TwonkyMediaServer" |    => suggestions : ['']
309 Mot inconnu : echo =>   echo "3.Arrêt du TwonkyMediaServer" | echo
309 Guillemets typographiques ouvrants. =>   echo "3.Arrêt du TwonkyMediaServer" | " => suggestions : ['«\xa0', '“']
309 Il manque un espace. =>   echo "3.Arrêt du TwonkyMediaServer" | arrêt => suggestions : [' Arrêt']
309 Mot inconnu : TwonkyMediaServer =>   echo "3.Arrêt du TwonkyMediaServer" | twonkymediaserver
309 Guillemets typographiques fermants. =>   echo "3.Arrêt du TwonkyMediaServer" | " => suggestions : ['\xa0»', '”']

310 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "4.Redémarrage du TwonkyMediaServer" |    => suggestions : ['']
310 Mot inconnu : echo =>   echo "4.Redémarrage du TwonkyMediaServer" | echo
310 Guillemets typographiques ouvrants. =>   echo "4.Redémarrage du TwonkyMediaServer" | " => suggestions : ['«\xa0', '“']
310 Il manque un espace. =>   echo "4.Redémarrage du TwonkyMediaServer" | redémarrage => suggestions : [' Redémarrage']
310 Mot inconnu : TwonkyMediaServer =>   echo "4.Redémarrage du TwonkyMediaServer" | twonkymediaserver
310 Guillemets typographiques fermants. =>   echo "4.Redémarrage du TwonkyMediaServer" | " => suggestions : ['\xa0»', '”']

311 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "5.Rebalayage de la banque de données" |    => suggestions : ['']
311 Mot inconnu : echo =>   echo "5.Rebalayage de la banque de données" | echo
311 Guillemets typographiques ouvrants. =>   echo "5.Rebalayage de la banque de données" | " => suggestions : ['«\xa0', '“']
311 Mot inconnu : Rebalayage =>   echo "5.Rebalayage de la banque de données" | rebalayage
311 Guillemets typographiques fermants. =>   echo "5.Rebalayage de la banque de données" | " => suggestions : ['\xa0»', '”']

312 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "6.Reconstruction de la banque de données" |    => suggestions : ['']
312 Mot inconnu : echo =>   echo "6.Reconstruction de la banque de données" | echo
312 Guillemets typographiques ouvrants. =>   echo "6.Reconstruction de la banque de données" | " => suggestions : ['«\xa0', '“']
312 Il manque un espace. =>   echo "6.Reconstruction de la banque de données" | reconstruction => suggestions : [' Reconstruction']
312 Guillemets typographiques fermants. =>   echo "6.Reconstruction de la banque de données" | " => suggestions : ['\xa0»', '”']

313 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   read act |    => suggestions : ['']
313 Mot inconnu : read =>   read act | read
313 Mot inconnu : act =>   read act | act

314 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   case $act in |    => suggestions : ['']
314 Mot inconnu : act =>   case $act in | act

315 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     1) |      => suggestions : ['']

316 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         /root/bin/twonky_status.sh;; |          => suggestions : ['']
316 Une de ces ponctuations est superflue. =>         /root/bin/twonky_status.sh;; | ;; => suggestions : [';', ';']

317 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     2) |      => suggestions : ['']

318 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         /root/bin/twonky_up.sh;; |          => suggestions : ['']
318 Une de ces ponctuations est superflue. =>         /root/bin/twonky_up.sh;; | ;; => suggestions : [';', ';']

319 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ...etc... |      => suggestions : ['']
319 Typographie : points de suspension. Utilisez le caractère dédié. =>     ...etc... | ... => suggestions : ['…']

320 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   esac |    => suggestions : ['']
320 Mot inconnu : esac =>   esac | esac

321 Guillemets typographiques ouvrants. => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | '' => suggestions : ['«\xa0', '“']
321 Mot inconnu : twonky_status => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | twonky_status
321 Mot inconnu : sh => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | sh
321 Guillemets typographiques fermants. => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | '' => suggestions : ['\xa0»', '”']
321 Guillemets typographiques ouvrants. => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | '' => suggestions : ['«\xa0', '“']
321 Mot inconnu : twonky_up => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | twonky_up
321 Mot inconnu : sh => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | sh
321 Guillemets typographiques fermants. => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | '' => suggestions : ['\xa0»', '”']
321 Typographie : points de suspension. Utilisez le caractère dédié. => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | ... => suggestions : ['…']
321 Accord de nombre erroné : « mini » devrait être au pluriel. => où les scripts ''twonky_status.sh'', ''twonky_up.sh'' ... sont des mini scripts contenant chacun une des commandes du serveur (explicitées plus haut dans ce tutoriel). | mini => suggestions : ['minis']

323 Mot inconnu : Twonky => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | twonky
323 Guillemets typographiques ouvrants. => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | '' => suggestions : ['«\xa0', '“']
323 Mot inconnu : ifconfig => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | ifconfig
