
4 Mot inconnu : nVidia => ====== nVidia Optimus : la vidéo hybride ====== | nvidia
79 Mot inconnu : nVidia =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | nvidia
79 Guillemets typographiques ouvrants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : modeset =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | modeset
79 Guillemets typographiques fermants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['\xa0»', '”']
79 Guillemets typographiques ouvrants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : acpi =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | acpi
79 Guillemets typographiques fermants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['\xa0»', '”']
79 Guillemets typographiques ouvrants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : pci =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | pci
79 Mot inconnu : noacpi =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | noacpi
79 Guillemets typographiques fermants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['\xa0»', '”']
79 Mot inconnu : blacklist-nouveau =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | blacklist-nouveau
79 Il manque un espace. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | conf => suggestions : [' conf']
79 Guillemets typographiques ouvrants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : blacklist =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | blacklist
79 Guillemets typographiques fermants. =>   * l'**impossibilité de démarrer** un média d'installation (LiveCD, LiveUSB) et de manière plus générale, l'impossibilité de démarrer un Linux quelconque. Ce problème est généralement dû à un Kernel Panic provoqué par le pilote libre pour carte graphique nVidia, nouveau, qui supporte très mal cette technologie, d'autant plus qu'il s'agit souvent de cartes récentes. Une solution existe, c'est la suivante : s'il s'agit de faire démarrer un noyau quelconque, il faut ajouter ''nouveau.modeset=0'' aux options de démarrage de celui-ci (par fois également ''acpi=off'' ou encore ''pci=noacpi''), l'alternative pour un système installé est d'ajouter un fichier //blacklist-nouveau.conf// dans le dossier // /etc/modprobe.d/ // contenant la ligne suivante : ''blacklist nouveau'' ; | '' => suggestions : ['\xa0»', '”']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * problèmes de **surchauffe** et de **ventilateur tournant à plein régime en permanence** liés au fait que la carte nVidia est allumée et consomme en permanence par défaut ; |    => suggestions : ['']
80 Mot inconnu : nVidia =>   * problèmes de **surchauffe** et de **ventilateur tournant à plein régime en permanence** liés au fait que la carte nVidia est allumée et consomme en permanence par défaut ; | nvidia

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. |    => suggestions : ['']
81 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | sous => suggestions : ['Sous']
81 Mot inconnu : nVidia =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | nvidia
81 Guillemets typographiques ouvrants. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | " => suggestions : ['«\xa0', '“']
81 Accord de genre erroné : « la mention » est féminin, « recommandé » est masculin. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | recommandé => suggestions : ['recommandée']
81 Guillemets typographiques fermants. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : Unity =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | unity
81 Mot inconnu : Unity =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | unity
81 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | 2d => suggestions : ['2ᵈ']
81 Guillemets typographiques ouvrants. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | '' => suggestions : ['«\xa0', '“']
81 Mot inconnu : sudo =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | sudo
81 Mot inconnu : apt-get =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | apt-get
81 Mot inconnu : nvidia-current =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | nvidia-current
81 Guillemets typographiques fermants. =>   * sous Ubuntu, le gestionnaire de pilote propriétaires propose l'installation des pilotes propriétaires nVidia (en indiquant la mention "recommandé", ce qui induit l'utilisateur en erreur), **il NE faut surtout PAS procéder à l'installation de ces pilotes**, l'installation de ceux-ci résultera soit à un écran noir au prochain redémarrage, soit si on a de la chance, à une simple perte de l'accélération 3D fournie par la carte Intel, ce qui se verra par un basculement d'Unity vers Unity 2D et l'impossibilité d'utiliser un programme nécessitant des capacités 3D. La solution est de démarrer en mode de récupération si nécessaire pour accéder à un terminal, puis de lancer ceci : ''sudo apt-get purge nvidia-current'', et normalement, l'accélération graphique devrait fonctionner de nouveau. | '' => suggestions : ['\xa0»', '”']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **la carte graphique nVidia (GPU) n'est pas utilisable par défaut**, seul la carte intégrée Intel est exploitable, offrant des performances décevantes au regard de celles de la plupart des GPU. |    => suggestions : ['']
84 Mot inconnu : nVidia =>   * **la carte graphique nVidia (GPU) n'est pas utilisable par défaut**, seul la carte intégrée Intel est exploitable, offrant des performances décevantes au regard de celles de la plupart des GPU. | nvidia
84 Mot inconnu : GPU =>   * **la carte graphique nVidia (GPU) n'est pas utilisable par défaut**, seul la carte intégrée Intel est exploitable, offrant des performances décevantes au regard de celles de la plupart des GPU. | gpu
84 Mot inconnu : GPU =>   * **la carte graphique nVidia (GPU) n'est pas utilisable par défaut**, seul la carte intégrée Intel est exploitable, offrant des performances décevantes au regard de celles de la plupart des GPU. | gpu

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour autant, **elle reste alimentée en permanence** (et consommant plus que ce que devrait consommer cet état passif), **diminuant l'autonomie** tout en restant inutilisable. |    => suggestions : ['']

89 Mot inconnu : nVidia => <note important>Comme expliqué dans la partie précédente, l'installation des pilotes propriétaires nVidia, proposée automatiquement, provoque divers problèmes. Il vaut donc mieux s'abstenir d'effectuer cette action, il est plutôt conseillé de ce diriger vers l'une des solutions présentées dans le paragraphe suivant.</note> | nvidia
89 Confusion : « diriger » est un verbe. Exemples : ce bâtiment, se perdre. => <note important>Comme expliqué dans la partie précédente, l'installation des pilotes propriétaires nVidia, proposée automatiquement, provoque divers problèmes. Il vaut donc mieux s'abstenir d'effectuer cette action, il est plutôt conseillé de ce diriger vers l'une des solutions présentées dans le paragraphe suivant.</note> | ce => suggestions : ['se']

92 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'heure actuelle, nVidia n'a développé aucun pilote pour Linux permettant le support d'Optimus. **La marque au caméléon a d'ailleurs indiqué qu'il n'était pas prévu de le faire.** Cependant, les récentes avancées autour de Wayland, le successeur de X.org, ont trouvé écho chez nVidia, qui envisage de supporter Optimus sous Wayland. Seulement, ce n'est pas pour aujourd'hui, ni pour demain d'ailleurs. | a => suggestions : ['À']
92 Mot inconnu : nVidia => A l'heure actuelle, nVidia n'a développé aucun pilote pour Linux permettant le support d'Optimus. **La marque au caméléon a d'ailleurs indiqué qu'il n'était pas prévu de le faire.** Cependant, les récentes avancées autour de Wayland, le successeur de X.org, ont trouvé écho chez nVidia, qui envisage de supporter Optimus sous Wayland. Seulement, ce n'est pas pour aujourd'hui, ni pour demain d'ailleurs. | nvidia
92 Mot inconnu : Optimus => A l'heure actuelle, nVidia n'a développé aucun pilote pour Linux permettant le support d'Optimus. **La marque au caméléon a d'ailleurs indiqué qu'il n'était pas prévu de le faire.** Cependant, les récentes avancées autour de Wayland, le successeur de X.org, ont trouvé écho chez nVidia, qui envisage de supporter Optimus sous Wayland. Seulement, ce n'est pas pour aujourd'hui, ni pour demain d'ailleurs. | optimus
92 Il manque un espace. => A l'heure actuelle, nVidia n'a développé aucun pilote pour Linux permettant le support d'Optimus. **La marque au caméléon a d'ailleurs indiqué qu'il n'était pas prévu de le faire.** Cependant, les récentes avancées autour de Wayland, le successeur de X.org, ont trouvé écho chez nVidia, qui envisage de supporter Optimus sous Wayland. Seulement, ce n'est pas pour aujourd'hui, ni pour demain d'ailleurs. | org => suggestions : [' org']
92 Mot inconnu : nVidia => A l'heure actuelle, nVidia n'a développé aucun pilote pour Linux permettant le support d'Optimus. **La marque au caméléon a d'ailleurs indiqué qu'il n'était pas prévu de le faire.** Cependant, les récentes avancées autour de Wayland, le successeur de X.org, ont trouvé écho chez nVidia, qui envisage de supporter Optimus sous Wayland. Seulement, ce n'est pas pour aujourd'hui, ni pour demain d'ailleurs. | nvidia
92 Mot inconnu : Optimus => A l'heure actuelle, nVidia n'a développé aucun pilote pour Linux permettant le support d'Optimus. **La marque au caméléon a d'ailleurs indiqué qu'il n'était pas prévu de le faire.** Cependant, les récentes avancées autour de Wayland, le successeur de X.org, ont trouvé écho chez nVidia, qui envisage de supporter Optimus sous Wayland. Seulement, ce n'est pas pour aujourd'hui, ni pour demain d'ailleurs. | optimus

95 Mot inconnu : Optimus => Optimus étant une technologie relativement récente (lancée début 2010), les travaux de la communauté sont encore expérimentaux. Pour l'instant, aucune solution fiable n'est applicable. | optimus

97 Mot inconnu : Optimus => Des travaux sont entrepris sur différents composants. Globalement, ils ne concernent pas uniquement Optimus mais plus généralement les technologies basées sur le même concept (AMD/ATI PowerXpress 4.0 étant également de la partie). Cela passe par la réécriture totale de X.org en le nouveau projet Wayland, ainsi que par un meilleur support au niveau du Kernel, et enfin dans le cas d'Optimus, un support par le pilote libre nouveau. | optimus
97 Mot inconnu : ATI => Des travaux sont entrepris sur différents composants. Globalement, ils ne concernent pas uniquement Optimus mais plus généralement les technologies basées sur le même concept (AMD/ATI PowerXpress 4.0 étant également de la partie). Cela passe par la réécriture totale de X.org en le nouveau projet Wayland, ainsi que par un meilleur support au niveau du Kernel, et enfin dans le cas d'Optimus, un support par le pilote libre nouveau. | ati
97 Mot inconnu : PowerXpress => Des travaux sont entrepris sur différents composants. Globalement, ils ne concernent pas uniquement Optimus mais plus généralement les technologies basées sur le même concept (AMD/ATI PowerXpress 4.0 étant également de la partie). Cela passe par la réécriture totale de X.org en le nouveau projet Wayland, ainsi que par un meilleur support au niveau du Kernel, et enfin dans le cas d'Optimus, un support par le pilote libre nouveau. | powerxpress
