1 Pas de majuscule sur les mois. => ====== Réunion du 30 Novembre 2010 ====== <|> novembre => suggestions : ['novembre']
306 Guillemets typographiques fermants. => nov. 30 21:52:07 *	helly (~helly@AOrleans-156-1-116-106.w90-44.abo.wanadoo.fr) a quitté #ubuntu-fr-meeting ("WeeChat 0.3.4-dev") <|> " => suggestions : ['\xa0»', '”']

309 Mot inconnu : YoBoY => nov. 30 21:52:39 <spineaker>	YoBoY, y'a un truc que je ne comprends pas <|> yoboy
309 Ni apostrophe ni trait d’union après “y”. => nov. 30 21:52:39 <spineaker>	YoBoY, y'a un truc que je ne comprends pas <|> y'a => suggestions : ['y a']
309 Mot inconnu : y'a => nov. 30 21:52:39 <spineaker>	YoBoY, y'a un truc que je ne comprends pas <|> y'a

310 Mot inconnu : dev => nov. 30 21:52:56 <spineaker>	le schéma c'est par rapport au dev web ? <|> dev

311 Mot inconnu : spineaker => nov. 30 21:53:06 <McPeter>	spineaker, pas uniquement <|> spineaker

312 Mot inconnu : kanor => nov. 30 21:53:10 <YoBoY>	kanor: les ML j'ai pas encore synthétisé, mais faudra qu'on trouve des solutions pour se détacher de ubuntu-eu qui les héberge actuellement <|> kanor
312 Élision de l’article devant un mot commençant par une voyelle. => nov. 30 21:53:10 <YoBoY>	kanor: les ML j'ai pas encore synthétisé, mais faudra qu'on trouve des solutions pour se détacher de ubuntu-eu qui les héberge actuellement <|> de  => suggestions : ['d’']
312 Mot inconnu : ubuntu-eu => nov. 30 21:53:10 <YoBoY>	kanor: les ML j'ai pas encore synthétisé, mais faudra qu'on trouve des solutions pour se détacher de ubuntu-eu qui les héberge actuellement <|> ubuntu-eu

314 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 21:53:20 <huats>	YoBoY, c'est bien je trouve. Après je suis comme McPeter jaurai bien vu la partie irc au niveau de infra aussi <|> nov => suggestions : ['Nov']
314 Mot inconnu : YoBoY => nov. 30 21:53:20 <huats>	YoBoY, c'est bien je trouve. Après je suis comme McPeter jaurai bien vu la partie irc au niveau de infra aussi <|> yoboy
314 Mot inconnu : McPeter => nov. 30 21:53:20 <huats>	YoBoY, c'est bien je trouve. Après je suis comme McPeter jaurai bien vu la partie irc au niveau de infra aussi <|> mcpeter
314 Mot inconnu : jaurai => nov. 30 21:53:20 <huats>	YoBoY, c'est bien je trouve. Après je suis comme McPeter jaurai bien vu la partie irc au niveau de infra aussi <|> jaurai
314 Mot inconnu : irc => nov. 30 21:53:20 <huats>	YoBoY, c'est bien je trouve. Après je suis comme McPeter jaurai bien vu la partie irc au niveau de infra aussi <|> irc
314 Élision de l’article devant un mot commençant par une voyelle. => nov. 30 21:53:20 <huats>	YoBoY, c'est bien je trouve. Après je suis comme McPeter jaurai bien vu la partie irc au niveau de infra aussi <|> de  => suggestions : ['d’']

315 Mot inconnu : McPeter => nov. 30 21:53:25 <snip_>	McPeter: y'a pas vraiment de liens, c'est juste exclu du web <|> mcpeter
315 Ni apostrophe ni trait d’union après “y”. => nov. 30 21:53:25 <snip_>	McPeter: y'a pas vraiment de liens, c'est juste exclu du web <|> y'a => suggestions : ['y a']
315 Mot inconnu : y'a => nov. 30 21:53:25 <snip_>	McPeter: y'a pas vraiment de liens, c'est juste exclu du web <|> y'a

316 Mot inconnu : McPeter => nov. 30 21:53:35 <spineaker>	McPeter, ? <|> mcpeter
316 Une de ces ponctuations est superflue. => nov. 30 21:53:35 <spineaker>	McPeter, ? <|> , ? => suggestions : [',', '?']

317 Mot inconnu : spineaker => nov. 30 21:53:38 <YoBoY>	spineaker: c'est la majorité des équipes, c'est pour ça que ça donne cette impression, mais t'as aussi les modérateurs <|> spineaker

318 Mot inconnu : IRC => nov. 30 21:53:39 <draco31fr>	pour IRC est à part de forum, planet, www, doc ? <|> irc
318 Mot inconnu : planet => nov. 30 21:53:39 <draco31fr>	pour IRC est à part de forum, planet, www, doc ? <|> planet

319 Mot inconnu : dev => nov. 30 21:53:44 <McPeter>	<spineaker> le schéma c'est par rapport au dev web ? <|> dev

321 Mot inconnu : huats => nov. 30 21:53:55 <snip_>	huats: elle est pas liée aux serveurs ubuntu mais freenode <|> huats
321 Mot inconnu : freenode => nov. 30 21:53:55 <snip_>	huats: elle est pas liée aux serveurs ubuntu mais freenode <|> freenode

323 Ni apostrophe ni trait d’union après “y”. => nov. 30 21:54:17 <snip_>	y'a que des admins peut etre <|> y'a => suggestions : ['y a']
323 Mot inconnu : y'a => nov. 30 21:54:17 <snip_>	y'a que des admins peut etre <|> y'a
323 Mot inconnu : etre => nov. 30 21:54:17 <snip_>	y'a que des admins peut etre <|> etre

324 Mot inconnu : spineaker => nov. 30 21:54:38 <YoBoY>	spineaker: en fait il n'y a que les 6 équipes de gauche qui font du dev web (et encore pas tous les membres dans les équipes) <|> spineaker
324 Mot inconnu : dev => nov. 30 21:54:38 <YoBoY>	spineaker: en fait il n'y a que les 6 équipes de gauche qui font du dev web (et encore pas tous les membres dans les équipes) <|> dev

325 Mot inconnu : YoBoY => nov. 30 21:54:42 <avelldiroll>	YoBoY: il manquerait éventuellement un groupe ~ubuntu-fr-mailing-list-support ... ca ajouterait en visibilité si quelqu'un voulait postuler pour s'en occuper ... mais bon je m'en sors tout seul <|> yoboy
325 Mot inconnu : ubuntu-fr-mailing-list-support => nov. 30 21:54:42 <avelldiroll>	YoBoY: il manquerait éventuellement un groupe ~ubuntu-fr-mailing-list-support ... ca ajouterait en visibilité si quelqu'un voulait postuler pour s'en occuper ... mais bon je m'en sors tout seul <|> ubuntu-fr-mailing-list-support
325 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:54:42 <avelldiroll>	YoBoY: il manquerait éventuellement un groupe ~ubuntu-fr-mailing-list-support ... ca ajouterait en visibilité si quelqu'un voulait postuler pour s'en occuper ... mais bon je m'en sors tout seul <|> ... => suggestions : ['…']
325 Mot inconnu : ca => nov. 30 21:54:42 <avelldiroll>	YoBoY: il manquerait éventuellement un groupe ~ubuntu-fr-mailing-list-support ... ca ajouterait en visibilité si quelqu'un voulait postuler pour s'en occuper ... mais bon je m'en sors tout seul <|> ca
325 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:54:42 <avelldiroll>	YoBoY: il manquerait éventuellement un groupe ~ubuntu-fr-mailing-list-support ... ca ajouterait en visibilité si quelqu'un voulait postuler pour s'en occuper ... mais bon je m'en sors tout seul <|> ... => suggestions : ['…']

326 Mot inconnu : draco31fr => nov. 30 21:54:44 <huats>	draco31fr, je pense que snip_ a raison (pour la doc) <|> draco31fr
326 Mot inconnu : snip_ => nov. 30 21:54:44 <huats>	draco31fr, je pense que snip_ a raison (pour la doc) <|> snip_

327 Mot inconnu : avelldiroll => nov. 30 21:54:55 <YoBoY>	avelldiroll: on travaillera ce point oui <|> avelldiroll

328 Mot inconnu : devweb => nov. 30 21:55:04 <olive>	hein quoi, le devweb c'est un truc de gauche ? <|> devweb

330 Mot inconnu : avelldiroll => nov. 30 21:55:13 <YoBoY>	avelldiroll: et tu n'as pas la seule ML ubuntu-fr :) <|> avelldiroll
330 Accord de genre erroné : « la seule » est féminin, « ML » est masculin. => nov. 30 21:55:13 <YoBoY>	avelldiroll: et tu n'as pas la seule ML ubuntu-fr :) <|> ml => suggestions : []
330 Mot inconnu : ubuntu-fr => nov. 30 21:55:13 <YoBoY>	avelldiroll: et tu n'as pas la seule ML ubuntu-fr :) <|> ubuntu-fr

331 Mot inconnu : yop => nov. 30 21:55:14 <nishiki>	yop <|> yop

332 Mot inconnu : McPeter => nov. 30 21:55:15 *	McPeter tape olive  <|> mcpeter

333 Mot inconnu : YoBoY => nov. 30 21:55:16 <spineaker>	YoBoY, le schéma est certainement juste, mais la présentation me semble maladroite si le but est que chaque personne de la communauté se retrouve dedans <|> yoboy

334 Mot inconnu : spineaker => nov. 30 21:55:43 <huats>	spineaker, je crois que c'est bien galère à organiser comme ça déjà... <|> spineaker
334 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:55:43 <huats>	spineaker, je crois que c'est bien galère à organiser comme ça déjà... <|> ... => suggestions : ['…']

336 Mot inconnu : YoBoY => nov. 30 21:55:53 <avelldiroll>	YoBoY: yep je sais ... et ça pourrait être interessant d'avoir un lieu d'echange spécifique à l'admin ML ... <|> yoboy
336 Mot inconnu : yep => nov. 30 21:55:53 <avelldiroll>	YoBoY: yep je sais ... et ça pourrait être interessant d'avoir un lieu d'echange spécifique à l'admin ML ... <|> yep
336 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:55:53 <avelldiroll>	YoBoY: yep je sais ... et ça pourrait être interessant d'avoir un lieu d'echange spécifique à l'admin ML ... <|> ... => suggestions : ['…']
336 Mot inconnu : interessant => nov. 30 21:55:53 <avelldiroll>	YoBoY: yep je sais ... et ça pourrait être interessant d'avoir un lieu d'echange spécifique à l'admin ML ... <|> interessant
336 Mot inconnu : echange => nov. 30 21:55:53 <avelldiroll>	YoBoY: yep je sais ... et ça pourrait être interessant d'avoir un lieu d'echange spécifique à l'admin ML ... <|> echange
336 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:55:53 <avelldiroll>	YoBoY: yep je sais ... et ça pourrait être interessant d'avoir un lieu d'echange spécifique à l'admin ML ... <|> ... => suggestions : ['…']

337 Mot inconnu : YoBoY => nov. 30 21:56:02 <McPeter>	YoBoY, possible de ... comment dire .. faire un groupement génral ML ? <|> yoboy
337 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:56:02 <McPeter>	YoBoY, possible de ... comment dire .. faire un groupement génral ML ? <|> ... => suggestions : ['…']
337 Typographie : un ou trois points ? => nov. 30 21:56:02 <McPeter>	YoBoY, possible de ... comment dire .. faire un groupement génral ML ? <|> .. => suggestions : ['…', '.']
337 Mot inconnu : génral => nov. 30 21:56:02 <McPeter>	YoBoY, possible de ... comment dire .. faire un groupement génral ML ? <|> génral

338 Il manque probablement un trait d’union. => nov. 30 21:56:03 <aldian>	C'est un schéma assez technique, c'est pas évident pour le non initié de se retrouver tout de suite dedans <|> non initié => suggestions : ['non-initié']

339 Mot inconnu : huats => nov. 30 21:56:06 <draco31fr>	huats, c comme pour planet, y a pas de modérateur sur le planet ?? <|> huats
339 Mot inconnu : planet => nov. 30 21:56:06 <draco31fr>	huats, c comme pour planet, y a pas de modérateur sur le planet ?? <|> planet
339 Mot inconnu : planet => nov. 30 21:56:06 <draco31fr>	huats, c comme pour planet, y a pas de modérateur sur le planet ?? <|> planet

340 Mot inconnu : spineaker => nov. 30 21:56:10 <YoBoY>	spineaker: chaque personne impliquée, tout pointe vers "ubuntu-fr" qui sont les membres de l'asso, donc pas juste la personne qui utilise ubuntu <|> spineaker
340 Guillemets typographiques ouvrants. => nov. 30 21:56:10 <YoBoY>	spineaker: chaque personne impliquée, tout pointe vers "ubuntu-fr" qui sont les membres de l'asso, donc pas juste la personne qui utilise ubuntu <|> " => suggestions : ['«\xa0', '“']
340 Mot inconnu : ubuntu-fr => nov. 30 21:56:10 <YoBoY>	spineaker: chaque personne impliquée, tout pointe vers "ubuntu-fr" qui sont les membres de l'asso, donc pas juste la personne qui utilise ubuntu <|> ubuntu-fr
340 Guillemets typographiques fermants. => nov. 30 21:56:10 <YoBoY>	spineaker: chaque personne impliquée, tout pointe vers "ubuntu-fr" qui sont les membres de l'asso, donc pas juste la personne qui utilise ubuntu <|> " => suggestions : ['\xa0»', '”']
340 Mot inconnu : asso => nov. 30 21:56:10 <YoBoY>	spineaker: chaque personne impliquée, tout pointe vers "ubuntu-fr" qui sont les membres de l'asso, donc pas juste la personne qui utilise ubuntu <|> asso

341 Mot inconnu : mmeilleuregestion => nov. 30 21:56:18 <kanor>	si ça permet une mmeilleuregestion des différent groupe par exemple ne pas avoir les bug mélangé entre la doc le site le forum ce serait bien <|> mmeilleuregestion
341 Accord de nombre erroné : « différent » devrait être au pluriel. => nov. 30 21:56:18 <kanor>	si ça permet une mmeilleuregestion des différent groupe par exemple ne pas avoir les bug mélangé entre la doc le site le forum ce serait bien <|> différent => suggestions : ['différents']
341 Accord de nombre erroné : « bug » devrait être au pluriel. => nov. 30 21:56:18 <kanor>	si ça permet une mmeilleuregestion des différent groupe par exemple ne pas avoir les bug mélangé entre la doc le site le forum ce serait bien <|> bug => suggestions : ['bugs']

342 Mot inconnu : YoBoY => nov. 30 21:56:29 <spineaker>	YoBoY, j'ai compris… <|> yoboy

343 Mot inconnu : draco31fr => nov. 30 21:56:34 <huats>	draco31fr, non juste des admin <|> draco31fr
343 Accord de nombre erroné : « admin » devrait être au pluriel. => nov. 30 21:56:34 <huats>	draco31fr, non juste des admin <|> admin => suggestions : ['admins']

346 Mot inconnu : kanor => nov. 30 21:57:20 <YoBoY>	kanor: la partie gestion des projets j'y viens ^^" <|> kanor

348 Mot inconnu : YoBoY => nov. 30 21:57:57 <McPeter>	YoBoY, une page html cliquable ça peu le faire ? <|> yoboy
348 Mot inconnu : html => nov. 30 21:57:57 <McPeter>	YoBoY, une page html cliquable ça peu le faire ? <|> html

350 Mot inconnu : McPeter => nov. 30 21:58:20 <YoBoY>	McPeter: de quoi tu parles ? <|> mcpeter

353 Mot inconnu : YoBoY => nov. 30 21:58:47 <spineaker>	YoBoY, la condition pour être membre d'un groupe sur le lp c'est quoi ? <|> yoboy
353 Mot inconnu : lp => nov. 30 21:58:47 <spineaker>	YoBoY, la condition pour être membre d'un groupe sur le lp c'est quoi ? <|> lp

354 Mot inconnu : asso => nov. 30 21:58:48 <McPeter>	une sorte de plan-du-site mais niveau asso <|> asso

356 Mot inconnu : spineaker => nov. 30 21:59:35 <YoBoY>	spineaker: de postuler, et que quelqu'un te connaisse bien sur, généralement le renouvellement se fait dans les équipes, genre les modo recrutent sur le forum, la doc recrute sur les contributeur ... <|> spineaker
356 Accord de nombre erroné : « contributeur » devrait être au pluriel. => nov. 30 21:59:35 <YoBoY>	spineaker: de postuler, et que quelqu'un te connaisse bien sur, généralement le renouvellement se fait dans les équipes, genre les modo recrutent sur le forum, la doc recrute sur les contributeur ... <|> contributeur => suggestions : ['contributeurs']
356 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:59:35 <YoBoY>	spineaker: de postuler, et que quelqu'un te connaisse bien sur, généralement le renouvellement se fait dans les équipes, genre les modo recrutent sur le forum, la doc recrute sur les contributeur ... <|> ... => suggestions : ['…']

357 Mot inconnu : McPeter => nov. 30 22:00:12 <YoBoY>	McPeter: je dois être fatigué je comprends rien à ce que tu veux dire <|> mcpeter

359 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => nov. 30 22:00:52 <spineaker>	YoBoY,  "Nous changeons l'orientation de cette équipe sur Launchpad. Dorénavant <|> nov => suggestions : ['Nov']
359 Mot inconnu : YoBoY => nov. 30 22:00:52 <spineaker>	YoBoY,  "Nous changeons l'orientation de cette équipe sur Launchpad. Dorénavant <|> yoboy
359 Espace(s) surnuméraire(s) à supprimer. => nov. 30 22:00:52 <spineaker>	YoBoY,  "Nous changeons l'orientation de cette équipe sur Launchpad. Dorénavant <|>    => suggestions : [' ']
359 Guillemets typographiques ouvrants. => nov. 30 22:00:52 <spineaker>	YoBoY,  "Nous changeons l'orientation de cette équipe sur Launchpad. Dorénavant <|> " => suggestions : ['«\xa0', '“']
359 Mot inconnu : Launchpad => nov. 30 22:00:52 <spineaker>	YoBoY,  "Nous changeons l'orientation de cette équipe sur Launchpad. Dorénavant <|> launchpad

361 Guillemets typographiques fermants. => nov. 30 22:00:52 <spineaker>	nécessaires aux évènements francophones" ← ce qui m'amenait àpenser que réservé au dev web <|> " => suggestions : ['\xa0»', '”']
361 Mot inconnu : àpenser => nov. 30 22:00:52 <spineaker>	nécessaires aux évènements francophones" ← ce qui m'amenait àpenser que réservé au dev web <|> àpenser
361 Mot inconnu : dev => nov. 30 22:00:52 <spineaker>	nécessaires aux évènements francophones" ← ce qui m'amenait àpenser que réservé au dev web <|> dev

363 Mot inconnu : spineaker => nov. 30 22:01:10 <YoBoY>	spineaker: l'équipe -party oui <|> spineaker
363 Il manque un espace à côté du tiret. => nov. 30 22:01:10 <YoBoY>	spineaker: l'équipe -party oui <|>  - => suggestions : [' – ', ' — ']
363 Mot inconnu : party => nov. 30 22:01:10 <YoBoY>	spineaker: l'équipe -party oui <|> party

364 Incohérence : espace et tabulation. => nov. 30 22:01:13 <snip_>	 On passe à git ? <|> 	  => suggestions : [' ', '\t']
364 Incohérence : “à” est une préposition. “git” est un verbe conjugué. => nov. 30 22:01:13 <snip_>	 On passe à git ? <|> git => suggestions : []

365 Mot inconnu : Party => nov. 30 22:01:36 <YoBoY>	elle ne sert plus à rien dans ce qui est organisation de Party sur Launchpad, donc je recycle <|> party
365 Mot inconnu : Launchpad => nov. 30 22:01:36 <YoBoY>	elle ne sert plus à rien dans ce qui est organisation de Party sur Launchpad, donc je recycle <|> launchpad

366 Mot inconnu : YoBoY => nov. 30 22:01:38 <spineaker>	YoBoY, bon ok donc je comprends définitivement rien, pas grave <|> yoboy
366 Mot inconnu : ok => nov. 30 22:01:38 <spineaker>	YoBoY, bon ok donc je comprends définitivement rien, pas grave <|> ok
366 Si « donc » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => nov. 30 22:01:38 <spineaker>	YoBoY, bon ok donc je comprends définitivement rien, pas grave <|>  donc => suggestions : [', donc']

367 Incohérence : espace et tabulation. => nov. 30 22:01:39 <kanor>	 McPeter pense que se serait sympa ce schéma dans la doc avec des lien cliquable pour aller au différent lp (peut étre que je me trompe complétement dans le sens de ces parole) <|> 	  => suggestions : [' ', '\t']
367 Mot inconnu : McPeter => nov. 30 22:01:39 <kanor>	 McPeter pense que se serait sympa ce schéma dans la doc avec des lien cliquable pour aller au différent lp (peut étre que je me trompe complétement dans le sens de ces parole) <|> mcpeter
367 Accord de nombre erroné : « lien » devrait être au pluriel. => nov. 30 22:01:39 <kanor>	 McPeter pense que se serait sympa ce schéma dans la doc avec des lien cliquable pour aller au différent lp (peut étre que je me trompe complétement dans le sens de ces parole) <|> lien => suggestions : ['liens']
367 Mot inconnu : lp => nov. 30 22:01:39 <kanor>	 McPeter pense que se serait sympa ce schéma dans la doc avec des lien cliquable pour aller au différent lp (peut étre que je me trompe complétement dans le sens de ces parole) <|> lp
367 Mot inconnu : étre => nov. 30 22:01:39 <kanor>	 McPeter pense que se serait sympa ce schéma dans la doc avec des lien cliquable pour aller au différent lp (peut étre que je me trompe complétement dans le sens de ces parole) <|> étre
367 Accord de nombre erroné : « parole » devrait être au pluriel. => nov. 30 22:01:39 <kanor>	 McPeter pense que se serait sympa ce schéma dans la doc avec des lien cliquable pour aller au différent lp (peut étre que je me trompe complétement dans le sens de ces parole) <|> parole => suggestions : ['paroles']

368 Mot inconnu : snip_ => nov. 30 22:01:40 <YoBoY>	snip_: non <|> snip_

370 Mot inconnu : YoBoY => nov. 30 22:01:51 <McPeter>	YoBoY, kanor m'a compris :) <|> yoboy
370 Mot inconnu : kanor => nov. 30 22:01:51 <McPeter>	YoBoY, kanor m'a compris :) <|> kanor

371 Mot inconnu : ok => nov. 30 22:02:03 <YoBoY>	ok, ben ça reste à faire <|> ok

372 Mot inconnu : YoBoY => nov. 30 22:02:18 <kanor>	"<McPeter> YoBoY, une page html cliquable ça peu le faire ?" le sens de cette phrase ? <|> yoboy
372 Mot inconnu : html => nov. 30 22:02:18 <kanor>	"<McPeter> YoBoY, une page html cliquable ça peu le faire ?" le sens de cette phrase ? <|> html
372 Guillemets typographiques fermants. => nov. 30 22:02:18 <kanor>	"<McPeter> YoBoY, une page html cliquable ça peu le faire ?" le sens de cette phrase ? <|> " => suggestions : ['\xa0»', '”']

373 Mot inconnu : YoBoY => nov. 30 22:02:19 <McPeter>	YoBoY, ton dessin retranscrit  en page web clicable <|> yoboy
373 Espace(s) surnuméraire(s) à supprimer. => nov. 30 22:02:19 <McPeter>	YoBoY, ton dessin retranscrit  en page web clicable <|>    => suggestions : [' ']
373 Mot inconnu : clicable => nov. 30 22:02:19 <McPeter>	YoBoY, ton dessin retranscrit  en page web clicable <|> clicable

374 Mot inconnu : apge => nov. 30 22:02:32 <McPeter>	que les gens puissent consulter une apge explicative apr pôle <|> apge
374 Mot inconnu : apr => nov. 30 22:02:32 <McPeter>	que les gens puissent consulter une apge explicative apr pôle <|> apr

376 Mot inconnu : ZZzzZzzz1 => nov. 30 22:02:37 <vincentxavier>	ZZzzZzzz1: la réunion est finie /o\ <|> zzzzzzzz1
377 Mot inconnu : vincentxavier => nov. 30 22:02:47 <YoBoY>	2h vincentxavier pas 1h <|> vincentxavier

379 Mot inconnu : ya => nov. 30 22:03:52 <YoBoY>	bref, si personne ne voit d'inconvénient je lancerai la refonte de tout ça dans les semaines qui vienne, le projet conteneur permettant de mettre des sous-projet a été demandé et accordé, donc ya plus qu'à <|> ya

381 Mot inconnu : YoBoY => nov. 30 22:04:13 <olive>	YoBoY: t'en as parlé à did ? <|> yoboy
381 Mot inconnu : did => nov. 30 22:04:13 <olive>	YoBoY: t'en as parlé à did ? <|> did

382 Un seul point après « etc. » => nov. 30 22:04:21 <YoBoY>	toutes les remarques, détails que j'aurai pas vu, etc... sont les bienvenues <|> etc... => suggestions : ['etc.']

384 Mot inconnu : oki => nov. 30 22:05:01 <olive>	oki, alors go <|> oki

388 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 22:05:27 <YoBoY>	* 4 - Soutien financier aux associations du libre <|>  -  => suggestions : [' – ', ' — ', ' − ']

390 Mot inconnu : aportés => nov. 30 22:05:57 <snip_>	Quels soutiens ont déjà été aportés ? <|> aportés

391 Confusion probable : “faut” est une conjugaison de “falloir”. Pour indiquer la fausseté d’une chose, écrivez “faux”. => nov. 30 22:05:59 <nishiki>	faut donnez des sous à parinux :D <|> faut => suggestions : ['faux']
391 Après le verbe “falloir”, le verbe devrait être à l’infinitif. => nov. 30 22:05:59 <nishiki>	faut donnez des sous à parinux :D <|> donnez => suggestions : ['donner']
391 Mot inconnu : parinux => nov. 30 22:05:59 <nishiki>	faut donnez des sous à parinux :D <|> parinux

393 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => nov. 30 22:06:08 <YoBoY>	Vous le savez peut être déjà, mais l'asso se porte pas trop mal, grace à vous tous <|> peut être => suggestions : ['peut-être']
393 Mot inconnu : asso => nov. 30 22:06:08 <YoBoY>	Vous le savez peut être déjà, mais l'asso se porte pas trop mal, grace à vous tous <|> asso
393 Mot inconnu : grace => nov. 30 22:06:08 <YoBoY>	Vous le savez peut être déjà, mais l'asso se porte pas trop mal, grace à vous tous <|> grace

394 Mot inconnu : nishiki => nov. 30 22:06:14 <vincentxavier>	nishiki: arrête de dire des conneries <|> nishiki

395 Mot inconnu : nishiki => nov. 30 22:06:35 <olive>	nishiki: pas à ma connaissance <|> nishiki

397 Mot inconnu : parinux => nov. 30 22:06:56 <kinouchou>	olive parinux n'en a pas besoin <|> parinux

398 Mot inconnu : nishiki => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> nishiki
398 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> ... => suggestions : ['…']
398 Mot inconnu : has => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> has
398 Mot inconnu : joined => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> joined
398 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> ... => suggestions : ['…']
398 Ni apostrophe ni trait d’union après “y”. => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> y'a => suggestions : ['y a']
398 Mot inconnu : y'a => nov. 30 22:07:00 <snip_>	21:55:44 -!- nishiki ... has joined ... ; depuis ce moment, y'a comme un moustique qui vole <|> y'a

401 Mot inconnu : nishiki => nov. 30 22:07:14 <olive>	nishiki: alors chut :) <|> nishiki

403 Un seul point après « etc. » => nov. 30 22:08:34 <YoBoY>	on va commencer avec Framasoft, suivra LQDN je pense plus tard, etc... <|> etc... => suggestions : ['etc.']

404 Mot inconnu : framasoft => nov. 30 22:08:39 <nishiki>	y a pas framasoft qui a une campagne de don actuellement ? <|> framasoft

406 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 22:08:46 <nishiki>	merde devancé ... <|> ... => suggestions : ['…']

408 Mot inconnu : YoBoY => nov. 30 22:09:16 <avelldiroll>	YoBoY: la quadrature et wikipedia demande des sous en ce moment ... freenode et tuxfamily sont toujours prenneurs <|> yoboy
408 Mot inconnu : wikipedia => nov. 30 22:09:16 <avelldiroll>	YoBoY: la quadrature et wikipedia demande des sous en ce moment ... freenode et tuxfamily sont toujours prenneurs <|> wikipedia
408 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 22:09:16 <avelldiroll>	YoBoY: la quadrature et wikipedia demande des sous en ce moment ... freenode et tuxfamily sont toujours prenneurs <|> ... => suggestions : ['…']
408 Mot inconnu : freenode => nov. 30 22:09:16 <avelldiroll>	YoBoY: la quadrature et wikipedia demande des sous en ce moment ... freenode et tuxfamily sont toujours prenneurs <|> freenode
408 Mot inconnu : tuxfamily => nov. 30 22:09:16 <avelldiroll>	YoBoY: la quadrature et wikipedia demande des sous en ce moment ... freenode et tuxfamily sont toujours prenneurs <|> tuxfamily
408 Mot inconnu : prenneurs => nov. 30 22:09:16 <avelldiroll>	YoBoY: la quadrature et wikipedia demande des sous en ce moment ... freenode et tuxfamily sont toujours prenneurs <|> prenneurs

410 Incohérence : “à” est une préposition. “trouve” est un verbe conjugué. => nov. 30 22:09:20 <kinouchou>	et à trouve ton gull <|> trouve => suggestions : []
410 Mot inconnu : gull => nov. 30 22:09:20 <kinouchou>	et à trouve ton gull <|> gull

413 Mot inconnu : narugawa => nov. 30 22:09:33 <snip_>	salut narugawa <|> narugawa

415 Mot inconnu : narugawa => nov. 30 22:09:37 <olive>	narugawa: \o/ <|> narugawa

416 Mot inconnu : avelldiroll => nov. 30 22:09:39 <YoBoY>	avelldiroll: wikipedia à plus de visibilité, on n'apporterait qu'une goutte d'eau <|> avelldiroll
416 Mot inconnu : wikipedia => nov. 30 22:09:39 <YoBoY>	avelldiroll: wikipedia à plus de visibilité, on n'apporterait qu'une goutte d'eau <|> wikipedia
417 Pas d’espace avant ce signe. => nov. 30 22:09:51 <aldian>	LQDN = La quadrature du net (je le dis des fois que je sois pas le seul a avoir eu besoin de google ;) ) <|>  ) => suggestions : [')']

418 Mot inconnu : narugawa => nov. 30 22:09:54 <snip_>	narugawa: on est à « 4 - Soutien financier aux associations du libre » <|> narugawa
418 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 22:09:54 <snip_>	narugawa: on est à « 4 - Soutien financier aux associations du libre » <|>  -  => suggestions : [' – ', ' — ', ' − ']

419 Mot inconnu : kinouchou => nov. 30 22:10:04 <YoBoY>	kinouchou: déjà fait il me semble, enfin sauf si le chèque est pas parti ? huats ? <|> kinouchou
